multipole_ell,TT,EE,BB,PP
ell0002,1.0167300000e+03,3.0882700000e-02,1.8184700000e-06,5.0135200000e-08
ell0003,9.6372700000e+02,3.9690300000e-02,3.6374300000e-06,6.0994300000e-08
ell0004,9.1260800000e+02,3.4496200000e-02,6.0634500000e-06,7.0259200000e-08
ell0005,8.7447700000e+02,2.3094100000e-02,9.0971700000e-06,7.8292100000e-08
ell0006,8.4850900000e+02,1.2951200000e-02,1.2739400000e-05,8.5302000000e-08
ell0007,8.3208200000e+02,7.0002200000e-03,1.6991000000e-05,9.1473400000e-08
ell0008,8.2229500000e+02,4.5013600000e-03,2.1853100000e-05,9.6934100000e-08
ell0009,8.1780300000e+02,3.6031700000e-03,2.7326800000e-05,1.0179400000e-07
ell0010,8.1717400000e+02,3.0745900000e-03,3.3413500000e-05,1.0612200000e-07
ell0011,8.1903400000e+02,2.5958800000e-03,4.0114600000e-05,1.1001300000e-07
ell0012,8.2403100000e+02,2.3972500000e-03,4.7431500000e-05,1.1348800000e-07
ell0013,8.3053400000e+02,2.1955100000e-03,5.5365900000e-05,1.1659400000e-07
ell0014,8.3765700000e+02,2.2491500000e-03,6.3919500000e-05,1.1938500000e-07
ell0015,8.4580500000e+02,2.4719400000e-03,7.3094000000e-05,1.2188900000e-07
ell0016,8.5550300000e+02,2.7099600000e-03,8.2891100000e-05,1.2413400000e-07
ell0017,8.6673900000e+02,3.1037100000e-03,9.3312600000e-05,1.2614800000e-07
ell0018,8.7861800000e+02,3.6510400000e-03,1.0436000000e-04,1.2795700000e-07
ell0019,8.9198000000e+02,4.3332400000e-03,1.1603600000e-04,1.2957000000e-07
ell0020,9.0515700000e+02,5.1771400000e-03,1.2834200000e-04,1.3099900000e-07
ell0021,9.1852200000e+02,6.1409600000e-03,1.4128000000e-04,1.3226500000e-07
ell0022,9.3237500000e+02,7.2503800000e-03,1.5485100000e-04,1.3338800000e-07
ell0023,9.4654700000e+02,8.5099900000e-03,1.6905700000e-04,1.3437800000e-07
ell0024,9.6111100000e+02,9.8910500000e-03,1.8390000000e-04,1.3524100000e-07
ell0025,9.7602300000e+02,1.1423700000e-02,1.9938200000e-04,1.3598900000e-07
ell0026,9.9110800000e+02,1.3109400000e-02,2.1550300000e-04,1.3663300000e-07
ell0027,1.0066100000e+03,1.4940800000e-02,2.3226600000e-04,1.3718300000e-07
ell0028,1.0223700000e+03,1.6936700000e-02,2.4967100000e-04,1.3764400000e-07
ell0029,1.0384400000e+03,1.9114600000e-02,2.6772100000e-04,1.3801700000e-07
ell0030,1.0547300000e+03,2.1498500000e-02,2.8641500000e-04,1.3830400000e-07
ell0031,1.0710900000e+03,2.4099500000e-02,3.0575500000e-04,1.3851500000e-07
ell0032,1.0877900000e+03,2.6911700000e-02,3.2574200000e-04,1.3866200000e-07
ell0033,1.1048300000e+03,2.9921400000e-02,3.4637600000e-04,1.3874900000e-07
ell0034,1.1220500000e+03,3.3129800000e-02,3.6765800000e-04,1.3877800000e-07
ell0035,1.1394100000e+03,3.6557300000e-02,3.8958900000e-04,1.3875400000e-07
ell0036,1.1568300000e+03,4.0232600000e-02,4.1216800000e-04,1.3868000000e-07
ell0037,1.1743400000e+03,4.4164700000e-02,4.3539600000e-04,1.3856000000e-07
ell0038,1.1922500000e+03,4.8359800000e-02,4.5927300000e-04,1.3839800000e-07
ell0039,1.2105500000e+03,5.2804200000e-02,4.8379900000e-04,1.3819500000e-07
ell0040,1.2289600000e+03,5.7484800000e-02,5.0897300000e-04,1.3795400000e-07
