L_km,P_nue,P_numu,P_nutau
L0001.00,1.2368333114e-06,9.9997439160e-01,2.4371563068e-05
L0005.00,3.1061422522e-05,9.9935915299e-01,6.0978558947e-04
L0009.01,1.0095925081e-04,9.9792437777e-01,1.9746629839e-03
L0013.01,2.1123463748e-04,9.9567243283e-01,4.1163325346e-03
L0017.01,3.6212317183e-04,9.9260703312e-01,7.0308437122e-03
L0021.02,5.5379085747e-04,9.8873323548e-01,1.0712973660e-02
L0025.02,7.8633337676e-04,9.8405743034e-01,1.5156236280e-02
L0029.02,1.0597754772e-03,9.7858733112e-01,2.0352893402e-02
L0033.02,1.3740704820e-03,9.7233196151e-01,2.6293968006e-02
L0037.03,1.7290999254e-03,9.6530164058e-01,3.2969259495e-02
L0041.03,2.1246733155e-03,9.5750796572e-01,4.0367360968e-02
L0045.03,2.5605280246e-03,9.4896379349e-01,4.8475678483e-02
L0049.04,3.0363293082e-03,9.3968321842e-01,5.7280452271e-02
L0053.04,3.5516704536e-03,9.2968154969e-01,6.6766779860e-02
L0057.04,4.1060730584e-03,9.1897528586e-01,7.6918641077e-02
L0061.05,4.6989874392e-03,9.0758208767e-01,8.7718924888e-02
L0065.05,5.3297931698e-03,8.9552074881e-01,9.9149458019e-02
L0069.05,5.9977997498e-03,8.8281116492e-01,1.1119103533e-01
L0073.05,6.7022474022e-03,8.6947430075e-01,1.2382345185e-01
L0077.06,7.4423079991e-03,8.5553215550e-01,1.3702553650e-01
L0081.06,8.2170861160e-03,8.4100772653e-01,1.5077518736e-01
L0085.06,9.0256202114e-03,8.2592497137e-01,1.6504940842e-01
L0089.07,9.8668839316e-03,8.1030876815e-01,1.7982434792e-01
L0093.07,1.0739787539e-02,7.9418487455e-01,1.9507533791e-01
L0097.07,1.1643179462e-02,7.7757988525e-01,2.1077693529e-01
L0101.08,1.2575847961e-02,7.6052118800e-01,2.2690296404e-01
L0105.08,1.3536522917e-02,7.4303691842e-01,2.4342655866e-01
L0109.08,1.4523877731e-02,7.2515591355e-01,2.6032020872e-01
L0113.08,1.5536531329e-02,7.0690766423e-01,2.7755580444e-01
L0117.09,1.6573050291e-02,6.8832226638e-01,2.9510468333e-01
L0121.09,1.7631951066e-02,6.6943037135e-01,3.1293767758e-01
L0125.09,1.8711702305e-02,6.5026313530e-01,3.3102516239e-01
L0129.10,1.9810727279e-02,6.3085216775e-01,3.4933710497e-01
L0133.10,2.0927406404e-02,6.1122947940e-01,3.6784311420e-01
L0137.10,2.2060079844e-02,5.9142742928e-01,3.8651249088e-01
L0141.11,2.3207050208e-02,5.7147867134e-01,4.0531427846e-01
L0145.11,2.4366585327e-02,5.5141610051e-01,4.2421731416e-01
L0149.11,2.5536921104e-02,5.3127279845e-01,4.4319028045e-01
L0153.11,2.6716264444e-02,5.1108197887e-01,4.6220175668e-01
L0157.12,2.7902796243e-02,4.9087693277e-01,4.8122027098e-01
L0161.12,2.9094674448e-02,4.7069097344e-01,5.0021435211e-01
L0165.12,3.0290037165e-02,4.5055738148e-01,5.1915258135e-01
L0169.13,3.1487005830e-02,4.3050934988e-01,5.3800364429e-01
L0173.13,3.2683688416e-02,4.1057992921e-01,5.5673638237e-01
L0177.13,3.3878182689e-02,3.9080197310e-01,5.7531984421e-01
