label,A,B,C,D
p_nnn,0.0802798244,0.2160409190,0.3103853198,0.3932939368
p_nnz,0.1026641624,0.2762793788,0.3969297285,0.2241267303
p_nnp,0.1172301951,0.3154780082,0.4532462781,0.1140455186
p_nzn,0.1109526668,0.2985845608,0.1820130580,0.4084497144
p_nzz,0.1434306159,0.3859859225,0.2352917308,0.2352917308
p_nzp,0.1649464264,0.4438870892,0.2705874888,0.1205789955
p_npn,0.1397939379,0.3761992638,0.0973023171,0.3867044811
p_npz,0.1779412540,0.4788574510,0.1238544145,0.2193468805
p_npp,0.2025746764,0.5451484181,0.1410002873,0.1112766182
p_znn,0.1361799319,0.1361799319,0.3209542051,0.4066859312
p_znz,0.1758201377,0.1758201377,0.4143797972,0.2339799274
p_znp,0.2020256914,0.2020256914,0.4761420740,0.1198065431
p_zzn,0.1906916468,0.1906916468,0.1906916468,0.4279250596
p_zzz,0.2500000000,0.2500000000,0.2500000000,0.2500000000
p_zzp,0.2902235928,0.2902235928,0.2902235928,0.1293292216
p_zpn,0.2432756774,0.2432756774,0.1032211594,0.4102274857
p_zpz,0.3148882654,0.3148882654,0.1336061713,0.2366172980
p_zpp,0.3624304716,0.3624304716,0.1537781906,0.1213608663
p_pnn,0.2160409190,0.0802798244,0.3103853198,0.3932939368
p_pnz,0.2762793788,0.1026641624,0.3969297285,0.2241267303
p_pnp,0.3154780082,0.1172301951,0.4532462781,0.1140455186
p_pzn,0.2985845608,0.1109526668,0.1820130580,0.4084497144
p_pzz,0.3859859225,0.1434306159,0.2352917308,0.2352917308
p_pzp,0.4438870892,0.1649464264,0.2705874888,0.1205789955
p_ppn,0.3761992638,0.1397939379,0.0973023171,0.3867044811
p_ppz,0.4788574510,0.1779412540,0.1238544145,0.2193468805
p_ppp,0.5451484181,0.2025746764,0.1410002873,0.1112766182
