Country_Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
CHN-2000,2.54,1060.26,5.77,222.41,16.74,47.27,1e-15,0.02,0.59
CHN-2001,2.55,1129.14,4.93,277.43,17.47,48.52,1e-15,0.03,0.72
CHN-2002,2.55,1282.57,4.19,287.97,25.13,50.71,1e-15,0.05,0.84
CHN-2003,2.54,1519.97,5.16,283.68,43.34,54.83,1e-15,0.06,1
CHN-2004,2.53,1722.42,7.46,353.54,50.47,65.53,1e-15,0.08,1.28
CHN-2005,5.32,1980.15,12.14,397.02,53.09,50.51,1e-15,0.08,1.95
CHN-2006,7.13,2302.42,23.82,435.79,54.84,37.92,1e-15,0.09,3.71
CHN-2007,9.86,2656.7,33.91,485.26,62.13,28.09,1e-15,0.11,5.48
CHN-2008,14.87,2708.91,34.57,636.96,68.39,18.81,1e-15,0.15,13.1
CHN-2009,20.86,2911.52,56.56,615.64,70.05,12.12,1e-15,0.28,27.61
CHN-2010,24.9,3233.6,77.73,711.38,74.74,34.71,1e-15,0.7,49.4
CHN-2011,27.63,3690.87,108.77,688.04,87.2,33.8,1e-15,2.61,74.1
CHN-2012,30.13,3748.19,110.25,862.79,98.32,31.22,1e-15,3.59,103.05
CHN-2013,37.13,4077.37,116.39,909.61,111.5,33,1e-15,8.37,138.26
CHN-2014,46.27,4203.06,133.28,1059.69,133.22,35.66,1e-15,23.51,159.76
CHN-2015,54.07,4046.17,166.91,1114.52,171.38,36.46,1e-15,39.48,185.59
CHN-2016,62.13,4156.35,188.28,1153.27,213.18,52.56,1e-15,66.53,240.86
CHN-2017,79.6,4430.03,203.2,1165.06,248.1,56.05,1e-15,117.8,304.6
CHN-2018,93.8,4763.85,215.5,1198.89,295,56.4,1e-15,176.9,365.8
CHN-2019,112.8,4855.12,232.5,1272.54,348.7,52.47,1e-15,224,405.3
CHN-2020,135.7,4921.89,252.5,1321.71,366.2,53.47,1e-15,261.1,466.5
CHN-2021,166,5333.8,287.1,1300,407.5,57.06,1e-15,327,655.8
CHN-2022,182.6,5414.72,275.62,1298.12,417.78,69.93,1e-15,427.27,762.67
CHN-2023,198.2,5752.74,297.8,1226,434.72,76.97,1e-15,584.15,885.87
CHN-2024,208.5,5827.6,320.72,1354.25,450.85,88.88,1e-15,839.04,997.04
CHN-2025,213.01,5751.56,334.17,1397.06,487.61,89.55,1e-15,1174.96,1135.44
DEU-2000,4.33,296.68,49.2,21.73,169.61,18.05,1e-15,1e-15,9.35
DEU-2001,4.59,293.74,55.5,22.73,171.3,20.52,1e-15,0.1,10.46
DEU-2002,5.31,299.6,56.3,23.12,164.84,18.53,1e-15,0.2,15.86
DEU-2003,8.95,304.63,62.59,18.32,165.06,23.08,1e-15,0.31,19.09
DEU-2004,10.64,298.77,62.67,20.75,167.07,23.12,1e-15,0.56,26.02
DEU-2005,14.71,288.14,72.19,19.64,163.05,26.53,1e-15,1.31,27.77
DEU-2006,18.94,288.93,74.73,20.03,167.27,26.71,1e-15,2.27,31.32
DEU-2007,24.62,297.1,77.45,21.17,140.53,26.58,1e-15,3.14,40.51
DEU-2008,28.02,275.21,88.48,20.44,148.49,25.74,0.02,4.51,41.38
DEU-2009,30.89,253.45,80.27,19.03,134.93,23.23,0.02,6.72,39.42
DEU-2010,33.92,262.89,88.76,20.95,140.56,26.59,0.03,11.96,38.55
DEU-2011,36.89,262.46,85.67,17.67,107.97,24.47,0.02,19.99,49.86
DEU-2012,43.2,276.23,75.95,21.75,99.46,24.77,0.03,26.74,51.68
DEU-2013,45.51,288.2,67,23,97.29,25.25,0.08,30.62,52.74
DEU-2014,48.29,274.41,60.61,19.59,97.13,24.67,0.1,35.45,58.5
DEU-2015,50.33,272.2,61.47,18.98,91.79,25.57,0.13,38.08,80.62
DEU-2016,50.93,261.75,80.62,20.55,84.63,25.39,0.17,37.56,79.92
DEU-2017,50.92,241.26,86.04,20.15,76.32,25.16,0.16,38.76,105.69
DEU-2018,50.79,228.16,81.56,17.69,76,23.63,0.18,44.32,109.95
DEU-2019,50.13,171.45,90,19.73,75.07,22.4,0.2,45.22,125.89
DEU-2020,50.93,134.6,95,18.72,64.38,21.28,0.23,49.5,132.11
DEU-2021,49.1,164.65,90.31,19.66,69.13,22.24,0.24,49.34,114.16
DEU-2022,48.6,179.93,79.05,17.62,34.71,21.65,0.21,60.3,124.81
DEU-2023,51.26,124.78,76.66,21.24,7.22,20.96,0.19,63.87,140.54
DEU-2024,51.08,106.33,78.41,23.83,1e-15,20.39,0.22,74.13,141.6
DEU-2025,50.53,103.15,82.67,19.56,1e-15,18.91,1e-15,89.62,136.03
FRA-2000,2.48,27,11.51,64.78,415.16,11.06,0.51,0.01,0.05
FRA-2001,2.85,20.48,15.15,72.62,421.08,9.8,0.48,0.01,0.13
FRA-2002,3.04,23.66,18.37,58.88,436.76,9.76,0.49,0.01,0.27
FRA-2003,3.23,26.26,19.37,57.35,441.07,10.96,0.49,0.01,0.39
FRA-2004,3.31,24.37,21.05,58.04,448.24,10.22,0.47,0.01,0.59
FRA-2005,3.39,27.51,23.07,50.14,451.53,12.05,0.48,0.01,0.96
FRA-2006,3.38,22.89,21.76,54.88,450.19,11.55,0.46,0.01,2.18
FRA-2007,3.75,24.45,21.99,55.99,439.73,11.37,0.47,0.02,4.07
FRA-2008,3.97,23.06,21.88,62.16,439.45,10.26,0.47,0.04,5.69
FRA-2009,4.13,21.67,20.5,55.49,409.74,8.81,0.45,0.17,7.91
FRA-2010,4.44,23.36,23.76,61.2,428.52,10.04,0.48,0.62,9.94
FRA-2011,5.04,17.39,29.49,45.74,442.39,12.36,0.54,2.33,12.37
FRA-2012,5.3,21.46,22.75,59.83,425.41,12.71,0.51,4.43,15.18
