Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Solar,Wind
2000,1.69,390.23,55.96,76.99,15.77,29.16,0.01,1.58
2001,2.07,408.29,55.93,72.02,18.89,26.79,0.01,2.09
2002,2.14,426.7,62.88,68.54,19.35,27.93,0.01,2.09
2003,2.71,441.47,72.8,69.3,18.14,31.09,0.02,2.6
2004,3.31,463.01,76.58,100.64,21.26,28.27,0.02,5.23
2005,4.04,478.48,75.47,97.42,17.73,25.37,0.02,5.99
2006,5.59,505.46,74.7,112.62,17.63,19.08,0.01,9.34
2007,7.4,533.27,90.05,122.61,17.83,13.36,0.06,11.68
2008,9.3,573.12,85.88,115.17,15.23,15.27,0.06,14.38
2009,10.56,611.11,104.37,106.34,16.82,13.08,0.08,16.27
2010,13.22,642.97,118.03,108.74,23.08,10.78,0.11,19.46
2011,15.46,701.25,117.56,131.7,32.22,9.35,0.83,23.95
2012,16.52,787.13,96.25,115.78,33.14,10.07,2.1,27.43
2013,17.57,847.97,66.31,131.98,33.31,10.65,3.43,30.01
2014,21.14,949.93,64.01,139.0,34.69,11.55,4.91,33.45
2015,18.36,1006.55,64.77,133.48,38.31,9.26,7.09,32.74
2016,17.2,1073.6,72.62,128.55,37.9,9.41,12.2,43.45
2017,14.99,1115.24,74.99,135.98,37.41,8.79,22.36,52.63
2018,18.4,1198.86,71.26,139.92,39.05,6.4,37.45,60.31
2019,18.99,1198.76,71.95,162.29,45.16,3.07,37.45,63.31
2020,19.88,1143.78,74.79,163.94,44.61,3.09,52.91,60.43
2021,21.2,1255.56,60.4,160.57,43.92,3.39,65.59,68.09
2022,23.29,1344.42,46.17,175.09,46.19,3.48,95.92,70.05
2023,23.01,1445.44,50.8,149.43,48.2,3.85,115.42,82.11
2024,22.25,1517.9,56.44,156.53,54.7,4.09,143.07,81.54
2025,23.04,1474.15,48.54,177.97,53.83,4.1,195.99,103.98
