Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Solar,Wind
2000,16.11,238.24,258.5,84.47,319.12,182.78,0.34,0.11
2001,16.03,253.91,256.52,81.54,320.54,153.85,0.5,0.25
2002,16.94,264.42,252.76,80.6,314.26,172.99,0.69,0.41
2003,17.88,292.06,273.1,92.47,230.08,185.22,0.95,0.83
2004,18.05,295.39,257.86,91.67,285.87,169.64,1.27,1.44
2005,21.69,319.2,253.09,77.56,293.04,184.95,1.63,1.91
2006,21.53,311.34,280.04,88.81,304.29,154.21,2.0,2.13
2007,22.2,317.31,296.85,74.51,279.01,185.18,2.31,2.74
2008,21.29,333.7,324.83,75.16,251.74,171.45,2.59,2.94
2009,20.33,312.08,324.72,70.47,274.65,105.29,3.05,3.43
2010,21.83,316.85,326.09,88.5,292.36,102.5,3.98,3.93
2011,21.11,285.07,379.83,82.49,162.93,162.87,5.44,4.46
2012,22.13,334.3,435.49,77.1,17.99,207.77,7.37,4.73
2013,23.18,362.55,423.58,79.33,14.6,166.48,12.91,5.13
2014,23.63,355.6,450.88,81.71,0.0,122.34,23.55,5.01
2015,28.49,349.64,417.5,85.77,4.52,104.44,34.54,5.22
2016,23.67,338.59,458.43,79.43,17.68,97.23,43.33,5.34
2017,23.8,363.47,464.13,79.24,29.07,56.89,54.04,6.22
2018,25.75,360.66,445.61,81.0,49.11,52.21,61.22,7.37
2019,27.6,350.77,416.95,73.92,65.64,37.63,67.43,7.46
2020,30.37,340.25,409.44,78.33,43.0,25.31,75.92,8.41
2021,34.79,348.26,385.78,79.63,61.22,31.27,84.18,9.54
2022,37.83,350.99,378.84,74.87,51.77,45.78,91.07,9.42
2023,42.01,326.93,346.98,74.53,77.46,32.5,96.36,9.96
2024,45.42,327.13,346.24,79.45,84.91,25.0,96.7,11.54
2025,54.92,330.08,337.57,73.9,94.09,25.39,101.06,12.85
