Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2000,154.13,5808.81,2745.57,2629.67,2540.46,1324.32,43.65,1.02,31.15
2001,149.55,5890.67,2914.78,2563.72,2613.17,1285.24,44.15,1.36,38.19
2002,162.81,6144.3,3104.81,2611.58,2654.78,1271.84,45.83,1.72,52.22
2003,176.37,6574.95,3255.5,2611.97,2601.05,1296.25,46.61,2.11,63.2
2004,192.41,6797.3,3503.08,2802.61,2719.41,1263.66,48.26,2.78,85.48
2005,212.76,7167.21,3680.54,2911.77,2726.97,1277.89,48.59,3.95,104.4
2006,226.61,7566.97,3900.59,3018.07,2761.59,1175.78,50.76,5.42,133.2
2007,249.29,8051.83,4219.27,3062.78,2703.49,1196.05,52.81,7.29,171.15
2008,266.38,8074.19,4360.99,3245.35,2694.72,1171.72,56.59,11.85,220.85
2009,286.46,7950.77,4382.35,3241.27,2656.76,1071.16,58.66,19.82,276.26
2010,327.19,8458.0,4807.86,3428.21,2725.91,1078.66,59.72,32.21,345.99
2011,345.27,8911.04,4865.93,3488.07,2610.34,1186.76,61.08,63.56,439.98
2012,374.02,8960.28,5161.35,3660.17,2432.22,1238.6,62.84,96.92,529.26
2013,406.47,9423.85,5058.36,3790.79,2448.52,1196.83,64.32,131.75,634.14
2014,442.68,9603.84,5214.12,3870.67,2498.73,1143.66,69.53,197.74,706.1
2015,471.79,9283.61,5539.88,3882.13,2532.93,1133.29,73.08,256.01,829.63
2016,482.08,9327.96,5849.92,4014.75,2571.05,1085.11,75.87,327.47,960.3
2017,507.39,9655.05,5973.6,4054.03,2594.23,993.83,78.82,444.65,1139.44
2018,537.74,10033.03,6224.56,4176.84,2658.7,908.6,81.72,575.16,1268.14
2019,566.0,9826.39,6401.31,4227.76,2754.08,855.03,82.95,697.94,1420.96
2020,601.17,9437.05,6382.94,4347.02,2648.33,775.88,86.12,853.39,1591.47
2021,655.3,10156.49,6556.63,4288.7,2762.44,842.25,86.33,1053.99,1856.94
2022,669.2,10240.44,6628.27,4324.07,2639.64,887.42,87.94,1333.12,2107.66
2023,683.62,10395.94,6699.42,4240.11,2697.74,876.79,88.4,1664.14,2319.18
2024,703.37,10538.94,6882.73,4433.65,2777.11,853.84,88.44,2142.65,2509.5
2025,710.41,10471.53,6921.14,4434.97,2811.57,841.62,89.33,2778.64,2713.14
