redshift,Dark Energy,Cold Dark Matter,Baryons,Photons,Neutrinos
z=0.0,6.900201e-01,2.609116e-01,4.897762e-02,5.441957e-05,3.627972e-05
z=0.5,3.973956e-01,5.071408e-01,9.519909e-02,1.586652e-04,1.057768e-04
z=1.0,2.176318e-01,6.583305e-01,1.235800e-01,2.746222e-04,1.830815e-04
z=2.0,7.612438e-02,7.771758e-01,1.458893e-01,4.862977e-04,3.241985e-04
z=3.0,3.358391e-02,8.127237e-01,1.525623e-01,6.780546e-04,4.520364e-04
z=5.0,1.018575e-02,8.319144e-01,1.561647e-01,1.041098e-03,6.940653e-04
z=10.0,1.664783e-03,8.378521e-01,1.572793e-01,1.922303e-03,1.281535e-03
z=20.0,2.389089e-04,8.366080e-01,1.570458e-01,3.664401e-03,2.442934e-03
z=50.0,1.653875e-05,8.295547e-01,1.557217e-01,8.824232e-03,5.882821e-03
z=100.0,2.099124e-06,8.177752e-01,1.535105e-01,1.722729e-02,1.148486e-02
z=200.0,2.589649e-07,7.951716e-01,1.492674e-01,3.333640e-02,2.222426e-02
z=500.0,1.544248e-08,7.342806e-01,1.378371e-01,7.672934e-02,5.115290e-02
z=800.0,3.509846e-09,6.820517e-01,1.280329e-01,1.139493e-01,7.596617e-02
z=1000.0,1.716970e-09,6.511733e-01,1.222365e-01,1.359541e-01,9.063608e-02
z=1050.0,1.466793e-09,6.438857e-01,1.208685e-01,1.411475e-01,9.409834e-02
z=1080.0,1.339040e-09,6.395909e-01,1.200623e-01,1.442081e-01,9.613874e-02
z=1100.0,1.261774e-09,6.367594e-01,1.195307e-01,1.462259e-01,9.748395e-02
