Year,Gold,Silver
1688,0.9372647428,0.0627352572
1689,0.9375780275,0.0624219725
1690,0.9375780275,0.0624219725
1691,0.9374217772,0.0625782228
1692,0.9371859296,0.0628140704
1693,0.9368288061,0.0631711939
1694,0.9369880277,0.0630119723
1695,0.9375780275,0.0624219725
1696,0.9375000000,0.0625000000
1697,0.9382716049,0.0617283951
1698,0.9377722464,0.0622277536
1699,0.9372647428,0.0627352572
1700,0.9367488931,0.0632511069
1701,0.9377722464,0.0622277536
1702,0.9394673123,0.0605326877
1703,0.9381570810,0.0618429190
1704,0.9383477189,0.0616522811
1705,0.9379267536,0.0620732464
1706,0.9385371850,0.0614628150
1707,0.9391727494,0.0608272506
1708,0.9390615478,0.0609384522
1709,0.9386879215,0.0613120785
1710,0.9383477189,0.0616522811
1711,0.9386126458,0.0613873542
1712,0.9386879215,0.0613120785
1713,0.9384236453,0.0615763547
1714,0.9380037198,0.0619962802
1715,0.9379267536,0.0620732464
1716,0.9378495960,0.0621504040
1717,0.9380037198,0.0619962802
1718,0.9379267536,0.0620732464
1719,0.9378495960,0.0621504040
1720,0.9376558603,0.0623441397
1721,0.9376947040,0.0623052960
1722,0.9381570810,0.0618429190
1723,0.9382716049,0.0617283951
1724,0.9379267536,0.0620732464
1725,0.9379267536,0.0620732464
1726,0.9380804954,0.0619195046
1727,0.9384236453,0.0615763547
1728,0.9379267536,0.0620732464
1729,0.9371859296,0.0628140704
1730,0.9367488931,0.0632511069
1731,0.9372647428,0.0627352572
1732,0.9378495960,0.0621504040
1733,0.9381953028,0.0618046972
1734,0.9389871873,0.0610128127
1735,0.9390615478,0.0609384522
1736,0.9381953028,0.0618046972
1737,0.9375780275,0.0624219725
1738,0.9371464488,0.0628535512
1739,0.9371464488,0.0628535512
1740,0.9372647428,0.0627352572
1741,0.9371859296,0.0628140704
1742,0.9369085174,0.0630914826
1743,0.9369085174,0.0630914826
1744,0.9369880277,0.0630119723
1745,0.9374217772,0.0625782228
1746,0.9380037198,0.0619962802
1747,0.9384993850,0.0615006150
1748,0.9379267536,0.0620732464
1749,0.9367088608,0.0632911392
1750,0.9356913183,0.0643086817
1751,0.9350227420,0.0649772580
1752,0.9354838710,0.0645161290
1753,0.9356499356,0.0643500644
1754,0.9354005168,0.0645994832
1755,0.9362244898,0.0637755102
1756,0.9372647428,0.0627352572
1757,0.9369880277,0.0630119723
1758,0.9369085174,0.0630914826
1759,0.9339933993,0.0660066007
1760,0.9339498018,0.0660501982
1761,0.9356499356,0.0643500644
1762,0.9385371850,0.0614628150
1763,0.9374609131,0.0625390869
1764,0.9363057325,0.0636942675
1765,0.9368288061,0.0631711939
1766,0.9367088608,0.0632911392
1767,0.9369085174,0.0630914826
1768,0.9367088608,0.0632911392
1769,0.9363867684,0.0636132316
1770,0.9359795134,0.0640204866
1771,0.9361430396,0.0638569604
1772,0.9355670103,0.0644329897
1773,0.9359795134,0.0640204866
1774,0.9359795134,0.0640204866
1775,0.9363867684,0.0636132316
1776,0.9356913183,0.0643086817
1777,0.9356499356,0.0643500644
1778,0.9362244898,0.0637755102
1779,0.9367088608,0.0632911392
1780,0.9363867684,0.0636132316
1781,0.9366286439,0.0633713561
1782,0.9351491569,0.0648508431
1783,0.9354005168,0.0645994832
1784,0.9363057325,0.0636942675
1785,0.9371859296,0.0628140704
1786,0.9373433584,0.0626566416
1787,0.9371859296,0.0628140704
1788,0.9361022364,0.0638977636
1789,0.9365079365,0.0634920635
1790,0.9376558603,0.0623441397
1791,0.9376947040,0.0623052960
1792,0.9381570810,0.0618429190
1793,0.9375000000,0.0625000000
1794,0.9389126451,0.0610873549
1795,0.9395770393,0.0604229607
1796,0.9399399399,0.0600600601
1797,0.9390615478,0.0609384522
1798,0.9397227245,0.0602772755
1799,0.9402628435,0.0597371565
