pair_id,group_A,group_B,metric_distance,higgins_angle,metric_energy_delta,dominant_contrast_carrier,boundary_pressure_delta,rank,classification
P014,2000,2014,39.17866470882883,103.05574593553527,1255.6203425192402,Nuclear,999999999990003.5,1,STRONG_DIVERGENCE
P038,2001,2014,38.96233322754501,103.84780036317933,1267.6668477759915,Nuclear,999999999995668.0,2,STRONG_DIVERGENCE
P061,2002,2014,38.77242429496364,103.84194303358693,1274.4322783557122,Nuclear,999999999997310.1,3,STRONG_DIVERGENCE
P104,2004,2014,38.328395052045764,103.61461869509516,1288.524577436497,Nuclear,999999999999117.6,4,STRONG_DIVERGENCE
P083,2003,2014,38.2521498364839,101.25631587358534,1282.7975188195833,Nuclear,999999999998684.1,5,STRONG_DIVERGENCE
P124,2005,2014,38.24382943024509,103.90463992658331,1292.0487704364928,Nuclear,999999999999293.1,6,STRONG_DIVERGENCE
P143,2006,2014,38.2199286511637,104.34143467705638,1293.9867798713587,Nuclear,999999999999418.4,7,STRONG_DIVERGENCE
P161,2007,2014,38.06423780167688,103.45370123697238,1296.2329831898144,Nuclear,999999999999489.6,8,STRONG_DIVERGENCE
P194,2009,2014,38.044406387034854,104.74438212639073,1299.9494127129285,Nuclear,999999999999635.2,9,STRONG_DIVERGENCE
P209,2010,2014,38.003084062474734,105.11155005927475,1301.8374034238595,Nuclear,999999999999706.4,10,STRONG_DIVERGENCE
P178,2008,2014,37.932410926056,102.35294976411681,1297.2812044293948,Nuclear,999999999999543.5,11,STRONG_DIVERGENCE
P223,2011,2014,37.33692739524425,97.88032264930541,1304.6605776213485,Nuclear,999999999999752.9,12,STRONG_DIVERGENCE
P270,2014,2025,36.481284055004956,88.8779256772232,1317.2200597679293,Nuclear,999999999999920.4,13,STRONG_DIVERGENCE
P269,2014,2024,36.4144716617125,87.52343318054463,1316.6336788965564,Nuclear,999999999999912.4,14,STRONG_DIVERGENCE
P268,2014,2023,36.31773494874354,85.72536870748917,1316.5015990080533,Nuclear,999999999999899.4,15,STRONG_DIVERGENCE
P264,2014,2019,36.22782217999415,84.14669199417958,1314.157501377754,Nuclear,999999999999860.1,16,STRONG_DIVERGENCE
P266,2014,2021,36.113550302795424,82.10691689565259,1315.5214311085065,Nuclear,999999999999892.0,17,STRONG_DIVERGENCE
P263,2014,2018,35.898902862328065,78.79367726384655,1313.7751648469232,Nuclear,999999999999853.5,18,STRONG_DIVERGENCE
P267,2014,2022,35.88531657320742,77.92782723370736,1316.0003971959577,Nuclear,999999999999890.0,19,STRONG_DIVERGENCE
P265,2014,2020,35.86064921823433,78.05765277820763,1314.1935884176153,Nuclear,999999999999880.2,20,STRONG_DIVERGENCE
P262,2014,2017,35.437415636154334,71.98078775855234,1312.149119550252,Nuclear,999999999999827.4,21,STRONG_DIVERGENCE
P236,2012,2014,35.15454910161714,70.64293022792617,1304.745036875132,Nuclear,999999999999766.5,22,STRONG_DIVERGENCE
P261,2014,2016,34.949446022146844,65.36181532454634,1310.447246519137,Nuclear,999999999999801.2,23,STRONG_DIVERGENCE
P248,2013,2014,34.870572644974985,66.10702430233745,1306.9160586480275,Nuclear,999999999999788.5,24,STRONG_DIVERGENCE
P260,2014,2015,33.66755592026156,49.67460545972657,1305.7397077588735,Nuclear,999999999999772.6,25,STRONG_DIVERGENCE
P025,2000,2025,7.223275777699131,57.05779690364364,61.59971724868915,Solar,9916.855252918289,26,STRONG_DIVERGENCE
P015,2000,2015,7.219540375432219,59.20677767516743,50.11936523963331,Nuclear,9769.097345132745,27,STRONG_DIVERGENCE
