degree_k,subset_id,carrier_subset,subset_metric_energy,subset_boundary_pressure,subset_stability_score,dominant_time_window,rank,classification
2,S0024,Nuclear-Solar,24.67799804982279,22160117434508.68,0.000123986716393827,2014,1,UNSTABLE_SUBCOMPOSITION
2,S0025,Nuclear-Wind,24.00311210689097,4714317976514.098,0.000153200748683002,2014,2,UNSTABLE_SUBCOMPOSITION
2,S0015,Gas-Nuclear,23.505562520541034,424269798253539.0,8.451773401015007e-05,2014,3,UNSTABLE_SUBCOMPOSITION
2,S0010,Coal-Nuclear,22.98552132559668,334613068352906.75,8.688897256462424e-05,2014,4,UNSTABLE_SUBCOMPOSITION
2,S0023,Nuclear-Other Fossil,20.826043374439415,115119692863596.3,9.866686390326778e-05,2014,5,UNSTABLE_SUBCOMPOSITION
2,S0019,Hydro-Nuclear,20.345072751297202,76887609153870.3,0.00010376463809412947,2014,6,UNSTABLE_SUBCOMPOSITION
2,S0004,Bioenergy-Nuclear,19.915328221465717,22235395965071.758,0.00012212838982789774,2014,7,UNSTABLE_SUBCOMPOSITION
2,S0018,Gas-Wind,11.345472259875143,2351.0,0.030658447070877743,2000,8,UNSTABLE_SUBCOMPOSITION
2,S0013,Coal-Wind,11.036251954485463,2166.818181818182,0.029047767854799823,2000,9,UNSTABLE_SUBCOMPOSITION
2,S0017,Gas-Solar,7.831130554786356,761.2941176470588,0.02372552985462082,2000,10,UNSTABLE_SUBCOMPOSITION
2,S0012,Coal-Solar,7.685553180090504,701.7058823529411,0.02237737600919841,2000,11,UNSTABLE_SUBCOMPOSITION
2,S0027,Other Fossil-Wind,7.04924098919976,1662.6363636363637,0.02160396733362577,2000,12,UNSTABLE_SUBCOMPOSITION
2,S0022,Hydro-Wind,5.8016715023473475,768.9090909090909,0.03997491666723446,2000,13,UNSTABLE_SUBCOMPOSITION
2,S0026,Other Fossil-Solar,5.722541035034957,538.5882352941176,0.027792040890488638,2000,14,UNSTABLE_SUBCOMPOSITION
2,S0021,Hydro-Solar,4.036966953232606,249.44117647058818,0.045437875665374695,2000,15,UNSTABLE_SUBCOMPOSITION
2,S0002,Bioenergy-Gas,3.5265887429883813,20.678716674197922,0.6574971647689776,2012,16,MODERATE_SUBCOMPOSITION
2,S0001,Bioenergy-Coal,3.3154671368161885,17.365096952908587,0.7178426525118018,2004,17,MODERATE_SUBCOMPOSITION
2,S0007,Bioenergy-Wind,2.4705958229662603,147.45454545454547,0.11668773810436188,2000,18,UNSTABLE_SUBCOMPOSITION
2,S0006,Bioenergy-Solar,1.7548161752422293,48.382352941176464,0.19537193246590054,2000,19,UNSTABLE_SUBCOMPOSITION
2,S0005,Bioenergy-Other Fossil,1.3698925115313652,12.345747982619491,0.4825570586025131,2000,20,UNSTABLE_SUBCOMPOSITION
2,S0016,Gas-Other Fossil,1.254488520556838,17.17700513630976,0.3767912840857017,2020,21,UNSTABLE_SUBCOMPOSITION
2,S0011,Coal-Other Fossil,1.1093338893449245,14.443303042275781,0.41795499002653996,2020,22,UNSTABLE_SUBCOMPOSITION
2,S0014,Gas-Hydro,1.101301943120496,6.857269056032307,0.8999799933573003,2017,23,MODERATE_SUBCOMPOSITION
2,S0028,Solar-Wind,1.0815374691086386,10.674698795180722,0.46094462003871045,2023,24,UNSTABLE_SUBCOMPOSITION
2,S0009,Coal-Hydro,0.9725050416423577,5.745265151515151,0.9637299157052817,2019,25,STABLE_SUBCOMPOSITION
2,S0003,Bioenergy-Hydro,0.7503269112014651,6.24332712600869,0.8785556998327052,2000,26,MODERATE_SUBCOMPOSITION
2,S0020,Hydro-Other Fossil,0.26442703545159074,4.178000000000001,0.9666748530512385,2024,27,STABLE_SUBCOMPOSITION
2,S0008,Coal-Gas,0.012553125483323503,2.35393839156502,0.9998102897707888,2016,28,STABLE_SUBCOMPOSITION
3,S0071,Gas-Nuclear-Wind,39.23609792487143,428984116230052.1,6.279500619270988e-05,2014,1,UNSTABLE_SUBCOMPOSITION
3,S0061,Coal-Nuclear-Wind,38.68325692464874,339327386329419.9,6.387794160668795e-05,2014,2,UNSTABLE_SUBCOMPOSITION
3,S0070,Gas-Nuclear-Solar,37.343127416766784,446429915688046.7,5.7422835396217995e-05,2014,3,UNSTABLE_SUBCOMPOSITION
3,S0060,Coal-Nuclear-Solar,36.89938170367331,356773185787414.4,5.834523865192871e-05,2014,4,UNSTABLE_SUBCOMPOSITION
3,S0082,Nuclear-Other Fossil-Wind,34.585597647020094,119834010840109.4,6.851070203965298e-05,2014,5,UNSTABLE_SUBCOMPOSITION
3,S0081,Nuclear-Other Fossil-Solar,34.15105497286476,137279810298103.98,6.250696150389365e-05,2014,6,UNSTABLE_SUBCOMPOSITION
3,S0077,Hydro-Nuclear-Wind,33.433237573690334,81601927130383.39,7.051547368872603e-05,2014,7,UNSTABLE_SUBCOMPOSITION
3,S0083,Nuclear-Solar-Wind,33.175098417214926,26874435411021.777,7.736627328394097e-05,2014,8,UNSTABLE_SUBCOMPOSITION
3,S0076,Hydro-Nuclear-Solar,32.70669183623506,99047726588377.98,6.407158069848805e-05,2014,9,UNSTABLE_SUBCOMPOSITION
3,S0036,Bioenergy-Gas-Nuclear,31.29831965666343,446505194218609.75,5.659203567180489e-05,2014,10,UNSTABLE_SUBCOMPOSITION
3,S0051,Coal-Gas-Nuclear,31.00242464774737,758882866606444.8,4.820164259283127e-05,2014,11,UNSTABLE_SUBCOMPOSITION
3,S0046,Bioenergy-Nuclear-Wind,30.926024100881968,26949713941584.855,7.692263158511958e-05,2014,12,UNSTABLE_SUBCOMPOSITION
3,S0045,Bioenergy-Nuclear-Solar,30.898761631020495,44395513399579.44,6.948151822220252e-05,2014,13,UNSTABLE_SUBCOMPOSITION
3,S0031,Bioenergy-Coal-Nuclear,30.810877789252388,356848464317977.44,5.750200382753596e-05,2014,14,UNSTABLE_SUBCOMPOSITION
3,S0069,Gas-Nuclear-Other Fossil,30.3907296103582,539389491117134.44,5.133120397145421e-05,2014,15,UNSTABLE_SUBCOMPOSITION
3,S0065,Gas-Hydro-Nuclear,29.967958143305832,501157407407408.3,5.250734224964113e-05,2014,16,UNSTABLE_SUBCOMPOSITION
3,S0059,Coal-Nuclear-Other Fossil,29.94726572625401,449732761216502.06,5.2085942139331496e-05,2014,17,UNSTABLE_SUBCOMPOSITION
3,S0055,Coal-Hydro-Nuclear,29.53539941235749,411500677506776.06,5.329955740457696e-05,2014,18,UNSTABLE_SUBCOMPOSITION
3,S0044,Bioenergy-Nuclear-Other Fossil,28.07417607162433,137355088828667.06,6.157986603823627e-05,2014,19,UNSTABLE_SUBCOMPOSITION
3,S0075,Hydro-Nuclear-Other Fossil,27.62369544079215,192007302017465.6,5.693108730804447e-05,2014,20,UNSTABLE_SUBCOMPOSITION
3,S0040,Bioenergy-Hydro-Nuclear,27.340485255976247,99123005118941.06,6.322097388533886e-05,2014,21,UNSTABLE_SUBCOMPOSITION
3,S0054,Coal-Gas-Wind,14.92951822656261,4516.818181818182,0.01706210100215864,2000,22,UNSTABLE_SUBCOMPOSITION
