Date,Mechanical,Thermal,Age,Errors
2024-01-01,45.0506,32.5656,28.4135,2947.37
2024-01-02,45.3947,32.665,28.4341,2947.27
2024-01-03,47.1021,32.7883,28.461,2947.69
2024-01-04,42.1685,32.5153,28.4782,2948.17
2024-01-05,39.0277,32.2588,28.502,2948.53
2024-01-06,38.6247,32.2847,28.5262,2948.23
2024-01-07,39.057,32.2774,28.5492,2948.72
2024-01-08,40.3996,32.3012,28.5716,2948.69
2024-01-09,43.1476,32.2296,28.593,2948.8
2024-01-10,40.6574,32.061,28.6165,2948.09
2024-01-11,39.0937,32.0572,28.6377,2946.49
2024-01-12,40.6115,32.0438,28.2289,2969.88
2024-01-13,40.7968,32.0488,28.2519,2969.75
2024-01-14,41.0166,32.101,28.2742,2970.29
2024-01-15,41.2094,32.0934,28.2971,2970.64
2024-01-16,48.973,32.1691,28.3207,2970.93
2024-01-17,53.0551,32.2273,28.3367,2966.59
2024-01-18,50.7359,32.1679,28.3651,2966.35
2024-01-19,39.3618,32.2237,28.3877,2965.84
2024-01-20,39.3625,32.3743,28.4567,1928.25
2024-01-21,39.7903,32.4014,28.4783,1928.49
2024-01-22,39.9034,32.4684,28.5013,1929.04
2024-01-23,39.8091,32.6166,28.5203,1929.07
2024-01-24,39.8824,32.671,28.5463,1928.3
2024-01-25,39.7598,32.636,28.568,1928.29
2024-01-26,39.5077,32.8136,28.5909,1927.95
2024-01-27,40.0766,32.7351,28.6034,1928.45
2024-01-28,40.1606,32.611,28.6057,1928.28
2024-01-29,40.3291,32.7405,28.6263,1929.04
2024-01-30,41.1584,32.8301,28.5839,1925.93
2024-01-31,41.5483,32.7689,28.4646,1915.64
2024-02-01,41.4612,32.7838,28.3846,1909.65
2024-02-02,41.3571,32.8575,28.3469,1906.23
2024-02-03,42.0096,32.8427,28.3639,1906.68
2024-02-04,41.3898,32.7648,28.3925,1907.09
2024-02-05,41.9551,32.725,28.4149,1907.26
2024-02-06,41.9963,32.7225,28.4334,1907.17
2024-02-07,41.3892,32.6813,28.4585,1906.95
2024-02-08,41.1929,32.5651,28.4814,1901.85
2024-02-09,40.7844,32.6254,28.5055,1902.3
2024-02-10,42.6044,32.5984,28.5273,1902.63
2024-02-11,43.5791,32.5697,28.5499,1903.4
2024-02-12,40.6681,32.4835,28.5727,1903.18
2024-02-13,42.409,32.5143,28.5941,1903.76
2024-02-14,42.8593,32.4942,28.6185,1903.78
2024-02-15,42.6977,32.5217,28.6401,1902.5
2024-02-16,41.9313,32.4525,28.594,1894.34
2024-02-17,40.3885,32.6917,28.5732,1891.64
2024-02-18,42.1249,32.7745,28.7103,1900.41
2024-02-19,41.1366,32.8369,28.7332,1898.89
2024-02-20,41.5802,32.9478,28.7556,1899.46
2024-02-21,41.2967,33.0177,28.7167,1894.93
2024-02-22,41.438,32.865,28.6845,1892.32
2024-02-23,42.716,32.8094,28.7088,1892.25
2024-02-24,43.9902,32.8929,28.7312,1893.1
2024-02-25,45.6401,32.8341,28.7428,1893.9
2024-02-26,46.3267,32.769,28.7638,1894.12
2024-02-27,48.9254,32.6732,28.7849,1894.95
2024-02-28,48.6661,32.5993,28.8014,1895.2
2024-02-29,42.2218,32.5865,28.6301,1893.61
2024-03-01,42.4544,32.5557,28.433,1890.11
2024-03-02,44.5444,32.5339,28.3991,1889.18
2024-03-03,47.5815,32.4911,28.4136,1889.86
2024-03-04,43.9079,32.4112,28.4409,1890.12
2024-03-05,44.3203,32.4273,28.4637,1890.63
2024-03-06,44.1478,32.41,28.355,1894.9
2024-03-07,44.8183,32.3919,28.0463,1872.81
2024-03-08,46.0487,32.3664,28.0452,1871.79
2024-03-09,45.4722,32.4499,27.9555,1864.16
2024-03-10,45.3061,32.485,27.9778,1864.38
2024-03-11,51.0452,32.5129,28.0006,1859.44
2024-03-12,55.3872,32.5508,28.0232,1859.76
2024-03-13,63.9381,32.4703,28.0469,1860.71
2024-03-14,63.8793,32.4985,28.0037,1856.87
2024-03-15,76.52,32.5865,27.9751,1852.92
2024-03-16,76.8275,32.6341,27.861,1856.86
2024-03-17,78.4921,32.582,27.883,1856.74
2024-03-18,77.7602,32.629,27.9063,1856.88
2024-03-19,45.148,32.8052,27.9284,1857.2
2024-03-20,45.7528,32.7166,27.9509,1857.7
2024-03-21,45.343,32.7747,27.9737,856.028
2024-03-22,44.9713,32.9537,27.9742,856.577
2024-03-23,45.4054,33.0897,27.933,855.537
2024-03-24,45.4495,33.0818,27.9014,854.743
2024-03-25,47.4983,33.0806,27.9246,855.472
2024-03-26,58.7178,33.0937,27.8821,853.498
2024-03-27,72.5576,32.9537,27.8574,851.805
2024-03-28,47.7037,32.8382,27.8777,852.034
2024-03-29,48.7114,32.9403,27.9003,853.102
2024-03-30,48.2801,32.9944,27.6751,835.985
2024-03-31,48.8725,33.0348,27.6879,834.855
2024-04-01,50.3997,33.0992,27.7098,835.501
2024-04-02,66.622,33.125,27.7334,835.641
2024-04-03,51.9579,33.1539,27.6157,836.098
2024-04-04,53.8654,32.9167,27.6452,836.419
2024-04-05,54.2235,32.3421,27.6681,836.887
2024-04-06,47.6738,32.4183,27.6904,837.092
2024-04-07,47.9297,32.238,27.7104,837.226
2024-04-08,50.5311,32.2536,27.7369,837.721
2024-04-09,50.7844,32.3034,27.7597,835.128
2024-04-10,51.1594,32.2501,27.6813,833.836
2024-04-11,54.127,32.4096,27.6875,834.361
2024-04-12,49.1741,32.5744,27.7101,834.678
2024-04-13,49.6352,32.7679,27.6138,832.399
2024-04-14,48.5896,32.6413,27.3843,830.19
2024-04-15,48.2636,32.5368,27.4064,830.868
2024-04-16,49.5899,32.5216,27.4292,830.951
2024-04-17,52.2301,32.3714,27.4498,831.27
2024-04-18,49.6644,32.5175,27.3001,826.434
2024-04-19,47.7861,32.711,27.339,470.165
2024-04-20,47.9515,32.9413,27.3625,470.552
2024-04-21,47.9448,33.0502,27.2755,472.847
2024-04-22,47.4233,33.0319,27.298,473.198
2024-04-23,48.8415,33.1576,27.3184,471.252
2024-04-24,49.5886,33.0225,27.3426,472.227
2024-04-25,49.4075,33.0221,27.2616,470.844
2024-04-26,48.1631,33.0254,27.1374,470.528
2024-04-27,47.6138,33.1313,27.1593,471.207
2024-04-28,48.239,33.0529,27.1831,472.263
2024-04-29,48.6668,32.9931,27.2067,472.388
2024-04-30,48.4802,33.0147,27.2292,473.151
2024-05-01,48.9667,33.0017,27.119,473.631
2024-05-02,50.5964,33.2245,27.1471,473.685
2024-05-03,50.2084,33.23,27.1682,473.755
2024-05-04,46.8584,33.3068,27.1897,474.073
2024-05-05,45.8377,33.2224,27.2113,474.475
