depth_m,x_SiO2,x_Al2O3,x_Rb,x_Zr,clr_SiO2,clr_Al2O3,clr_Rb,clr_Zr,aitchison_step,helmsman,regime,Keff,cnq_radial,bary_x,bary_y,logSiAl,logZrRb,CaCO3_pct,TOC_pct,alpha_SiO2,alpha_Al2O3,alpha_Rb,alpha_Zr
15.39,0.679932,0.319649,0.000239,0.00018,4.2361,3.4813,-3.7171,-4.0003,0.0,,0,1.8784,7.7385,-0.3115,-0.0543,0.7548,-0.2832,19.92,0.31,,,,
16.0,0.679958,0.319611,0.000241,0.00019,4.2205,3.4656,-3.7244,-3.9617,0.0451,Zr,0,1.8785,7.7064,-0.2747,-0.0428,0.7549,-0.2373,25.25,0.47,0.18,0.38,109.32,4069.66
17.21,0.684439,0.315114,0.000241,0.000206,4.2095,3.4339,-3.7436,-3.8998,0.073,Zr,0,1.8723,7.6639,-0.2072,-0.0274,0.7757,-0.1562,42.83,6.06,0.03,0.59,288.2,3783.95
19.25,0.688014,0.311525,0.000247,0.000215,4.1993,3.407,-3.7331,-3.8732,0.0405,Al2O3,0,1.8673,7.6276,-0.1825,0.0024,0.7923,-0.1401,6.5,5.51,0.09,1.4,280.52,2086.21
20.2,0.704117,0.29542,0.000224,0.000239,4.2274,3.3589,-3.8246,-3.7617,0.1547,Zr,0,1.8425,7.6113,-0.0299,-0.023,0.8685,0.0629,0.33,5.11,0.05,0.31,1418.58,2422.19
22.14,0.700694,0.298849,0.000231,0.000226,4.2274,3.3752,-3.7895,-3.8131,0.0644,Zr,0,1.8478,7.6265,-0.0924,-0.0141,0.8521,-0.0237,1.17,1.48,0.0,0.22,1329.28,2670.1
23.3,0.697812,0.301733,0.000233,0.000223,4.2237,3.3853,-3.7825,-3.8264,0.0184,Zr,0,1.8523,7.632,-0.1105,-0.0168,0.8384,-0.0439,0.67,2.68,0.06,0.99,619.82,2304.29
24.15,0.698371,0.301171,0.000234,0.000224,4.2219,3.3808,-3.7801,-3.8226,0.0065,Al2O3,0,1.8515,7.626,-0.1073,-0.0114,0.8411,-0.0426,1.17,2.15,0.1,1.52,590.16,1488.63
25.03,0.701538,0.298001,0.000233,0.000228,4.2244,3.3683,-3.7843,-3.8084,0.0196,Zr,0,1.8466,7.6168,-0.0888,-0.0048,0.8562,-0.0241,0.58,2.45,0.02,1.36,197.33,2352.79
26.2,0.698193,0.301337,0.000233,0.000236,4.2086,3.3683,-3.7951,-3.7818,0.0327,Zr,0,1.8519,7.6002,-0.0662,-0.0078,0.8403,0.0132,0.5,4.16,0.33,0.0,466.06,2886.35
27.2,0.696706,0.302841,0.000236,0.000217,4.2242,3.3911,-3.7669,-3.8484,0.0773,Zr,0,1.854,7.6383,-0.1369,-0.0119,0.8332,-0.0814,1.83,0.87,0.06,0.29,568.36,3129.85
28.2,0.709046,0.290491,0.00023,0.000233,4.2359,3.3436,-3.7957,-3.7838,0.086,Zr,0,1.8345,7.6057,-0.0525,0.0047,0.8923,0.0119,3.92,1.32,0.03,1.01,474.07,2596.46
