# Frielingen-9 mudstone (Lower Cretaceous, eastern Lower Saxony Basin)
# Source: Thoele et al. 2019, PANGAEA 897615 (CC-BY 4.0); discrete WD-XRF + CaCO3 + TOC.
# https://doi.pangaea.de/10.1594/PANGAEA.897615  | paper: https://doi.org/10.1002/dep2.83
# Complete-suite samples only (rows with SiO2/Al2O3/Rb/Zr/CaCO3/TOC). Rb,Zr in mg/kg.
depth_m,SiO2_pct,Al2O3_pct,Rb_mgkg,Zr_mgkg,CaCO3_pct,TOC_pct
15.39,42.67,20.06,150,113,19.92,0.31
16.00,40.06,18.83,142,112,25.25,0.47
17.21,23.61,10.87,83,71,42.83,6.06
19.25,36.22,16.40,130,113,6.50,5.51
20.20,48.36,20.29,154,164,0.33,5.11
22.14,51.84,22.11,171,167,1.17,1.48
23.30,48.89,21.14,163,156,0.67,2.68
24.15,50.18,21.64,168,161,1.17,2.15
25.03,50.52,21.46,168,164,0.58,2.45
26.20,44.88,19.37,150,152,0.50,4.16
27.20,52.89,22.99,179,165,1.83,0.87
28.20,51.38,21.05,167,169,3.92,1.32
29.20,48.46,20.59,167,157,7.25,1.25
30.44,51.66,21.20,170,165,3.08,1.07
31.77,51.04,21.11,166,161,3.75,0.94
32.55,51.96,21.15,173,171,2.08,0.90
33.75,47.74,19.79,165,145,10.25,1.41
34.75,48.18,19.55,166,152,11.00,1.18
35.65,50.78,20.00,167,155,3.92,0.82
36.75,52.80,21.46,172,165,2.33,1.52
37.75,49.63,19.48,172,150,8.08,1.01
38.71,51.64,20.27,173,154,7.08,0.82
39.76,54.71,21.95,172,167,0.58,1.37
40.75,48.88,19.04,162,151,12.50,0.86
41.75,54.09,21.14,166,177,0.83,1.52
42.75,52.66,20.97,173,163,3.58,1.39
43.75,53.57,20.86,175,173,1.83,1.69
44.75,49.19,20.71,164,148,10.25,0.87
45.64,44.69,18.33,143,130,18.67,0.98
45.72,49.01,20.98,169,145,2.00,1.79
46.75,41.32,17.15,132,125,23.25,0.82
47.76,47.43,19.20,157,142,10.83,1.50
48.75,46.75,19.66,157,150,11.42,1.41
49.75,45.32,18.96,146,135,15.83,1.29
50.75,52.25,21.54,172,159,1.00,1.24
51.75,48.20,19.89,154,141,12.00,0.83
52.75,49.98,21.01,168,148,6.25,1.04
53.75,49.54,19.99,163,147,4.25,2.16
55.75,50.10,20.34,165,153,5.58,1.72
56.75,53.94,20.92,170,164,4.17,0.81
57.75,50.73,20.53,163,150,4.25,1.23
58.75,50.23,19.38,161,155,3.00,1.81
59.75,47.63,19.20,155,147,2.33,1.83
60.76,52.42,20.64,171,159,3.00,1.30
61.75,51.90,20.73,171,158,4.83,1.56
62.75,49.92,20.86,172,147,7.08,0.88
63.75,49.21,20.10,162,150,6.92,0.74
64.75,44.48,18.53,151,134,9.50,1.88
65.75,49.35,19.91,161,153,11.17,0.76
66.75,46.29,19.05,157,138,10.08,1.47
67.75,47.75,20.10,158,148,11.08,1.52
68.75,36.74,15.56,101,108,32.08,0.78
69.75,19.97,8.91,52,64,45.58,3.22
70.75,29.57,12.85,86,93,27.75,2.65
71.75,48.72,19.87,161,155,10.58,0.84
72.75,50.44,21.58,177,155,5.67,0.86
73.75,49.19,20.57,161,146,9.50,0.79
74.75,46.91,20.11,158,150,12.08,0.75
75.64,47.76,19.94,154,145,11.17,0.75
76.75,43.38,17.97,143,131,16.92,0.59
