Gold,Silver
0.937265,0.062735
0.937578,0.062422
0.937578,0.062422
0.937422,0.062578
0.937186,0.062814
0.936829,0.063171
0.936988,0.063012
0.937578,0.062422
0.937500,0.062500
0.938272,0.061728
0.937772,0.062228
0.937265,0.062735
0.936749,0.063251
0.937772,0.062228
0.939467,0.060533
0.938157,0.061843
0.938348,0.061652
0.937927,0.062073
0.938537,0.061463
0.939173,0.060827
0.939062,0.060938
0.938688,0.061312
0.938348,0.061652
0.938613,0.061387
0.938688,0.061312
0.938424,0.061576
0.938004,0.061996
0.937927,0.062073
0.937850,0.062150
0.938004,0.061996
0.937927,0.062073
0.937850,0.062150
0.937656,0.062344
0.937695,0.062305
0.938157,0.061843
0.938272,0.061728
0.937927,0.062073
0.937927,0.062073
0.938080,0.061920
0.938424,0.061576
0.937927,0.062073
0.937186,0.062814
0.936749,0.063251
0.937265,0.062735
0.937850,0.062150
0.938195,0.061805
0.938987,0.061013
0.939062,0.060938
0.938195,0.061805
0.937578,0.062422
0.937146,0.062854
0.937146,0.062854
0.937265,0.062735
0.937186,0.062814
0.936909,0.063091
0.936909,0.063091
0.936988,0.063012
0.937422,0.062578
0.938004,0.061996
0.938499,0.061501
0.937927,0.062073
0.936709,0.063291
0.935691,0.064309
0.935023,0.064977
0.935484,0.064516
0.935650,0.064350
0.935401,0.064599
0.936224,0.063776
0.937265,0.062735
0.936988,0.063012
0.936909,0.063091
0.933993,0.066007
0.933950,0.066050
0.935650,0.064350
0.938537,0.061463
0.937461,0.062539
0.936306,0.063694
0.936829,0.063171
0.936709,0.063291
0.936909,0.063091
0.936709,0.063291
0.936387,0.063613
0.935980,0.064020
0.936143,0.063857
0.935567,0.064433
0.935980,0.064020
0.935980,0.064020
0.936387,0.063613
0.935691,0.064309
0.935650,0.064350
0.936224,0.063776
0.936709,0.063291
0.936387,0.063613
0.936629,0.063371
0.935149,0.064851
0.935401,0.064599
0.936306,0.063694
0.937186,0.062814
0.937343,0.062657
0.937186,0.062814
0.936102,0.063898
0.936508,0.063492
0.937656,0.062344
0.937695,0.062305
0.938157,0.061843
0.937500,0.062500
0.938913,0.061087
0.939577,0.060423
0.939940,0.060060
0.939062,0.060938
0.939723,0.060277
0.940263,0.059737
0.940048,0.059952
0.939247,0.060753
0.938499,0.061501
0.939062,0.060938
0.939062,0.060938
0.940441,0.059559
0.939467,0.060533
0.939136,0.060864
0.941452,0.058548
0.941038,0.058962
0.940370,0.059630
0.939504,0.060496
0.941555,0.058445
0.942029,0.057971
0.937656,0.062344
0.938499,0.061501
0.938575,0.061425
0.937927,0.062073
0.938838,0.061162
0.938763,0.061237
0.939832,0.060168
0.941003,0.058997
0.940476,0.059524
0.940618,0.059382
0.940547,0.059453
0.940120,0.059880
0.940334,0.059666
0.940263,0.059737
0.940405,0.059595
0.940405,0.059595
0.940547,0.059453
0.940191,0.059809
0.940227,0.059773
0.940933,0.059067
0.940227,0.059773
0.940476,0.059524
0.940191,0.059809
0.940582,0.059418
0.940653,0.059347
0.939832,0.060168
0.939832,0.060168
0.940120,0.059880
0.940723,0.059277
0.940933,0.059067
0.940653,0.059347
0.940898,0.059102
0.940828,0.059172
0.940476,0.059524
0.940653,0.059347
0.940405,0.059595
0.940120,0.059880
0.939247,0.060753
0.939723,0.060277
0.938763,0.061237
0.938763,0.061237
0.938950,0.061050
0.938950,0.061050
0.938537,0.061463
0.938950,0.061050
0.938233,0.061767
0.938613,0.061387
0.939394,0.060606
0.938838,0.061162
0.938913,0.061087
0.938913,0.061087
0.939173,0.060827
0.939136,0.060864
0.939650,0.060350
0.939723,0.060277
0.939759,0.060241
0.939650,0.060350
0.939650,0.060350
0.939868,0.060132
0.940933,0.059067
0.941725,0.058275
0.943311,0.056689
0.946667,0.053333
0.945055,0.054945
0.947146,0.052854
0.948427,0.051573
0.947507,0.052493
0.948052,0.051948
0.947917,0.052083
0.949084,0.050916
0.949006,0.050994
0.951004,0.048996
0.954086,0.045914
0.954751,0.045249
