Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2000,8.92,116.23,35.83,356.76,72.29,13.51,0.0,0.02,0.26
2001,9.67,111.69,42.29,331.52,76.16,16.08,0.0,0.02,0.33
2002,10.05,110.7,38.83,349.27,75.0,15.51,0.0,0.02,0.41
2003,9.42,109.56,38.73,336.14,74.37,19.34,0.0,0.02,0.69
2004,9.8,99.9,40.44,338.4,89.76,19.25,0.0,0.01,0.94
2005,9.16,102.86,36.88,361.96,91.4,16.65,0.0,0.02,1.57
2006,8.94,95.92,40.42,352.89,97.28,10.49,0.0,0.02,2.47
2007,8.99,106.47,43.01,367.62,92.83,12.23,0.0,0.03,3.01
2008,7.98,100.8,39.63,377.49,95.35,10.03,0.0,0.04,3.79
2009,8.94,84.72,45.27,368.69,89.46,10.04,0.0,0.11,6.64
2010,10.3,86.45,52.78,351.39,90.03,7.1,0.0,0.26,8.72
2011,10.21,79.9,62.53,375.72,92.94,6.21,0.0,0.57,10.19
2012,10.91,69.35,63.24,380.27,94.2,6.38,0.0,0.88,11.31
2013,11.04,70.54,60.29,391.79,102.72,6.66,0.0,1.5,11.15
2014,9.8,69.38,65.05,382.5,106.54,4.76,0.0,2.12,12.82
2015,9.99,64.96,67.98,382.19,101.1,5.0,0.0,2.89,26.97
2016,11.36,65.02,65.82,385.43,100.72,4.84,0.0,3.01,30.93
2017,11.15,62.81,61.46,394.59,100.6,3.92,0.0,3.31,31.51
2018,10.54,53.02,70.74,385.89,100.03,4.02,0.0,3.49,33.47
2019,10.31,50.14,72.94,381.77,100.49,3.42,0.0,3.75,32.88
2020,10.41,39.04,75.59,386.55,97.51,6.96,0.0,4.07,35.76
2021,10.55,34.83,83.6,382.43,91.98,6.6,0.0,5.11,37.3
2022,9.52,26.49,90.44,397.73,86.63,8.05,0.0,5.74,39.48
2023,9.8,23.74,102.88,360.74,88.43,6.89,0.0,8.4,40.51
2024,9.83,25.14,109.6,343.2,85.47,7.3,0.0,9.42,46.83
2025,10.52,26.68,115.9,344.74,85.32,7.63,0.0,10.17,51.48
