SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
47.31881284,2.033789148,15.11544799,9.573033256,10.55730749,10.50620726,0.163520736,1.492126712,2.728752274,0.511002299
49.51460441,1.790670753,15.96255071,10.39483553,9.178466658,7.234309841,0.204648086,1.524628241,3.796221996,0.399063768
45.60147595,1.932708603,16.50637617,11.34613405,11.47088673,7.542787087,0.219388544,1.420802,3.541557926,0.417882941
44.73966467,2.303448374,15.89074957,9.58711449,11.17223198,9.660276881,0.182652294,1.907701737,3.906729621,0.649430379
50.52453292,3.611793919,13.82830088,13.7937839,8.94832089,4.636488262,0.213055259,0.872512014,3.043646561,0.527565404
49.75154242,1.628679276,18.61201412,8.691527879,10.80664551,6.494230573,0.112675925,0.57362289,3.093466298,0.235595115
48.82942163,3.874706909,15.00181026,13.22482301,8.997028871,5.031033055,0.162291389,1.06503724,3.296543837,0.517303802
48.38464438,2.051935724,15.18432436,10.88443149,11.43954166,7.612681537,0.164154858,0.851553326,3.016345515,0.410387145
48.56243619,2.110969013,15.48720536,11.24796144,10.34171839,7.814644904,0.060893337,0.862655606,3.085262404,0.426253358
48.19541446,1.87538642,17.09021496,10.60658063,10.38520437,7.672951967,0.161323563,0.67554242,3.03489953,0.302481681
47.96761586,2.418110144,16.20842029,11.46074533,9.884910503,7.001390039,0.182117082,0.870114947,3.510812635,0.495763168
47.72403711,2.378578208,16.40609071,11.47419825,10.11403981,7.074745438,0.182967554,0.792859403,3.395064621,0.457418886
50.39376277,3.188837942,15.19506587,12.0083194,7.7746906,4.059441316,0.253082376,1.305905062,5.031277641,0.789617014
47.62603024,3.363293113,14.10558383,15.43398787,9.74117671,5.365521121,0.224969439,0.787393037,3.003342011,0.348702631
44.97723642,2.812995228,9.482351186,14.09624028,13.13413045,13.19550489,0.163665177,0.623973487,1.309321415,0.204581471
51.52879774,3.457335967,14.16058564,13.02833295,8.363854675,4.668438686,0.207026106,0.569321791,3.415930746,0.600375707
52.38241642,3.175316721,13.75283281,12.23548297,8.391908477,4.690808792,0.216498867,0.773210241,3.824813323,0.556711373
46.92270049,2.167907975,15.42549905,11.73070847,10.97503412,10.05784229,0.166762152,0.187607421,2.15748534,0.20845269
