Z,N,A,element,mass_excess_keV,binding_per_A_keV,binding_per_A_unc_keV,is_stable,halflife_s,primary_decay,isotopic_abundance,binding_total_keV
1,1,2,H,13135.722895,1112.2831,0.0002,True,1e+30,IS,0.0145,2224.5662
1,2,3,H,14949.8109,2827.2654,0.0003,False,388819200.0,B-,,8481.7962
2,1,3,He,14931.21888,2572.68044,0.00015,True,1e+30,IS,0.0002,7718.04132
1,3,4,H,24621.129,1720.4491,25.0,False,1.3899999999999998e-22,n,,6881.7964
2,2,4,He,2424.91587,7073.9156,0.0002,True,1e+30,IS,99.9998,28295.6624
3,1,4,Li,25323.19,1153.7603,53.033,False,9.099999999999999e-23,p,,4615.0412
1,4,5,H,32892.447,1336.3592,17.8885,False,8.599999999999999e-23,2n,,6681.796
2,3,5,He,11231.234,5512.1325,4.0,False,6.019999999999999e-22,n,,27560.6625
3,2,5,Li,11678.887,5266.1325,10.0,False,3.6999999999999995e-22,p,,26330.6625
4,1,5,Be,37139.0,18.0,401.0,False,,p ?,,90.0
1,5,6,H,41875.725,961.6395,42.3545,False,2.94e-22,n ?,,5769.8369999999995
2,4,6,He,17592.095,4878.5199,0.0089,False,0.80692,B-,,29271.119400000003
3,3,6,Li,14086.88044,5332.3312,0.0003,True,1e+30,IS,4.85,31993.987199999996
4,2,6,Be,18375.034,4487.2478,0.908,False,5e-21,2p,,26923.4868
1,6,7,H,49135.0,940.0,143.0,False,6.52e-22,2n ?,,6580.0
2,5,7,He,26073.128,4123.0578,1.0799,False,2.5099999999999994e-21,n,,28861.404599999998
3,4,7,Li,14907.10463,5606.4401,0.0006,True,1e+30,IS,95.15,39245.0807
4,3,7,Be,15768.998,5371.5487,0.0101,False,4598208.0,EC,,37600.8409
5,2,7,B,27676.553,3558.7055,3.5929,False,5.7e-22,p,,24910.9385
2,6,8,He,31609.683,3924.521,0.0111,False,0.11950000000000001,B-,,31396.168
3,5,8,Li,20945.805,5159.7124,0.0059,False,0.8387000000000001,B-,,41277.6992
4,4,8,Be,4941.672,7062.4356,0.0044,False,8.190000000000001e-17,A,,56499.4848
5,3,8,B,22921.569,4717.1551,0.125,False,0.7719,B+,,37737.2408
6,2,8,C,35064.269,3101.5242,2.2804,False,3.4999999999999996e-21,2p,,24812.1936
2,7,9,He,40935.826,3349.038,5.2018,False,2.5e-21,n,,30141.342
3,6,9,Li,24954.905,5037.7685,0.0207,False,0.1782,B-,,45339.9165
4,5,9,Be,11348.451,6462.6693,0.0085,True,1e+30,IS,100.0,58164.0237
5,4,9,B,12416.486,6257.0713,0.1003,False,7.999999999999999e-19,p,,56313.64169999999
6,3,9,C,28910.971,4337.4233,0.2374,False,0.1265,B+,,39036.809700000005
2,8,10,He,49197.147,2995.134,9.2848,False,2.6e-22,2n,,29951.34
3,7,10,Li,33052.628,4531.3512,1.2721,False,2e-21,n,,45313.512
4,6,10,Be,12607.487,6497.6306,0.0081,False,43773720000000.0,B-,,64976.306000000004
