Z,N,A,B_exp_MeV,B_semf_pred_MeV,B_vol,B_surf,B_coul,B_asym,B_pair,B_pair_signed,shell_residual_MeV,is_stable,ln_coul_vol,ln_asym_vol,ln_surf_vol,ratio_exp_semf,ln_exp_semf,N_over_Z,Z_over_N,ln_N_over_Z,ln_Z_over_N,vol_over_coul,coul_over_vol,surf_over_vol,vol_over_surf
1,1,2,2.2245662000000004,-4.6611925386995505,31.5,28.25573872503395,0.0,0.0,7.9054538136656,-7.9054538136656,6.8857587386995505,True,-inf,-17.26549810379586,-0.10869096816025106,-0.47725258751500604,-13.815510557964274,1.0,1.0,0.0,0.0,inf,0.0,0.8970075785725063,1.1148177829125985
2,2,4,28.2956624,22.841006757267255,63.0,44.85318937625749,0.8958038664752549,0.0,5.59,5.59,5.454655642732746,True,-4.253168515383781,-17.958645284355807,-0.33974002834689937,1.2388097731724217,0.2141510583111878,1.0,1.0,0.0,0.0,70.32789470745188,0.014219108991670712,0.711955386924722,1.4045823914887157
3,4,7,39.245080699999995,39.4985586245971,110.25,65.1356416384089,2.230085451279714,3.3857142857142857,4.22564280824316,0.0,-0.2534779245971066,True,-3.9007106106295675,-3.483185615241183,-0.5262786243253736,0.9935826031778472,-0.006438076835183215,1.3333333333333333,0.75,0.28768207245178085,-0.2876820724517809,49.437567487261106,0.020227532437911238,0.5907994706431646,1.6926216926216362
4,5,9,58.1640237,57.99878183429679,141.75,77.0161270544156,4.101757777954269,2.6333333333333333,3.7266666666666666,0.0,0.16524186570320865,True,-3.542649334444164,-3.9858144718029953,-0.6100501004190091,1.0028490575228857,0.0028450066507890825,1.25,0.8,0.22314355131420976,-0.2231435513142097,34.55835465513449,0.028936562807437526,0.5433236476501982,1.8405236074757017
5,6,11,76.2050553,76.66115592444618,173.25,88.04035648982686,6.393942131181503,2.1545454545454543,3.370896832379397,0.0,-0.4561006244461794,True,-3.299384637961041,-4.3871558627272975,-0.6769403322397263,0.9940504337699305,-0.005967335413576633,1.2,0.8333333333333334,0.1823215567939546,-0.1823215567939546,27.09595996421476,0.036905870887050524,0.5081694458287265,1.9678475520486924
6,6,12,92.1617352,89.61225871452066,189.0,93.29839363383671,9.316735656412627,0.0,3.2273880047700083,3.2273880047700083,2.5494764854793317,True,-3.0099346991723834,-19.057257573023918,-0.7059441245696029,1.0284500862052952,0.02805289826263082,1.0,1.0,0.0,0.0,20.286075184489427,0.049294897652976864,0.49364229435892437,2.0257583505859524
7,8,15,115.49190449999999,114.29835674600596,236.25,108.26319552120651,12.108447732787525,1.5799999999999998,2.886663587373261,0.0,1.1935477539940251,True,-2.9709871976367834,-5.007465719334977,-0.7803253083410061,1.0104423876945696,0.010388242574218451,1.1428571428571428,0.875,0.13353139262452257,-0.13353139262452263,19.511171474133466,0.05125268881603185,0.45825691225907517,2.1821820320620735
8,8,16,127.6193152,125.97105502857275,252.0,113.0229549001358,15.800990071291455,0.0,2.795,2.795,1.6482601714272533,True,-2.769356486701764,-19.344939645475698,-0.8018381487201964,1.013084435714644,0.012999573929814762,1.0,1.0,0.0,0.0,15.948367720188271,0.06270234155274387,0.4485037892862532,2.229635565825197
9,10,19,147.8013648,152.07557438854923,299.25,126.74253898845546,19.184518201942677,1.2473684210526315,2.56486790467288,0.0,-4.27420958854924,True,-2.7471757343230703,-5.480243275463438,-0.8591215676957495,0.9718941742897598,-0.028508354636412492,1.1111111111111112,0.9,0.10536051565782635,-0.10536051565782628,15.598515263713901,0.06410866567065222,0.4235339648737025,2.3610857285039684
10,12,22,177.7702432,181.98220004532038,346.5,139.75535450760648,22.836938546837946,4.309090909090909,2.3835840088557245,2.3835840088557245,-4.211956845320373,True,-2.719503481931361,-4.3871558627272975,-0.9079893924263746,0.9768551163560423,-0.023416932351572887,1.2,0.8333333333333334,0.1823215567939546,-0.1823215567939546,15.172786811565738,0.06590747055364486,0.40333435644330873,2.479332553810244
11,12,23,186.5643528,189.7593656178128,362.25,143.95891330380314,27.501286295775387,1.0304347826086957,2.331191149158096,0.0,-3.1950128178127954,True,-2.5781018032303216,-5.8623537489888555,-0.9228066466166525,0.9831628188289386,-0.016980537933434185,1.0909090909090908,0.9166666666666666,0.0870113769896297,-0.08701137698962981,13.17211115523884,0.07591797459151245,0.39740210711884927,2.516342973745065
12,14,26,216.6806486,220.14676589661914,409.5,156.21961660485846,31.68004204321344,3.646153846153846,2.1925783908448975,2.1925783908448975,-3.4661172966191316,True,-2.559250009226143,-4.72126403205363,-0.9636740873140968,0.9842554248639437,-0.015869837500689234,1.1666666666666667,0.8571428571428571,0.15415067982725836,-0.15415067982725836,12.926119209103886,0.07736274003226726,0.3814886852377496,2.621309723450342
13,14,27,224.95193909999998,227.20022222222224,425.25,160.2,36.972,0.8777777777777778,2.151592003180005,0.0,-2.2482831222222615,True,-2.44251636187344,-6.183039049139214,-0.9762541966417124,0.9901043973450728,-0.009944889549448445,1.0769230769230769,0.9285714285714286,0.07410797215372183,-0.07410797215372185,11.501947419668939,0.08694179894179895,0.3767195767195767,2.654494382022472
14,16,30,255.619647,257.87864982225466,472.5,171.85711045980207,41.64541911557923,3.1599999999999997,2.041179397635919,2.041179397635919,-2.259002822254672,True,-2.4288463695899503,-5.007465719334977,-1.0113743685276546,0.9912400548714998,-0.008798538999929105,1.1428571428571428,0.875,0.13353139262452257,-0.13353139262452263,11.34578568386268,0.08813845315466504,0.3637187522958774,2.7493770768973755
15,16,31,262.9161987,264.3001785606176,488.25,175.65524877729771,47.530056533052424,0.7645161290322581,2.0079872766593434,0.0,-1.3839798606176146,True,-2.3294652897132644,-6.459339726100849,-1.0223043094686515,0.9947636060325241,-0.005250151927449483,1.0666666666666667,0.9375,0.06453852113757116,-0.06453852113757118,10.272447281026706,0.09734778603799779,0.3597649744542708,2.779592431189014
16,18,34,291.8389524,295.1436349498355,535.5,186.81250628897885,52.67297764896126,2.788235294117647,1.9173541818932487,1.9173541818932487,-3.3046825498354906,True,-2.3190983239300955,-5.2577920052429885,-1.0530954161789898,0.9888031380029687,-0.011260018737054763,1.125,0.8888888888888888,0.11778303565638346,-0.11778303565638351,10.166503279325436,0.09836223650599675,0.3488562208944516,2.8665104421415935
17,20,37,317.1004192,321.3022790914543,582.75,197.64590394084476,58.0369521028361,5.764864864864864,1.8379806780738945,0.0,-4.201859891454319,True,-2.3066783650135068,-4.615976565082786,-1.0812812121883442,0.9869224086945916,-0.013163855916863879,1.1764705882352942,0.85,0.16251892949777494,-0.16251892949777494,10.041016608994576,0.09959150939997616,0.33916071032319994,2.948454728282234
18,20,38,327.3426666,331.9139196292998,598.5,201.19123971939473,64.71373929744212,2.494736842105263,1.8136354882419252,1.8136354882419252,-4.5712530292998395,True,-2.2244529921333385,-5.480243275463438,-1.0901706278823982,0.9862275946895952,-0.013868124758587374,1.1111111111111112,0.9,0.10536051565782635,-0.10536051565782628,9.248422460169232,0.10812654853373788,0.33615913069238884,2.9747816099485216
19,22,41,351.6189971,358.3837841098554,645.75,211.64559803633392,70.51817882942042,5.202439024390244,1.7460226579146159,0.0,-6.764787009855411,True,-2.2145418996603436,-4.821284873202953,-1.1154992635417051,0.9811241822041206,-0.019056240064240965,1.1578947368421053,0.8636363636363636,0.14660347419187544,-0.1466034741918754,9.157213228124249,0.10920352896542071,0.32775160361801614,3.051091097529663
20,26,46,398.7733008,403.6749677340669,724.5,228.5205304186559,75.40507683013246,18.54782608695652,1.64840106981175,1.64840106981175,-4.9016669340668955,True,-2.2626071570489,-3.665129171652637,-1.153855706803301,0.9878573918972949,-0.012216931837240392,1.3,0.7692307692307693,0.26236426446749106,-0.262364264467491,9.60810638297081,0.10407878099397165,0.3154182614474202,3.17039348137647
21,24,45,387.852345,394.8581908602969,708.75,225.19652163556705,83.95528750413612,4.739999999999999,1.666615999229843,0.0,-7.0058458602968585,True,-2.1332184895335504,-5.007465719334977,-1.146529404563709,0.9822573115552374,-0.01790197689070445,1.1428571428571428,0.875,0.13353139262452257,-0.13353139262452263,8.441993602428946,0.11845543210460123,0.3177375966639394,3.147251098074072
22,28,50,437.786135,441.2701901323537,787.5,241.58316787694667,89.16373275343281,17.064,1.58109076273312,1.58109076273312,-3.484055132353717,True,-2.178388997272994,-3.8318923895307386,-1.1816495764496513,0.9921044856184174,-0.007926848999521985,1.2727272727272727,0.7857142857142857,0.24116205681688804,-0.2411620568168881,8.832066308593179,0.11322378762340675,0.30677227666913864,3.259746972111578
23,28,51,445.8463452,449.82569112840036,803.25,244.79363409371834,97.0130277190578,11.617647058823529,1.5655131339433148,0.0,-3.9793459284003916,True,-2.1138207221288403,-4.2361407577110075,-1.1882504522150448,0.9911535823611628,-0.008885779504304971,1.2173913043478262,0.8214285714285714,0.1967102942460543,-0.19671029424605427,8.279815802947102,0.12077563363717124,0.30475397957512396,3.281335329547331
24,30,54,474.01022879999994,478.08467915914594,850.5,254.30164852530552,103.83507761134386,15.799999999999999,1.5214052957953295,1.5214052957953295,-4.074450359145999,True,-2.1030205635924752,-3.9858144718029953,-1.207303256828361,0.9914775550508915,-0.008558968645241081,1.25,0.8,0.22314355131420976,-0.2231435513142097,8.19087363890104,0.12208709889634788,0.2990025261908354,3.3444533487377957
25,30,55,482.07635849999997,485.869707420347,866.25,257.43156405483796,112.17600125208774,10.772727272727273,1.5075108924678093,0.0,-3.793348920347057,True,-2.0441044728776863,-4.3871558627272975,-1.2134196363844263,0.9921926622252553,-0.007837974601862571,1.2,0.8333333333333334,0.1823215567939546,-0.1823215567939546,7.722239965153669,0.12949610534151543,0.2971792947241997,3.3649719807298837
26,32,58,509.9506972,514.156491058734,913.5,266.70961021185127,119.3915598212002,14.710344827586205,1.468005919371698,1.468005919371698,-4.205793858734012,True,-2.034874865622748,-4.128732399767285,-1.2311229114890758,0.9918200121327388,-0.008213627541699978,1.2307692307692308,0.8125,0.20763936477824455,-0.2076393647782445,7.651294625583667,0.1306968361480024,0.29196454319852355,3.4250734320161684
27,32,59,517.3142361,521.2308928779415,929.25,269.76649547323655,128.21023876746597,10.042372881355933,1.4555120247656108,0.0,-3.916656777941512,True,-1.9807064022990197,-4.527564380073795,-1.2368210559421757,0.992485754717423,-0.007542619453344515,1.1851851851851851,0.84375,0.16989903679539742,-0.16989903679539747,7.247861082962137,0.13797173932468762,0.2903056179426812,3.4446457050563963
28,34,62,545.262441,549.5145732712476,976.5,278.83532669281817,135.8086711332157,13.761290322580644,1.4198614198621298,1.4198614198621298,-4.25213227124766,True,-1.972727684997794,-4.26211514876463,-1.2533533696552999,0.9922620209216021,-0.0077680725809556594,1.2142857142857142,0.8235294117647058,0.1941560144409574,-0.1941560144409575,7.19026253516717,0.1390769801671436,0.28554564945501093,3.5020670141835053
29,36,65,569.2112855,574.5358497641081,1023.75,287.75899413891165,143.5890022508264,17.866153846153846,1.3867083327073506,0.0,-5.324564264108062,True,-1.9642725674830432,-4.048319558811205,-1.2691043312721484,0.990732407270505,-0.009310804050824245,1.2413793103448276,0.8055555555555556,0.216223108469636,-0.21622310846963594,7.129724310025337,0.1402578776564849,0.28108326655815546,3.557664645942566
30,36,66,578.135811,584.1816328523942,1039.5,290.7028520961562,153.06440519332597,12.927272727272726,1.3761628691489398,1.3761628691489398,-6.04582185239417,True,-1.9156363255038098,-4.3871558627272975,-1.2741934886490778,0.9896507840842682,-0.010403141431294923,1.2,0.8333333333333334,0.1823215567939546,-0.1823215567939546,6.791258873590325,0.14724810504408462,0.2796564233729257,3.5758163103819944
31,38,69,601.9960061999999,609.258921847673,1086.75,299.4466067473724,161.21403662234582,16.830434782608695,1.3459138374988997,0.0,-7.26291564767314,True,-1.908213967766249,-4.167758028214449,-1.2890107428393558,0.9880790984141073,-0.011992525315239403,1.2258064516129032,0.8157894736842105,0.20359895524123955,-0.20359895524123955,6.741038328726805,0.1483450992614178,0.27554323142155274,3.6291945726298867
32,40,72,628.6857047999999,636.6470792625053,1134.0,308.0645082176624,169.53932148877647,21.066666666666666,1.3175756356109336,1.3175756356109336,-7.961374462505319,True,-1.9004215991870725,-3.9858144718029953,-1.3031972809789545,0.9874948386290756,-0.012584008925252946,1.25,0.8,0.22314355131420976,-0.2231435513142097,6.688713804219578,0.14950557450509389,0.2716618238250991,3.6810472149514033
33,42,75,652.56561,661.052335680117,1181.25,316.56350409961556,178.0381602202674,25.596,1.290955201908003,0.0,-8.486725680117047,True,-1.8923305682327454,-3.8318923895307386,-1.316804612485706,0.9871617945780563,-0.012921327371991007,1.2727272727272727,0.7857142857142857,0.24116205681688804,-0.2411620568168881,6.634813562095715,0.1507201356362052,0.2679902680208386,3.7314787860962224
34,44,78,679.9889615999999,687.7228012546263,1228.5,324.94989734313674,186.70857174179528,30.384615384615383,1.2658857241736579,1.2658857241736579,-7.733839654626422,True,-1.8840002306206856,-3.6996127845216487,-1.3298781835367997,0.988754423089481,-0.01130928649487479,1.2941176470588236,0.7727272727272727,0.25782910930209985,-0.2578291093020998,6.579772897084385,0.15198092937875074,0.2645094809467943,3.780582822288887
35,46,81,704.3716665000001,711.5681876382716,1275.75,333.229428452915,195.54868020510952,35.4037037037037,1.2422222222222221,0.0,-7.196521138271578,True,-1.8754801679082147,-3.584473080878693,-1.3424582928644158,0.9898863928105651,-0.010165097175132925,1.3142857142857143,0.7608695652173914,0.27329333499968134,-0.2732933349996813,6.523950960251307,0.15328134838730906,0.2612027657871174,3.8284433818553403
36,48,84,732.2655732,737.6272180998661,1323.0,341.40734456026956,204.5567039177121,40.628571428571426,1.2198380064191974,1.2198380064191974,-5.361644899866178,True,-1.8668119462960993,-3.483185615241183,-1.3545808409213738,0.9927312268740871,-0.007295319374621237,1.3333333333333333,0.75,0.28768207245178085,-0.2876820724517809,6.467644299412494,0.15461580039131678,0.25805543806520753,3.87513631759743
37,48,85,739.2825359999999,745.5064854344905,1338.75,344.11157875427665,215.3942887524093,33.737647058823526,1.212641259206288,0.0,-6.223949434490578,True,-1.8270213720039592,-3.6808772845144486,-1.3585256601370415,0.9916513812339766,-0.008383663671016015,1.2972972972972974,0.7708333333333334,0.2602830982636665,-0.2602830982636664,6.215345855984426,0.16089209243877445,0.25703946125436167,3.8904532211511986
38,50,88,768.4684304,771.5014819522723,1386.0,352.16142595930745,224.74706591102984,38.78181818181818,1.1917920044278623,1.1917920044278623,-3.0330515522723545,True,-1.8192015613842032,-3.5762256465109687,-1.3700875127996717,0.9960686380736467,-0.003939110043419829,1.3157894736842106,0.76,0.27443684570176036,-0.2744368457017603,6.1669325665353645,0.16215517020997824,0.25408472291436324,3.935695104097385
39,50,89,775.5469790000001,778.6994008489269,1401.75,354.824288080122,236.00496275634438,32.221348314606736,1.1850776298471104,0.0,-3.1524218489267923,True,-1.7816239015706925,-3.7728475109980955,-1.3738540312176493,0.9959516832227043,-0.00405653339480471,1.2820512820512822,0.78,0.24846135929849972,-0.2484613592984996,5.9394937446599,0.1683645177502011,0.253129508172015,3.950546924463847
40,50,90,783.897291,787.3651964930978,1417.5,357.47719534387846,247.50275030437973,26.333333333333332,1.178475474689416,1.178475474689416,-3.46790549309776,True,-1.7452283413139755,-3.9858144718029953,-1.3775784647503577,0.9955955565364792,-0.004414171599825666,1.25,0.8,0.22314355131420976,-0.2231435513142097,5.727209084572812,0.17460511485317795,0.2521884975970924,3.9652879077682783
41,52,93,805.7691957000001,811.1701083748723,1464.75,365.37764141581476,257.36676633834526,30.83548387096774,1.1593119947086155,0.0,-5.400912674872188,True,-1.7389376845033018,-3.8607737578403274,-1.3885084056913546,0.9933418248292056,-0.006680439701557223,1.2682926829268293,0.7884615384615384,0.23767165187711956,-0.23767165187711958,5.691294260092531,0.1757069577322719,0.24944710115433677,4.0088659895120795
42,52,94,814.2594054,819.1747928654765,1480.5,367.992164373174,269.27340575722,25.21276595744681,1.153128953317331,1.153128953317331,-4.915387465476556,True,-1.7044079058228674,-4.072784695682473,-1.392073502063604,0.9939995865250169,-0.006018488296457526,1.2380952380952381,0.8076923076923077,0.2135741002980591,-0.21357410029805904,5.49812929292704,0.1818800444155488,0.24855938154216412,4.023183489577383
43,54,97,836.5013637999999,842.9386418614296,1527.75,375.7807179414973,279.4667226713001,29.563917525773196,1.1351570126193862,0.0,-6.437278061429652,False,-1.698668118478118,-3.9449967285405814,-1.4025455674747305,0.9923632898745578,-0.00766601910769529,1.255813953488372,0.7962962962962963,0.22778393087071197,-0.22778393087071197,5.466661595330229,0.18292699896665035,0.24597003301685308,4.065535901812409
44,54,98,844.790772,850.311268034371,1543.5,378.3589858957075,291.77542314534315,24.183673469387756,1.1293505448093717,1.1293505448093717,-5.520496034371035,True,-1.665823436399477,-4.156130088483609,-1.4059644008637933,0.9935076762570341,-0.006513490540966067,1.2272727272727273,0.8148148148148148,0.20479441264601322,-0.20479441264601328,5.290027457971094,0.18903493563028387,0.24513053831921447,4.079459078647221
45,58,103,884.1718480999999,891.9189610728142,1622.25,391.121315930958,300.32331522923755,38.88640776699029,1.1015981329876798,0.0,-7.747112972814307,True,-1.686709741734805,-3.730924578666755,-1.4225515707168146,0.9913141066498957,-0.008723835589684278,1.288888888888889,0.7758620689655172,0.25378052077609964,-0.2537805207760996,5.401678516906796,0.18512764076390048,0.2410980526620176,4.147690074468773
46,58,104,892.8242439999999,899.667333710404,1638.0,393.64876673393564,312.9648041356982,32.815384615384616,1.0962891954224487,1.0962891954224487,-6.843089710404115,True,-1.6551405270462871,-3.9103338158373013,-1.4257722076873935,0.9923937554982886,-0.0076353195076569,1.2608695652173914,0.7931034482758621,0.23180161405732438,-0.2318016140573243,5.233815363115977,0.19106520399004776,0.24032281241388012,4.1610698125395436
47,60,107,915.2674284,922.8438436970027,1685.25,401.1829991831813,323.7904468394419,37.43271028037383,1.0808113947530518,0.0,-7.576415297002768,True,-1.6495726622005928,-3.8071242711312956,-1.4352515194609048,0.9917901437510263,-0.008243742714912069,1.2765957446808511,0.7833333333333333,0.24419696051204215,-0.2441969605120421,5.204755163254293,0.19213199634442482,0.23805548089789724,4.200701434086717
48,62,110,940.6403049999999,947.9213361760947,1732.5,408.64713559046874,334.7684084991223,42.22909090909091,1.065971174776572,1.065971174776572,-7.281031176094757,True,-1.6438817562224768,-3.7142113894848716,-1.4444686965710747,0.9923189500033132,-0.007710701193684775,1.2916666666666667,0.7741935483870968,0.2559333741372007,-0.25593337413720063,5.1752195129981695,0.193228518614212,0.2358713625341811,4.239599030828026
