Z,N,A,element,binding_per_A_keV,binding_total_keV,is_stable,x_proton,x_neutron,N_over_Z
1,1,2,H,1112.2831,2224.5662,True,0.5,0.5,1.0
2,2,4,He,7073.9156,28295.6624,True,0.5,0.5,1.0
3,4,7,Li,5606.4401,39245.0807,True,0.42857142857142855,0.5714285714285714,1.3333333333333333
4,5,9,Be,6462.6693,58164.0237,True,0.4444444444444444,0.5555555555555556,1.25
5,6,11,B,6927.7323,76205.05529999999,True,0.45454545454545453,0.5454545454545454,1.2
6,6,12,C,7680.1446,92161.7352,True,0.5,0.5,1.0
7,8,15,N,7699.4603,115491.90449999999,True,0.4666666666666667,0.5333333333333333,1.1428571428571428
8,8,16,O,7976.2072,127619.3152,True,0.5,0.5,1.0
9,10,19,F,7779.0192,147801.36479999998,True,0.47368421052631576,0.5263157894736842,1.1111111111111112
10,12,22,Ne,8080.4656,177770.2432,True,0.45454545454545453,0.5454545454545454,1.2
11,12,23,Na,8111.4936,186564.3528,True,0.4782608695652174,0.5217391304347826,1.0909090909090908
12,14,26,Mg,8333.8711,216680.64860000001,True,0.46153846153846156,0.5384615384615384,1.1666666666666667
13,14,27,Al,8331.5533,224951.9391,True,0.48148148148148145,0.5185185185185185,1.0769230769230769
14,16,30,Si,8520.6549,255619.647,True,0.4666666666666667,0.5333333333333333,1.1428571428571428
15,16,31,P,8481.1677,262916.1987,True,0.4838709677419355,0.5161290322580645,1.0666666666666667
16,18,34,S,8583.4986,291838.9524,True,0.47058823529411764,0.5294117647058824,1.125
17,20,37,Cl,8570.2816,317100.4192,True,0.4594594594594595,0.5405405405405406,1.1764705882352942
18,20,38,Ar,8614.2807,327342.6666,True,0.47368421052631576,0.5263157894736842,1.1111111111111112
19,22,41,K,8576.0731,351618.9971,True,0.4634146341463415,0.5365853658536586,1.1578947368421053
20,26,46,Ca,8668.9848,398773.3008,True,0.43478260869565216,0.5652173913043478,1.3
21,24,45,Sc,8618.941,387852.34500000003,True,0.4666666666666667,0.5333333333333333,1.1428571428571428
22,28,50,Ti,8755.7227,437786.135,True,0.44,0.56,1.2727272727272727
23,28,51,V,8742.0852,445846.3452,True,0.45098039215686275,0.5490196078431373,1.2173913043478262
24,30,54,Cr,8777.9672,474010.2287999999,True,0.4444444444444444,0.5555555555555556,1.25
25,30,55,Mn,8765.0247,482076.3585,True,0.45454545454545453,0.5454545454545454,1.2
26,32,58,Fe,8792.2534,509950.6972,True,0.4482758620689655,0.5517241379310345,1.2307692307692308
27,32,59,Co,8768.0379,517314.2361,True,0.4576271186440678,0.5423728813559322,1.1851851851851851
28,34,62,Ni,8794.5555,545262.441,True,0.45161290322580644,0.5483870967741935,1.2142857142857142
29,36,65,Cu,8757.0967,569211.2855,True,0.4461538461538462,0.5538461538461539,1.2413793103448276
30,36,66,Zn,8759.6335,578135.811,True,0.45454545454545453,0.5454545454545454,1.2
31,38,69,Ga,8724.5798,601996.0062,True,0.4492753623188406,0.5507246376811594,1.2258064516129032
32,40,72,Ge,8731.7459,628685.7048,True,0.4444444444444444,0.5555555555555556,1.25
33,42,75,As,8700.8748,652565.61,True,0.44,0.56,1.2727272727272727
34,44,78,Se,8717.8072,679988.9615999999,True,0.4358974358974359,0.5641025641025641,1.2941176470588236
35,46,81,Br,8695.9465,704371.6665,True,0.43209876543209874,0.5679012345679012,1.3142857142857143
36,48,84,Kr,8717.4473,732265.5732,True,0.42857142857142855,0.5714285714285714,1.3333333333333333
37,48,85,Rb,8697.4416,739282.536,True,0.43529411764705883,0.5647058823529412,1.2972972972972974
38,50,88,Sr,8732.5958,768468.4304,True,0.4318181818181818,0.5681818181818182,1.3157894736842106
39,50,89,Y,8714.011,775546.979,True,0.43820224719101125,0.5617977528089888,1.2820512820512822
40,50,90,Zr,8709.9699,783897.291,True,0.4444444444444444,0.5555555555555556,1.25
41,52,93,Nb,8664.1849,805769.1957,True,0.44086021505376344,0.5591397849462365,1.2682926829268293
