Z,N,A,x_proton,x_neutron,B_total_MeV,B_per_A_MeV,B_volume,B_surface,B_coulomb,B_asymmetry,B_pairing,is_stable,is_magic_Z,is_magic_N,is_doubly_magic,N_over_Z,parity
1,2,3,0.3333333333333333,0.6666666666666666,2.3245079496761027,0.7748359832253676,47.25,-37.0254920503239,-0.0,-7.8999999999999995,0.0,False,False,True,False,2.0,eo
2,2,4,0.5,0.5,22.841006757267255,5.710251689316814,63.0,-44.85318937625749,-0.8958038664752549,-0.0,5.59,True,True,True,True,1.0,ee
3,4,7,0.42857142857142855,0.5714285714285714,39.4985586245971,5.6426512320853,110.25,-65.1356416384089,-2.230085451279714,-3.3857142857142857,0.0,True,False,False,False,1.3333333333333333,eo
4,5,9,0.4444444444444444,0.5555555555555556,57.99878183429679,6.444309092699644,141.75,-77.0161270544156,-4.101757777954269,-2.6333333333333333,0.0,True,False,False,False,1.25,eo
5,6,11,0.45454545454545453,0.5454545454545454,76.66115592444618,6.96919599313147,173.25,-88.04035648982686,-6.393942131181503,-2.1545454545454543,0.0,True,False,False,False,1.2,eo
6,6,12,0.5,0.5,89.61225871452066,7.467688226210055,189.0,-93.29839363383671,-9.316735656412627,-0.0,3.2273880047700083,True,False,False,False,1.0,ee
7,8,15,0.4666666666666667,0.5333333333333333,114.29835674600596,7.619890449733731,236.25,-108.26319552120651,-12.108447732787525,-1.5799999999999998,0.0,True,False,True,False,1.1428571428571428,eo
8,10,18,0.4444444444444444,0.5555555555555556,143.42035607269153,7.967797559593974,283.5,-122.25548110469585,-15.19264742716782,-5.266666666666667,2.635151271221867,True,True,False,False,1.25,ee
9,10,19,0.47368421052631576,0.5263157894736842,152.07557438854923,8.003977599397327,299.25,-126.74253898845546,-19.184518201942677,-1.2473684210526315,0.0,True,False,False,False,1.1111111111111112,eo
10,12,22,0.45454545454545453,0.5454545454545454,181.98220004532038,8.2719181838782,346.5,-139.75535450760648,-22.836938546837946,-4.309090909090909,2.3835840088557245,True,False,False,False,1.2,ee
11,12,23,0.4782608695652174,0.5217391304347826,189.7593656178128,8.25040720077447,362.25,-143.95891330380314,-27.501286295775387,-1.0304347826086957,0.0,True,False,False,False,1.0909090909090908,eo
12,14,26,0.46153846153846156,0.5384615384615384,220.14676589661914,8.467183303716121,409.5,-156.21961660485846,-31.68004204321344,-3.646153846153846,2.1925783908448975,True,False,False,False,1.1666666666666667,ee
13,14,27,0.48148148148148145,0.5185185185185185,227.20022222222224,8.41482304526749,425.25,-160.2,-36.972,-0.8777777777777778,0.0,True,False,False,False,1.0769230769230769,eo
14,16,30,0.4666666666666667,0.5333333333333333,257.87864982225466,8.595954994075155,472.5,-171.85711045980207,-41.64541911557923,-3.1599999999999997,2.041179397635919,True,False,False,False,1.1428571428571428,ee
15,16,31,0.4838709677419355,0.5161290322580645,264.3001785606176,8.525812211632827,488.25,-175.65524877729771,-47.530056533052424,-0.7645161290322581,0.0,True,False,False,False,1.0666666666666667,eo
16,20,36,0.4444444444444444,0.5555555555555556,312.5826110253814,8.682850306260596,567.0,-194.06847931447248,-51.678909660146054,-10.533333333333333,1.8633333333333333,True,False,True,False,1.25,ee
17,20,37,0.4594594594594595,0.5405405405405406,321.3022790914543,8.683845380850116,582.75,-197.64590394084476,-58.0369521028361,-5.764864864864864,0.0,True,False,True,False,1.1764705882352942,eo
18,22,40,0.45,0.55,350.480965928076,8.762024148201899,630.0,-208.19006296075605,-63.61668432320205,-9.48,1.767713212034124,True,False,False,False,1.2222222222222223,ee
19,22,41,0.4634146341463415,0.5365853658536586,358.3837841098554,8.741067905118424,645.75,-211.64559803633392,-70.51817882942042,-5.202439024390244,0.0,True,False,False,False,1.1578947368421053,eo
20,24,44,0.45454545454545453,0.5454545454545454,387.6887781470348,8.81110859425079,693.0,-221.84779676356314,-76.53069168740997,-8.618181818181817,1.6854484161896985,True,True,False,False,1.2,ee
21,24,45,0.4666666666666667,0.5333333333333333,394.8581908602969,8.774626463562154,708.75,-225.19652163556705,-83.95528750413612,-4.739999999999999,0.0,True,False,False,False,1.1428571428571428,eo
22,26,48,0.4583333333333333,0.5416666666666666,424.2311683334706,8.838149340280637,756.0,-235.0972201212974,-90.38530554761707,-7.8999999999999995,1.6136940023850042,True,False,False,False,1.1818181818181819,ee
23,28,51,0.45098039215686275,0.5490196078431373,449.82569112840036,8.820111590752948,803.25,-244.79363409371834,-97.0130277190578,-11.617647058823529,0.0,True,False,True,False,1.2173913043478262,eo
24,30,54,0.4444444444444444,0.5555555555555556,478.08467915914594,8.853419984428628,850.5,-254.30164852530552,-103.83507761134386,-15.799999999999999,1.5214052957953295,True,False,False,False,1.25,ee
25,30,55,0.45454545454545453,0.5454545454545454,485.869707420347,8.833994680369946,866.25,-257.43156405483796,-112.17600125208774,-10.772727272727273,0.0,True,False,False,False,1.2,eo
26,32,58,0.4482758620689655,0.5517241379310345,514.156491058734,8.864767087219551,913.5,-266.70961021185127,-119.3915598212002,-14.710344827586205,1.468005919371698,True,False,False,False,1.2307692307692308,ee
27,32,59,0.4576271186440678,0.5423728813559322,521.2308928779415,8.83442191318545,929.25,-269.76649547323655,-128.21023876746597,-10.042372881355933,0.0,True,False,False,False,1.1851851851851851,eo
28,34,62,0.45161290322580644,0.5483870967741935,549.5145732712476,8.86313827856851,976.5,-278.83532669281817,-135.8086711332157,-13.761290322580644,1.4198614198621298,True,True,False,False,1.2142857142857142,ee
