TAS_class,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
Foidite,0.4127584731,0.0360309118,0.1169504591,0.1338211940,0.1321135613,0.1077067994,0.0024433858,0.0155165351,0.0318870242,0.0107716563
Picrobasalt,0.4541339342,0.0243976965,0.1076779345,0.1332173671,0.1043389112,0.1498240078,0.0019205709,0.0051851918,0.0157855579,0.0035188279
Basanite,0.4610564125,0.0305361138,0.1387964684,0.1244346933,0.0860375527,0.0973627172,0.0025138534,0.0170758371,0.0338722367,0.0083141149
Basalt,0.4940086872,0.0219749416,0.1412667221,0.1141855201,0.1022351564,0.0907663693,0.0018307188,0.0055615643,0.0251355081,0.0030348120
Trachybasalt,0.4949912314,0.0244694292,0.1579209426,0.1092171404,0.0794304514,0.0704541783,0.0019370645,0.0182648920,0.0368145797,0.0065000905
Phonotephrite,0.5007736226,0.0215148214,0.1539724196,0.0916620093,0.0741591989,0.0617020001,0.0015691244,0.0398782800,0.0449255513,0.0098429723
Basaltic_Trachyandesite,0.5330587910,0.0195930777,0.1640997648,0.0884322993,0.0718270225,0.0502995522,0.0015007718,0.0238763789,0.0405694008,0.0067429410
Basaltic_Andesite,0.5371670559,0.0189168922,0.1485508399,0.0945558922,0.0921315087,0.0699468116,0.0014639608,0.0058520583,0.0287582214,0.0026567591
Tephriphonolite,0.5507030965,0.0151658189,0.1639556883,0.0660222043,0.0527755783,0.0388141373,0.0015462007,0.0574741461,0.0467722777,0.0067708520
Trachyandesite,0.5885562616,0.0141338563,0.1540906328,0.0663683602,0.0477108299,0.0392961093,0.0013623676,0.0471530657,0.0346386539,0.0066898627
Andesite,0.6044853541,0.0103392157,0.1646153787,0.0587612660,0.0575846138,0.0446300890,0.0012853476,0.0186557734,0.0371149157,0.0025280460
Phonolite,0.5936457114,0.0034073091,0.2052585787,0.0329577045,0.0122802799,0.0021811076,0.0018674925,0.0654846964,0.0822096312,0.0007074888
Trachyte,0.6445528251,0.0047566832,0.1739423403,0.0444259721,0.0122791441,0.0035995794,0.0016464159,0.0542005666,0.0594587432,0.0011377302
Dacite,0.6882525039,0.0066772731,0.1612536001,0.0421801349,0.0243820544,0.0167415688,0.0009852561,0.0286651316,0.0292339601,0.0016285170
Rhyolite,0.7377421833,0.0024770173,0.1376116051,0.0240926465,0.0026056426,0.0013713087,0.0005424662,0.0467284731,0.0464057257,0.0004229315
