Region,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
Azores,0.4744433759,0.0286094261,0.1414194405,0.1059341927,0.1099594179,0.0942570906,0.0017027439,0.0110117818,0.0279558484,0.0047066821
Cameroon,0.5312215034,0.0246220567,0.1700675146,0.0964208650,0.0655070588,0.0378381636,0.0022646376,0.0447666643,0.0214859765,0.0058055594
Canary,0.4506558927,0.0346560501,0.1215299428,0.1243018478,0.1121198578,0.1089644358,0.0018644839,0.0102743763,0.0290404330,0.0065926798
Cape_Verde,0.4323993317,0.0368919470,0.1237289974,0.1229364489,0.1258921031,0.1148743796,0.0019161874,0.0099458050,0.0250688272,0.0063459726
Eastern Anatolia,0.5021602679,0.0203553778,0.1625741737,0.1036313960,0.0884984007,0.0652252009,0.0016596476,0.0127630555,0.0387698177,0.0043626621
Eifel,0.4859050170,0.0245335497,0.1454433528,0.1061552713,0.1003769723,0.0807729757,0.0019691221,0.0144926581,0.0345254127,0.0058256683
Ethiopia,0.4989108454,0.0241516385,0.1549612808,0.1162174126,0.0955892767,0.0632540814,0.0019349090,0.0094061334,0.0313791897,0.0041952325
Harrat Ash Shaam,0.4716946970,0.0260543987,0.1524612435,0.1178033348,0.0991924073,0.0759403604,0.0016696600,0.0123224065,0.0361190719,0.0067424198
Hawaii,0.4989106129,0.0230847637,0.1289883371,0.1141692205,0.1054623494,0.0986648703,0.0017560160,0.0041041116,0.0222509328,0.0026087856
Iceland,0.4889531132,0.0115144902,0.1501234477,0.1064383592,0.1227855413,0.0975589127,0.0018314477,0.0011261935,0.0186832737,0.0009852208
Lake Baikal,0.4833889246,0.0245126943,0.1471057174,0.1131742146,0.0862065736,0.0842331121,0.0016481616,0.0180231811,0.0361287280,0.0055786928
Mascarene,0.4824667807,0.0221156223,0.1290809295,0.1227393801,0.0992436890,0.1103357293,0.0018167954,0.0058506942,0.0236495162,0.0027008632
Massif_Central,0.4908472388,0.0251011620,0.1501024434,0.1110679392,0.0018889718,0.0681890147,0.0880989150,0.0388797643,0.0192581491,0.0065664019
Mt_Etna,0.5106247573,0.0174107697,0.1747929855,0.0898058448,0.0920284136,0.0553833372,0.0016294399,0.0108399920,0.0415507308,0.0059337291
N_Kenya,0.4702436018,0.0259212344,0.1455329064,0.1222814152,0.1110566248,0.0734692458,0.0020521951,0.0112616191,0.0328465144,0.0053346430
New_South_Wales,0.5817539417,0.0148282940,0.1613246964,0.0925894666,0.0453055727,0.0251356739,0.0016538822,0.0291730736,0.0440553348,0.0041800642
Sardinia,0.5632188125,0.0170435316,0.1683687523,0.0788910623,0.0596011471,0.0427674567,0.0012144822,0.0219717333,0.0427345906,0.0041884313
Tanganyika,0.4600967583,0.0288198960,0.1328794109,0.1152337462,0.1177675917,0.0829855509,0.0020233180,0.0239083288,0.0291618218,0.0071235775
Tibet,0.5674779259,0.0140163848,0.1450043710,0.0662353113,0.0655940174,0.0594263054,0.0011276170,0.0475211721,0.0270861049,0.0065107903
Victoria_Tasmania,0.4860020439,0.0241371516,0.1399489070,0.1159909013,0.0875018857,0.0866486616,0.0017204453,0.0154256333,0.0359923542,0.0066320162
