Location,SiO2,TiO2,Al2O3,Cr2O3,FeO,CaO,MgO,MnO,Na2O
FUERTEVENTURA,0.5055074589,0.0151320102,0.0364488432,0.0015368144,0.0627527283,0.2252152099,0.1481900813,0.0011469077,0.0040699460
MEGATA_-_ICHINOMEGATA_MAAR,0.5264709998,0.0023554753,0.0392275011,0.0066933403,0.0287652196,0.2260416321,0.1660537007,0.0007882324,0.0036038986
UDACHNAYA_KIMBERLITE,0.5554570139,0.0012748615,0.0158694340,0.0115478247,0.0277427942,0.1918294903,0.1814877576,0.0009452042,0.0138456195
NOGRAD-G諱諶_VOLCANIC_FIELD,0.5216248680,0.0032051339,0.0540443414,0.0093413432,0.0289580565,0.2114447783,0.1580766602,0.0008723454,0.0124324732
BUSHVELD_UPPER_ZONE_-_UG2_LAYE,0.5273661452,0.0030786287,0.0173562662,0.0080614133,0.0488236410,0.2230060903,0.1674101281,0.0012714330,0.0036262542
PITON_DE_LA_FOURNAISE,0.5088431703,0.0102351740,0.0391112366,0.0080206514,0.0495571369,0.2174807451,0.1606850200,0.0010664873,0.0050003783
ELEKCITEPE_STAGE,0.4718329970,0.0231910999,0.0809653749,0.0016177326,0.0522304198,0.2303573438,0.1316009624,0.0010304184,0.0071736512
DALNAYA_KIMBERLITE_PIPE,0.5528100913,0.0022783584,0.0150827720,0.0111221285,0.0286910563,0.1985324029,0.1772857483,0.0010887495,0.0131086928
DARBY_KIMBERLITE,0.5568574006,0.0007337701,0.0096064897,0.0026228730,0.0326607633,0.2242071761,0.1604216652,0.0008162921,0.0120735698
AZROU-TIMHADITE_VOLCANIC_FIELD,0.5221377279,0.0031884521,0.0557890101,0.0089948739,0.0339733071,0.2056517815,0.1552056904,0.0008988656,0.0141602913
SOUTHERN_ALPS,0.5352376422,0.0008540513,0.0363497313,0.0088292001,0.0212565277,0.2187311227,0.1688776716,0.0007797691,0.0090842839
HANNUOBA_BASALT,0.5278727836,0.0038867059,0.0540449103,0.0045724493,0.0306891510,0.2100691626,0.1558415306,0.0009121525,0.0121111542
MAIN_(HIGH)_PLATEAU_-_MALAITA,0.5371234173,0.0026968236,0.0479278961,0.0060341982,0.0264842844,0.2052781863,0.1607683435,0.0006914847,0.0129953658
HAOTI_CINDER_CONE,0.5369017909,0.0030823952,0.0363156484,0.0127052868,0.0297808609,0.2001133885,0.1690063662,0.0009019825,0.0111922807
NUSHAN,0.5221329341,0.0043010498,0.0682241392,0.0079884871,0.0311891108,0.1942823681,0.1529912763,0.0008446625,0.0180459723
ARGENTINA,0.5302644036,0.0022355171,0.0396934227,0.0112279601,0.0296613516,0.2094843552,0.1660242786,0.0008339589,0.0105747523
QINGSHAN_FORMATION,0.5171721059,0.0069409522,0.0332674982,0.0026127012,0.0592680482,0.2156257044,0.1577492521,0.0015677610,0.0057959767
MAKO_ASSOCIATION,0.5285344163,0.0033693050,0.0220320183,0.0075848923,0.0581324702,0.2030807394,0.1730444626,0.0014876635,0.0027340323
ZHEJIANG_PROVINCE,0.5423805945,0.0025965752,0.0232620537,0.0138899705,0.0306474689,0.2014322227,0.1718850332,0.0010381794,0.0128679019
BULTFONTEIN_KIMBERLITE,0.5537696442,0.0013388328,0.0071163543,0.0166381462,0.0264352600,0.2111213737,0.1666604819,0.0007757852,0.0161441216
HONOLULU_SERIES,0.5271107971,0.0046857549,0.0614026543,0.0041489373,0.0416683042,0.1938970791,0.1494178020,0.0007636179,0.0169050533
SAILIPU,0.5399958709,0.0020941099,0.0226819068,0.0042800912,0.0429602824,0.2132193038,0.1686808649,0.0011847553,0.0049028148
LORABOUE_ASSOCIATION,0.5286103726,0.0022467426,0.0242085464,0.0098465369,0.0529758800,0.1979059713,0.1803180000,0.0013429426,0.0025450076
MARSABIT,0.5285855877,0.0040341833,0.0521363178,0.0072963053,0.0258523610,0.2097215492,0.1566556926,0.0007857264,0.0149322768
KEVITSA_INTRUSION,0.5265341185,0.0037754100,0.0201977052,0.0040638412,0.0583642536,0.2113411986,0.1704113909,0.0014605987,0.0038514832
LA_PALMA,0.5194982025,0.0068433448,0.0252421444,0.0023882169,0.0677641786,0.2174477768,0.1476999543,0.0029195809,0.0101966009
OBNAZHENNAYA_KIMBERLITE_PIPE,0.5413364873,0.0024729145,0.0433533496,0.0160490114,0.0149293630,0.2090064673,0.1517997783,0.0005252474,0.0205273813
JAGERSFONTEIN_KIMBERLITE,0.5571857722,0.0012237151,0.0186256171,0.0120494451,0.0285231205,0.1852745341,0.1802223912,0.0009853147,0.0159100901
MOUNT_MELBOURNE,0.5224478029,0.0038177976,0.0462215743,0.0092805095,0.0301120420,0.2163018969,0.1633289633,0.0008631660,0.0076262476
MAIN_ETHIOPIAN_RIFT,0.4963693701,0.0109313348,0.0754323155,0.0009665764,0.0596560824,0.1973080483,0.1464358786,0.0015203377,0.0113800563
