scale_factor,Omega_radiation,Omega_matter,Omega_dark_energy
1.000000000000000021e-03,2.245250427980339525e-01,7.754749555101327907e-01,1.691833207105625314e-09
1.035321843295662538e-03,2.185389963251069823e-01,7.814610017828840238e-01,1.892009047561914997e-09
1.071891319205127554e-03,2.126687759553118617e-01,7.873312219292540881e-01,2.115434114220018967e-09
1.109752496412072130e-03,2.069144860921858231e-01,7.930855115430481828e-01,2.364766021117565620e-09
1.148951000187308554e-03,2.012760901666772739e-01,7.987239071903603493e-01,2.642962340188788488e-09
1.189534067370319513e-03,1.957534162739853756e-01,8.042465807727005034e-01,2.953314141152037855e-09
1.231550603292826162e-03,1.903461629534943522e-01,8.096538337470223778e-01,3.299483257636085220e-09
1.275051240713012809e-03,1.850539050796888574e-01,8.149460912347674668e-01,3.685543691782109108e-09
1.320088400831418048e-03,1.798760998333471528e-01,8.201238960506253006e-01,4.116027615038656349e-09
1.366716356462005988e-03,1.748120927238341338e-01,8.251879026801893779e-01,4.595976473356145414e-09
1.414991297434575876e-03,1.698611236349263920e-01,8.301388712340758147e-01,5.130997761036799464e-09
1.464971398307286267e-03,1.650223328683007862e-01,8.349776614043711298e-01,5.727328089715192908e-09
1.516716888470922469e-03,1.602947671605534641e-01,8.397052264475433070e-01,6.391903248014985758e-09
1.570290124729377445e-03,1.556773856513967158e-01,8.443226072161672535e-01,7.132436024099850690e-09
1.625755666443793376e-03,1.511690657824713013e-01,8.488309262600260974e-01,7.957502648448214435e-09
1.683180353330956556e-03,1.467686091079997979e-01,8.532313820153614170e-01,8.876638808661265605e-09
1.742633386009650835e-03,1.424747470002873662e-01,8.575252430992663655e-01,9.900446292988316817e-09
1.804186409392071833e-03,1.382861462348145831e-01,8.617138427244740440e-01,1.104071143567078754e-08
1.867913599020782755e-03,1.342014144413786747e-01,8.657985732480846242e-01,1.231053666643015506e-08
1.933891750455230159e-03,1.302191054093932154e-01,8.697808808661201541e-01,1.372448660986624864e-08
2.002200371815584384e-03,1.263377242370474496e-01,8.736622604642021450e-01,1.529875033975483793e-08
2.072921779595371904e-03,1.225557323155632705e-01,8.774442506331151526e-01,1.705132156996651942e-08
2.146141197858403554e-03,1.188715521412371107e-01,8.811284288565641720e-01,1.900219875990501470e-08
2.221946860939523916e-03,1.152835719493384703e-01,8.847164068770542178e-01,2.117360733011176693e-08
2.300430119772916854e-03,1.117901501652364404e-01,8.882098262445170533e-01,2.359024642537949990e-08
2.381685551976158062e-03,1.083896196693377029e-01,8.916103540510993408e-01,2.627956293099481394e-08
2.465811075822603882e-03,1.050802918735593283e-01,8.949196788543849479e-01,2.927205574550025930e-08
2.552908068239516468e-03,1.018604606081022490e-01,8.981395067902840923e-01,3.260161364388481566e-08
2.643081486974105387e-03,9.872840581825836903e-02,9.012715578758511148e-01,3.630589043196284033e-08
2.736439997074671757e-03,9.568239707186709797e-02,9.043175625014114871e-01,4.042672149988462239e-08
2.833096101839324091e-03,9.272069687883401079e-02,9.072792581105796339e-01,4.501058633467170285e-08
2.933166278390045463e-03,8.984156382484852210e-02,9.101583860660295011e-01,5.010912205329422257e-08
3.036771118035457451e-03,8.704325552208258543e-02,9.129566886982238838e-01,5.577969357457190099e-08
3.144035471591500111e-03,8.432403138022134814e-02,9.156759065337520820e-01,6.208602666614696288e-08
3.255088599835056357e-03,8.168215520168269073e-02,9.183177756994065355e-01,6.909891078864820364e-08
3.370064329271928172e-03,7.911589760531417825e-02,9.208840254977064266e-01,7.689697942043616574e-08
3.489101213406773684e-03,7.662353828323149874e-02,9.233763761491921018e-01,8.556757639122616103e-08
3.612342699709430310e-03,7.420336809577474102e-02,9.257965366965075216e-01,9.520771769066712525e-08
3.739937302478797687e-03,7.185369100981781054e-02,9.281462030650229345e-01,1.059251592587640638e-07
3.872038781812556923e-03,6.957282588587535010e-02,9.304270562745421413e-01,1.178395824202145878e-07
4.008806328898464194e-03,6.735910811960969802e-02,9.326407607964803947e-01,1.310839099068506243e-07
4.150404757850476717e-03,6.521089114345866855e-02,9.347889630507745240e-01,1.458057668353497692e-07
4.297004704320839599e-03,6.312654779418279405e-02,9.368732900367144900e-01,1.621691025866978744e-07
4.448782831127585241e-03,6.110447155216879034e-02,9.388953480918400540e-01,1.803559912867312646e-07
4.605922041145103958e-03,5.914307765833744235e-02,9.408567217730321453e-01,2.005686305324545808e-07
4.768611697714469390e-03,5.724080411448015382e-02,9.427589728539598202e-01,2.230315601679661043e-07
4.937047852839003374e-03,5.539611257280273315e-02,9.446036394330720176e-01,2.479941253100764419e-07
5.111433483440165799e-03,5.360748912038296177e-02,9.463922351464066907e-01,2.757332104832409708e-07
5.291978735958441891e-03,5.187344496415775830e-02,9.481262484795676126e-01,3.065562746750486217e-07
5.478901179593945181e-03,5.019251702194738041e-02,9.498071421733321751e-01,3.408047203993448567e-07
5.672426068491977225e-03,4.856326842489849110e-02,9.514363527174680701e-01,3.788576334897263216e-07
5.872786613189483196e-03,4.698428893659152561e-02,9.530152899274739742e-01,4.211359343810818091e-07
6.080224261649421272e-03,4.545419529391041269e-02,9.545453365991034556e-01,4.681069861149281827e-07
6.294988990221887619e-03,4.397163147461317922e-02,9.560278482356775465e-01,5.202897092742393695e-07
6.517339604882419792e-03,4.253526889638139380e-02,9.574641528433590620e-01,5.782602595690710167e-07
6.747544053110693212e-03,4.114380655195298830e-02,9.588555507897171815e-01,6.426583299157614509e-07
6.985879746785249485e-03,3.979597108477303524e-02,9.602033147210812247e-01,7.141941456459907551e-07
7.232633896483533706e-03,3.849051680941806275e-02,9.615086895343528672e-01,7.936562290216451395e-07
7.488103857590022727e-03,3.722622568087323447e-02,9.627728923991091259e-01,8.819200175988239783e-07
7.752597488629464108e-03,3.600190721656441190e-02,9.639971128260051980e-01,9.799574302705167962e-07
8.026433522257174491e-03,3.481639837486774636e-02,9.651825127776471058e-01,1.088847485123300940e-06
8.309941949353395751e-03,3.366856339364573958e-02,9.663302268182696331e-01,1.209788084680599040e-06
8.603464416684501043e-03,3.255729359218399732e-02,9.674413622987192429e-01,1.344109096797908358e-06
8.907354638610439843e-03,3.148150713973200260e-02,9.685169995733944326e-01,1.493286873561850386e-06
9.221978823334321326e-03,3.044014879368473619e-02,9.695581922459490798e-01,1.658960366177379847e-06
9.547716114208055702e-03,2.943218961027702779e-02,9.705659674407118853e-01,1.842949011176383793e-06
9.884959046625585791e-03,2.845662663050513991e-02,9.715413260969123499e-01,2.047272582533598712e-06
1.023411402105453213e-02,2.751248254383332689e-02,9.724852432829411697e-01,2.274173225642157634e-06
1.059560179277615859e-02,2.659880533209480619e-02,9.733986685279926165e-01,2.526139912811988427e-06
1.096985797892383561e-02,2.571466789585116763e-02,9.742825261685624794e-01,2.805935586267666455e-06
1.135733358343105071e-02,2.485916766533453892e-02,9.751377157073816138e-01,3.116627283823178720e-06
1.175849554052156402e-02,2.403142619796239804e-02,9.759651121824627351e-01,3.461619574816097703e-06
1.217382727739661427e-02,2.323058876428648126e-02,9.767655665440436730e-01,3.844691669844254644e-06
1.260382929679727468e-02,2.245582392411287972e-02,9.775399060372793603e-01,4.270038607753849749e-06
1.304901978014402254e-02,2.170632309441253294e-02,9.782889345886199850e-01,4.742316967611621877e-06
1.350993521198026563e-02,2.098130011052846966e-02,9.790134331938689094e-01,5.266695602534592820e-06
1.398713102647237971e-02,2.027999078207826447e-02,9.797141603059749126e-01,5.848911946781841003e-06
1.448118227674533715e-02,1.960165244484774610e-02,9.803918522206442887e-01,6.495334508023449806e-06
1.499268432786045671e-02,1.894556350987494295e-02,9.810472234579011852e-01,7.213032223847570721e-06
1.552225357427047120e-02,1.831102301083022826e-02,9.816809671377336732e-01,8.009851436073888142e-06
1.607052818261638441e-02,1.769735015071189493e-02,9.822937553479689221e-01,8.894501319115905816e-06
1.663816886076128349e-02,1.710388384879283491e-02,9.828862395025168563e-01,9.876648690369671258e-06
1.722585965398786695e-02,1.652998228867631064e-02,9.834590506880912519e-01,1.096702323239350587e-05
1.783430876931909465e-02,1.597502246824468800e-02,9.840127999974856987e-01,1.217753426958077279e-05
1.846424942895543569e-02,1.543839975221540650e-02,9.845480788474171296e-01,1.352140036733494393e-05
1.911644075385701691e-02,1.491952742795340028e-02,9.850654592788856689e-01,1.501329316078333318e-05
1.979166867853556291e-02,1.441783626512720823e-02,9.855654942378984096e-01,1.666949697431189834e-05
2.049074689815847186e-02,1.393277407973858399e-02,9.860487178342971504e-01,1.850808596432758851e-05
2.121451784910629787e-02,1.346380530300123404e-02,9.865156455762913446e-01,2.054912070749763286e-05
2.196385372416545870e-02,1.301041055549363896e-02,9.869667745781390833e-01,2.281486636731711935e-05
2.273965752357927361e-02,1.257208622696369404e-02,9.874025837382307547e-01,2.533003480547355970e-05
2.354286414322416532e-02,1.214834406211849974e-02,9.878235338846178548e-01,2.812205326361843998e-05
2.437444150122220626e-02,1.173871075269163067e-02,9.882300678847796283e-01,3.122136252858740909e-05
2.523539170434765944e-02,1.134272753604173914e-02,9.886226107161452115e-01,3.466174781290765246e-05
2.612675225563327805e-02,1.095994980050056869e-02,9.890015694935634372e-01,3.848070593599050838e-05
2.704959730463134260e-02,1.058994669765555771e-02,9.893673334495609595e-01,4.271985278348851462e-05
2.800503894183630979e-02,1.023230076172126392e-02,9.897202738628216867e-01,4.742537545706782128e-05
2.899422853882876669e-02,9.886607536125526299e-03,9.900607439298655388e-01,5.264853400890487991e-05
3.001835813575589110e-02,9.552475207409847485e-03,9.903890785744005054e-01,5.844621818965892239e-05
3.107866187782012263e-02,9.229524246519371991e-03,9.907055941882494388e-01,6.488156523111548405e-05
3.217641750250735400e-02,8.917387057535339917e-03,9.910105882971231850e-01,7.202464534136708281e-05
3.331294787934673679e-02,8.615707633882316654e-03,9.913043391437994512e-01,7.995322231814438812e-05
3.448962260405757929e-02,8.324141222023646175e-03,9.915871051804840963e-01,8.875359749231493778e-05
3.570785964900462933e-02,8.042353992641186611e-03,9.918591244612517954e-01,9.852154610697366223e-05
3.696912707195026265e-02,7.770022719279629474e-03,9.921206139244931332e-01,1.093633562271514040e-04
3.827494478516311333e-02,7.506834464421063662e-03,9.923717685542078337e-01,1.213969813711088627e-04
3.962688638701478139e-02,7.252486272942467067e-03,9.926127604077898958e-01,1.347533192675858004e-04
4.102658105827192148e-02,7.006684872896642990e-03,9.928437374966168072e-01,1.495776304864931678e-04
4.247571552536898165e-02,6.769146383546366733e-03,9.930648225042767452e-01,1.660311121767985812e-04
4.397603609302719319e-02,6.539596030571698769e-03,9.932761113256387553e-01,1.842926437894780434e-04
4.552935074866947679e-02,6.317767868361530426e-03,9.934776714081570148e-01,2.045607234815166999e-04
4.713753134116724364e-02,6.103404509292507246e-03,9.936695398748007779e-01,2.270556159066209115e-04
4.880251583654431069e-02,5.896256859891466084e-03,9.938517214057898119e-01,2.520217343187418314e-04
5.052631065335679711e-02,5.696083863771029751e-03,9.940241858538623188e-01,2.797302823665932759e-04
5.231099308056260527e-02,5.502652251222675713e-03,9.941868655651135978e-01,3.104821836636704807e-04
5.415871378079470388e-02,5.315736295346437136e-03,9.943396523744501003e-01,3.446113302033779169e-04
5.607169938205457810e-02,5.135117574592286752e-03,9.944823942414285911e-01,3.824881839790853855e-04
5.805225516094898730e-02,4.960584741584454956e-03,9.946148914886229209e-01,4.245237697925988065e-04
6.010276782070381879e-02,4.791933298096845775e-03,9.947368926006812107e-01,4.711741012218900130e-04
6.222570836730228344e-02,4.628965376045028959e-03,9.948480895378528643e-01,5.229450861020440346e-04
6.442363508721370147e-02,4.471489524358186578e-03,9.949481125129556736e-01,5.803979626861562350e-04
6.669919663030121626e-02,4.319320501592591004e-03,9.950365241754767220e-01,6.441553229306427181e-04
6.905513520162327723e-02,4.172279074147069652e-03,9.951128131407241950e-01,7.149077851287283930e-04
7.149428986597576585e-02,4.030191819939937803e-03,9.951763867956261445e-01,7.934213844340347278e-04
7.401959996915641327e-02,3.892890937406577687e-03,9.952265633058828831e-01,8.805457567105322812e-04
7.663410868007454468e-02,3.760214059676787388e-03,9.952625627416710197e-01,9.772231986522599435e-04
7.934096665797492343e-02,3.632004073791444618e-03,9.952834972309378969e-01,1.084498695270646323e-03
8.214343584919425734e-02,3.508108944819000614e-03,9.952883600405009190e-01,1.203531014679971520e-03
8.504489341802677627e-02,3.388381544733515879e-03,9.952760134756184485e-01,1.335604979648003779e-03
8.804883581643460633e-02,3.272679485917998673e-03,9.952451754784458204e-01,1.482145035636227509e-03
9.115888299750818380e-02,3.160864959159067483e-03,9.951944047948023675e-01,1.644730246038525771e-03
9.437878277775381408e-02,3.052804576002139322e-03,9.951220845669691561e-01,1.825110857028739656e-03
9.771241535346496254e-02,2.948369215340048040e-03,9.950264041978438279e-01,2.025226586816061217e-03
1.011637979766207007e-01,2.847433874112611195e-03,9.949053393187621275e-01,2.247226807125294722e-03
1.047370897959449682e-01,2.749877522000209514e-03,9.947566296797260010e-01,2.493492798273821108e-03
1.084365968689609827e-01,2.655582960001072208e-03,9.945777547668273044e-01,2.766662273171583905e-03
1.122667773510813566e-01,2.564436682789829249e-03,9.943659069374801707e-01,3.069656379729992276e-03
1.162322468679851811e-01,2.476328744764388478e-03,9.941179618499714765e-01,3.405709405264243858e-03
1.203377840777589275e-01,2.391152629699198721e-03,9.938304459501439148e-01,3.778401420156930757e-03
1.245883364295008178e-01,2.308805123936294532e-03,9.934995007652118737e-01,4.191694110851809651e-03
1.289890261253308079e-01,2.229186193060933314e-03,9.931208437433737268e-01,4.649970063565347228e-03
1.335451562929898806e-01,2.152198862027024980e-03,9.926897253688026224e-01,5.158075769170230793e-03
1.382622173764654905e-01,2.077749098719114743e-03,9.922008822757307778e-01,5.721368625550183815e-03
1.431458937523478470e-01,2.005745700962787998e-03,9.916484860839017701e-01,6.345768215135529078e-03
1.482020705798858529e-01,1.936100187025094474e-03,9.910260876821788134e-01,7.037812130796011235e-03
1.534368408930011640e-01,1.868726689680803377e-03,9.903265566993779689e-01,7.804716610941246982e-03
1.588565129428052836e-01,1.803541853960473167e-03,9.895420159237444668e-01,8.654442222295093828e-03
1.644676177994662813e-01,1.740464738742623658e-03,9.886637704676263239e-01,9.595764793630983530e-03
1.702769172225899463e-01,1.679416722405668687e-03,9.876822315251015949e-01,1.063835175249282922e-02
1.762914118095947891e-01,1.620321412816706904e-03,9.865868346415211931e-01,1.179284394566218128e-02
1.825183494319042588e-01,1.563104562004124067e-03,9.853659525097392402e-01,1.307094292825658130e-02
1.889652339691209604e-01,1.507693985940343527e-03,9.840068024335928420e-01,1.448550358046690398e-02
1.956398343517062877e-01,1.454019489950293849e-03,9.824953487611888248e-01,1.605063174886086838e-02
2.025501939230666404e-01,1.402012800360612644e-03,9.808162007957927919e-01,1.778178640384665485e-02
2.097046401323232889e-01,1.351607503114418294e-03,9.789525069484609210e-01,1.969588554842473249e-02
2.171117945694503171e-01,1.302738990195899784e-03,9.768858462126492892e-01,2.181141479715486414e-02
2.247805833548725263e-01,1.255344414837048644e-03,9.745961184260033550e-01,2.414853715915963803e-02
2.327202478960407328e-01,1.209362656613198993e-03,9.720614352477989772e-01,2.672920209558782290e-02
2.409403560239524456e-01,1.164734297671325908e-03,9.692580143311743113e-01,2.957725137115432834e-02
2.494508135230316670e-01,1.121401611470243748e-03,9.661600798154897918e-01,3.271851857303999245e-02
2.582618760682675041e-01,1.079308565537704300e-03,9.627397730119298114e-01,3.618091842253243900e-02
2.673841615839946395e-01,1.038400839856527943e-03,9.589670780074306400e-01,3.999452115271272257e-02
2.768286630392063907e-01,9.986258625675056497e-04,9.548097678654666742e-01,4.419160627196574292e-02
2.866067616948250185e-01,9.599328647049220698e-04,9.502333781467994234e-01,4.880668898849560566e-02
2.967302408188869367e-01,9.222729556412791315e-04,9.452012155881102107e-01,5.387651145624834659e-02
3.072112998861756261e-01,8.855992207869639501e-04,9.396744109266939038e-01,5.943998985251910949e-02
3.180625692794118997e-01,8.498668428402497525e-04,9.336120259926098397e-01,6.553810716454996910e-02
3.292971255097147942e-01,8.150332474813723645e-04,9.269712262316793794e-01,7.221374052083924522e-02
3.409285069746810781e-01,7.810582738173229298e-04,9.197075306737688694e-01,7.951141105241375795e-02
3.529707302730650254e-01,7.479043690769664448e-04,9.117751518927171839e-01,8.747694373820588676e-02
3.654383070957254454e-01,7.155368059969879164e-04,9.031274385588583531e-01,9.615702463514477771e-02
3.783462617131929107e-01,6.839239200033073868e-04,8.937174325756800375e-01,1.055986435043165944e-01
3.917101490809256625e-01,6.530373616679688775e-04,8.834985513090319875e-01,1.158484113293000994e-01
4.055460735840827891e-01,6.228523580165584760e-04,8.724254028390387994e-01,1.269517448029446882e-01
4.198707084443910054e-01,5.933479741133642271e-04,8.604547382770388886e-01,1.389519137488477440e-01
4.347013158125022092e-01,5.645073640357046920e-04,8.475465398118725568e-01,1.518889528240917330e-01
4.500557675700497251e-01,5.363179979867707193e-04,8.336652361712327819e-01,1.657984458307804332e-01
4.659525668664677434e-01,5.087718500614249895e-04,8.187810286076898647e-01,1.807101995422486507e-01
4.824108704165368522e-01,4.818655292990677323e-04,8.028713005106687950e-01,1.966468339600322413e-01
4.994505115855140120e-01,4.556003354071641890e-04,7.859220726795410616e-01,2.136223269850518469e-01
5.170920242896754893e-01,4.299822202257523249e-04,7.679294547894721656e-01,2.316405629903018903e-01
5.353566677410723784e-01,4.050216369399819148e-04,7.489010325225783360e-01,2.506939458404818244e-01
5.542664520663102001e-01,3.807332615128361953e-04,7.288571203462854697e-01,2.707621463922015859e-01
5.738441648302392561e-01,3.571355749982412018e-04,7.078318032996062659e-01,2.918110611253955655e-01
5.941133984965033532e-01,3.342503013620160912e-04,6.858736887562295603e-01,3.137920609424083018e-01
6.150985788580497493e-01,3.121017030506383896e-04,6.630462922194269026e-01,3.366416060775224706e-01
6.368249944718585853e-01,2.907157454449303766e-04,6.394279906972820671e-01,3.602812935572729525e-01
6.593188271333542128e-01,2.701191509194274341e-04,6.151114934994925676e-01,3.846183873495879757e-01
6.826071834272385841e-01,2.503383726898206966e-04,5.902028030539617776e-01,4.095468585733483824e-01
7.067181273927490848e-01,2.313985270212170142e-04,5.648196663872757650e-01,4.349489350857030368e-01
7.316807143427191962e-01,2.133223287081836936e-04,5.390895492357756780e-01,4.606971284355162455e-01
7.575250258771912826e-01,1.961290781485914311e-04,5.131471966530910533e-01,4.866566742687603031e-01
7.842822061337682005e-01,1.798337481896655342e-04,4.871318733585034422e-01,5.126882928933067518e-01
8.119844993184008874e-01,1.644462149669983890e-04,4.611844008356012492e-01,5.386511529494317774e-01
8.406652885618325355e-01,1.499706693654136310e-04,4.354441237000853948e-01,5.644059056305490429e-01
8.703591361485156774e-01,1.364052351264319481e-04,4.100459433249126207e-01,5.898176514399608994e-01
9.011018251665018353e-01,1.237418070037922893e-04,3.851175515007130290e-01,6.147587066922831633e-01
9.329304026284686024e-01,1.119661089557261738e-04,3.607769816296543253e-01,6.391110522613899780e-01
9.658832241158697984e-01,1.010579594531391622e-04,3.371305713609756838e-01,6.627683706795711727e-01
1.000000000000000000e+00,9.099171975350242765e-05,3.142714013024814901e-01,6.856376069777649906e-01
