redshift,Dark_Energy,Cold_Dark_Matter,Baryonic_Matter,Photon_Radiation,Neutrinos
0.000000,6.9001998508e-01,2.6091160236e-01,4.8977612495e-02,5.4218015478e-05,3.6582043900e-05
0.010000,6.8359850684e-01,2.6631581000e-01,4.9992075573e-02,5.5894432150e-05,3.7713157751e-05
0.011583,6.8258143043e-01,2.6717176150e-01,5.0152752448e-02,5.6161957056e-05,3.7893662474e-05
0.013416,6.8140317727e-01,2.6816335522e-01,5.0338891709e-02,5.6472564141e-05,3.8103235657e-05
0.015540,6.8003819022e-01,2.6931209905e-01,5.0554530761e-02,5.6833321287e-05,3.8346646147e-05
0.017999,6.7845686197e-01,2.7064290924e-01,5.0804346810e-02,5.7252498258e-05,3.8629473731e-05
0.020849,6.7662489815e-01,2.7218464633e-01,5.1093757480e-02,5.7739784331e-05,3.8958255971e-05
0.024149,6.7450258411e-01,2.7397073207e-01,5.1429036611e-02,5.8306549157e-05,3.9340664208e-05
0.027971,6.7204394357e-01,2.7603985740e-01,5.1817447160e-02,5.8966156355e-05,3.9785715162e-05
0.032398,6.6919577712e-01,2.7843679145e-01,5.2267393065e-02,5.9734341599e-05,4.0304026023e-05
0.037526,6.6589657001e-01,2.8121330046e-01,5.2788591743e-02,6.0629669630e-05,4.0908122817e-05
0.043466,6.6207526178e-01,2.8442918292e-01,5.3392268404e-02,6.1674087935e-05,4.1612813979e-05
0.050346,6.5764987664e-01,2.8815342178e-01,5.4091372339e-02,6.2893598645e-05,4.2435643695e-05
0.058315,6.5252602473e-01,2.9246544517e-01,5.4900813578e-02,6.4319074593e-05,4.3397442523e-05
0.067545,6.4659530338e-01,2.9745647107e-01,5.5837715310e-02,6.5987250185e-05,4.4522995943e-05
0.078237,6.3973365752e-01,3.0323088601e-01,5.6921672692e-02,6.7941922372e-05,4.5841854686e-05
0.090621,6.3179980593e-01,3.0990756815e-01,5.8175001205e-02,7.0235400705e-05,4.7389313115e-05
0.104964,6.2263391017e-01,3.1762100544e-01,5.9622946560e-02,7.2930246711e-05,4.9207582818e-05
0.105263,6.2244323908e-01,3.1778146142e-01,5.9653066917e-02,7.2986825864e-05,4.9245757972e-05
0.121578,6.1205676693e-01,3.2652197274e-01,6.1293811801e-02,7.6101339081e-05,5.1347186034e-05
0.140822,5.9986994916e-01,3.3677740960e-01,6.3218934363e-02,7.9838288521e-05,5.3868585006e-05
0.163112,5.8585751606e-01,3.4856897661e-01,6.5432415077e-02,8.4248198731e-05,5.6844044868e-05
0.188930,5.6979015522e-01,3.6208956366e-01,6.7970462703e-02,8.9458720161e-05,6.0359694086e-05
0.210526,5.5650394607e-01,3.7326964693e-01,7.0069157361e-02,9.3896009658e-05,6.3353627334e-05
0.218835,5.5143289398e-01,3.7753679276e-01,7.0870174307e-02,9.5621261924e-05,6.4517691596e-05
0.253473,5.3055776511e-01,3.9510234981e-01,7.4167532641e-02,1.0291410688e-04,6.9438328618e-05
0.293594,5.0696291672e-01,4.1495589132e-01,7.7894385160e-02,1.1154501509e-04,7.5261785275e-05
0.300000,5.0325797075e-01,4.1807330877e-01,7.8479578239e-02,1.1293954119e-04,7.6202701587e-05
0.315789,4.9420268457e-01,4.2569254632e-01,7.9909840676e-02,1.1639455892e-04,7.8533875258e-05
0.340065,4.8049941298e-01,4.3722247736e-01,8.2074207802e-02,1.2175271977e-04,8.2149139922e-05
0.393892,4.5110608077e-01,4.6195323292e-01,8.6716597605e-02,1.3380657007e-04,9.0282128133e-05
0.421053,4.3681356123e-01,4.7397815392e-01,8.8973882892e-02,1.3996476315e-04,9.4437191490e-05
0.456239,4.1885088095e-01,4.8909051951e-01,9.1810734833e-02,1.4800356145e-04,9.9861139047e-05
0.526316,3.8496849922e-01,5.1759504175e-01,9.7161525797e-02,1.6416657196e-04,1.1076666472e-04
0.528455,3.8397422072e-01,5.1843147679e-01,9.7318539095e-02,1.6466227493e-04,1.1110112602e-04
0.612100,3.4692565182e-01,5.4959713698e-01,1.0316887160e-01,1.8411399245e-04,1.2422561201e-04
0.631579,3.3880660273e-01,5.5642657859e-01,1.0445087570e-01,1.8865407245e-04,1.2728890018e-04
0.708986,3.0838167653e-01,5.8201744747e-01,1.0925472363e-01,2.0669253952e-04,1.3945983615e-04
0.736842,2.9813203835e-01,5.9063800533e-01,1.1087295118e-01,2.1317288013e-04,1.4383225927e-04
0.821208,2.6923111934e-01,6.1494359875e-01,1.1543553070e-01,2.3272602168e-04,1.5702517820e-04
0.842105,2.6254914710e-01,6.2056269508e-01,1.1649033210e-01,2.3754742836e-04,1.6027828345e-04
0.947368,2.3156390277e-01,6.4661675304e-01,1.2138112861e-01,2.6166479815e-04,1.7655078388e-04
0.951192,2.3051834374e-01,6.4749583579e-01,1.2154614762e-01,2.6253495002e-04,1.7713789379e-04
1.052632,2.0465284967e-01,6.6924099636e-01,1.2562808970e-01,2.8545901863e-04,1.9260524863e-04
1.101750,1.9334480978e-01,6.7874632886e-01,1.2741240472e-01,2.9644136418e-04,2.0001526988e-04
1.157895,1.8130578202e-01,6.8886503916e-01,1.2931186135e-01,3.0889766489e-04,2.0841979992e-04
1.263158,1.6104940815e-01,7.0588738329e-01,1.3250724924e-01,3.3197126965e-04,2.2398804997e-04
1.276140,1.5874393578e-01,7.0782450162e-01,1.3287087979e-01,3.3479173312e-04,2.2589107644e-04
1.368421,1.4345830536e-01,7.2066620607e-01,1.3528148944e-01,3.5468538654e-04,2.3931374593e-04
1.473684,1.2815795769e-01,7.3351681073e-01,1.3769376980e-01,3.7705486931e-04,2.5440690996e-04
1.478132,1.2755681442e-01,7.3402162148e-01,1.3778853149e-01,3.7799283395e-04,2.5503977458e-04
1.578947,1.1482322235e-01,7.4471292321e-01,1.3979547342e-01,3.9909987765e-04,2.6928114422e-04
1.684211,1.0317441933e-01,7.5448998835e-01,1.4163079735e-01,4.2084316847e-04,2.8395180326e-04
1.712097,1.0033975318e-01,7.5686858384e-01,1.4207730079e-01,4.2655589350e-04,2.8780629989e-04
1.789474,9.2972408081e-02,7.6304931759e-01,1.4323753123e-01,4.4230831334e-04,2.9843479135e-04
1.894737,8.4013452681e-02,7.7056241384e-01,1.4464786911e-01,4.6351856692e-04,3.1274579887e-04
1.983095,7.7325554679e-02,7.7616844807e-01,1.4570021853e-01,4.8114201439e-04,3.2463671231e-04
2.000000,7.6124314263e-02,7.7717510441e-01,1.4588918530e-01,4.8449618328e-04,3.2689984114e-04
