H2CO3,HCO3_minus,CO3_2minus
0.9995535158,0.0004464842,0.0000000000
0.9994987741,0.0005012259,0.0000000000
0.9994373244,0.0005626756,0.0000000000
0.9993683458,0.0006316542,0.0000000000
0.9992909171,0.0007090828,0.0000000001
0.9992040047,0.0007959952,0.0000000001
0.9991064490,0.0008935509,0.0000000001
0.9989969490,0.0010030509,0.0000000001
0.9988740455,0.0011259543,0.0000000001
0.9987361017,0.0012638981,0.0000000002
0.9985812821,0.0014187177,0.0000000002
0.9984075282,0.0015924715,0.0000000003
0.9982125324,0.0017874673,0.0000000003
0.9979937076,0.0020062920,0.0000000004
0.9977481543,0.0022518451,0.0000000005
0.9974726235,0.0025273758,0.0000000007
0.9971634752,0.0028365240,0.0000000008
0.9968166325,0.0031833664,0.0000000011
0.9964275308,0.0035724679,0.0000000013
0.9959910606,0.0040089377,0.0000000017
0.9955015049,0.0044984930,0.0000000021
0.9949524696,0.0050475278,0.0000000027
0.9943368063,0.0056631903,0.0000000034
0.9936465282,0.0063534675,0.0000000043
0.9928727162,0.0071272785,0.0000000054
0.9920054170,0.0079945763,0.0000000067
0.9910335316,0.0089664599,0.0000000085
0.9899446935,0.0100552958,0.0000000107
0.9887251371,0.0112748494,0.0000000135
0.9873595554,0.0126404276,0.0000000169
0.9858309481,0.0141690305,0.0000000213
0.9841204592,0.0158795140,0.0000000268
0.9822072064,0.0177927599,0.0000000338
0.9800681029,0.0199318547,0.0000000424
0.9776776738,0.0223222728,0.0000000534
0.9750078708,0.0249920621,0.0000000671
0.9720278879,0.0279720278,0.0000000843
0.9687039852,0.0312959089,0.0000001059
0.9649993267,0.0350005403,0.0000001329
0.9608738409,0.0391259923,0.0000001668
0.9562841153,0.0437156755,0.0000002093
0.9511833385,0.0488163992,0.0000002623
0.9455213041,0.0544783672,0.0000003287
0.9392444970,0.0607550915,0.0000004115
0.9322962802,0.0677032049,0.0000005148
0.9246172091,0.0753821474,0.0000006435
0.9161454946,0.0838537017,0.0000008037
0.9068176454,0.0931813520,0.0000010026
0.8965693112,0.1034294394,0.0000012494
0.8853363544,0.1146620906,0.0000015550
0.8730561662,0.1269419011,0.0000019327
0.8596692389,0.1403283624,0.0000023986
0.8451209946,0.1548760334,0.0000029720
0.8293638510,0.1706324730,0.0000036760
0.8123594912,0.1876359706,0.0000045382
0.7940812741,0.2059131347,0.0000055912
0.7745167021,0.2254764245,0.0000068734
0.7536698323,0.2463217378,0.0000084299
0.7315634948,0.2684261919,0.0000103133
0.7082411637,0.2917462520,0.0000125843
0.6837683163,0.3162163708,0.0000153130
0.6582331199,0.3417483007,0.0000185795
0.6317463087,0.3682312163,0.0000224749
0.6044401475,0.3955327499,0.0000271026
0.5764664342,0.4235009870,0.0000325788
0.5479935622,0.4519674042,0.0000390336
0.5192027328,0.4807506546,0.0000466125
0.4902834843,0.5096610384,0.0000554773
0.4614287611,0.5385054314,0.0000658075
0.4328297933,0.5670924047,0.0000778020
0.4046710720,0.5952372473,0.0000916807
0.3771256979,0.6227666148,0.0001076873
0.3503513457,0.6495225631,0.0001260912
0.3244870301,0.6753657791,0.0001471908
0.2996507912,0.7001778915,0.0001713174
0.2759383413,0.7238628202,0.0001988385
0.2534226477,0.7463471889,0.0002301635
0.2321543645,0.7675798873,0.0002657482
0.2121629863,0.7875309121,0.0003061016
0.1934585672,0.8061896404,0.0003517924
0.1760338417,0.8235627014,0.0004034569
