H3PO4,H2PO4_minus,HPO4_2minus,PO4_3minus
0.9780041482,0.0219958473,0.0000000044,0.0000000000
0.9743806591,0.0256193349,0.0000000060,0.0000000000
0.9701784552,0.0298215366,0.0000000082,0.0000000000
0.9653115242,0.0346884647,0.0000000111,0.0000000000
0.9596833083,0.0403166766,0.0000000151,0.0000000000
0.9531861979,0.0468137816,0.0000000205,0.0000000000
0.9457013057,0.0542986666,0.0000000278,0.0000000000
0.9370986531,0.0629013093,0.0000000376,0.0000000000
0.9272379277,0.0727620214,0.0000000509,0.0000000000
0.9159699991,0.0840299322,0.0000000687,0.0000000000
0.9031393982,0.0968605092,0.0000000926,0.0000000000
0.8885879739,0.1114119016,0.0000001245,0.0000000000
0.8721599174,0.1278399156,0.0000001670,0.0000000000
0.8537082919,0.1462914847,0.0000002234,0.0000000000
0.8331031001,0.1668966019,0.0000002980,0.0000000000
0.8102407597,0.1897588442,0.0000003961,0.0000000000
0.7850546378,0.2149448377,0.0000005245,0.0000000000
0.7575260266,0.2424732817,0.0000006917,0.0000000000
0.7276946573,0.2723044345,0.0000009082,0.0000000000
0.6956675985,0.3043312149,0.0000011866,0.0000000000
0.6616252385,0.3383732192,0.0000015423,0.0000000000
0.6258230748,0.3741749313,0.0000019939,0.0000000000
0.5885882980,0.4114091391,0.0000025629,0.0000000000
0.5503106581,0.4496860669,0.0000032750,0.0000000000
0.5114278110,0.4885680293,0.0000041597,0.0000000000
0.4724061267,0.5275886219,0.0000052514,0.0000000000
0.4337186570,0.5662747536,0.0000065894,0.0000000000
0.3958224289,0.6041693521,0.0000082190,0.0000000000
0.3591373464,0.6408524617,0.0000101919,0.0000000000
0.3240287106,0.6759587217,0.0000125677,0.0000000000
0.2907947791,0.7091898061,0.0000154148,0.0000000000
0.2596600225,0.7403211654,0.0000188120,0.0000000000
0.2307739610,0.7692031885,0.0000228505,0.0000000000
0.2042148355,0.7957575286,0.0000276359,0.0000000000
0.1799969588,0.8199697499,0.0000332913,0.0000000000
0.1580804372,0.8418796031,0.0000399597,0.0000000000
0.1383820018,0.8615701900,0.0000478081,0.0000000000
0.1207858954,0.8791570729,0.0000570318,0.0000000000
0.1051540263,0.8947781151,0.0000678586,0.0000000000
0.0913348893,0.9085845554,0.0000805553,0.0000000000
0.0791710011,0.9207335652,0.0000954337,0.0000000000
0.0685047944,0.9313823469,0.0001128587,0.0000000000
0.0591830553,0.9406836877,0.0001332569,0.0000000000
0.0510600668,0.9487828057,0.0001571275,0.0000000000
0.0439996627,0.9558152832,0.0001850540,0.0000000000
0.0378764056,0.9619058754,0.0002177190,0.0000000000
0.0325760859,0.9671679937,0.0002559204,0.0000000000
0.0279957199,0.9717036890,0.0003005911,0.0000000000
0.0240431939,0.9756039847,0.0003528214,0.0000000000
0.0206366719,0.9789494419,0.0004138861,0.0000000000
0.0177038627,0.9818108626,0.0004852747,0.0000000000
0.0151812123,0.9842500599,0.0005687278,0.0000000000
0.0130130750,0.9863206457,0.0006662793,0.0000000000
0.0111508968,0.9880687978,0.0007803053,0.0000000000
0.0095524359,0.9895339826,0.0009135815,0.0000000000
0.0081810328,0.9907496176,0.0010693496,0.0000000000
0.0070049406,0.9917436644,0.0012513950,0.0000000000
