Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Solar,Wind
2000,-1.229042,4.805063,-0.408534,3.243316,0.656595,1.69467,-6.073229,-2.688839
2001,-1.325608,4.76751,-0.666362,3.363867,0.598784,1.620275,-5.768259,-2.590206
2002,-1.459953,4.760575,-0.963346,3.26681,0.828016,1.530077,-5.391779,-2.5704
2003,-1.631248,4.763034,-0.922475,3.084435,1.205664,1.440825,-5.376823,-2.563412
2004,-1.832065,4.691201,-0.750729,3.107712,1.161095,1.422224,-5.286013,-2.513424
2005,-1.300921,4.618534,-0.475888,3.011592,0.999594,0.949777,-5.498123,-2.304565
2006,-1.222776,4.554629,-0.016562,2.890073,0.817333,0.448391,-5.595033,-1.876055
2007,-1.066538,4.529816,0.168686,2.829661,0.774205,-0.019611,-5.562299,-1.653919
2008,-0.85546,4.349496,-0.01182,2.901901,0.670421,-0.620417,-5.451926,-0.982194
2009,-0.744855,4.193742,0.252614,2.639974,0.466521,-1.287831,-5.055654,-0.46451
2010,-0.987755,3.878728,0.150618,2.364584,0.111392,-0.655595,-4.559298,-0.302673
2011,-1.182227,3.712488,0.188106,2.032718,-0.032925,-0.980668,-3.541779,-0.195714
2012,-1.224494,3.599013,0.072735,2.130156,-0.041788,-1.188957,-3.351863,0.005199
2013,-1.230814,3.467968,-0.088293,1.967776,-0.131215,-1.348732,-2.720586,0.083896
2014,-1.257178,3.251896,-0.19922,1.87406,-0.19967,-1.517642,-1.934246,-0.017999
2015,-1.26833,3.046917,-0.141154,1.75757,-0.114726,-1.662393,-1.582815,-0.035069
2016,-1.340255,2.862909,-0.231553,1.580873,-0.107347,-1.507528,-1.271831,0.014732
2017,-1.269981,2.749167,-0.332804,1.413533,-0.133163,-1.620751,-0.878006,0.072005
2018,-1.242486,2.685161,-0.41069,1.305501,-0.096675,-1.751181,-0.608066,0.118436
2019,-1.154608,2.607565,-0.431334,1.268546,-0.026012,-1.919983,-0.468578,0.124403
2020,-1.05486,2.536142,-0.433895,1.221375,-0.062127,-1.986185,-0.400403,0.179952
2021,-0.994727,2.475105,-0.446884,1.063405,-0.096674,-2.062611,-0.316755,0.379141
2022,-0.988772,2.400806,-0.577047,0.972602,-0.161115,-1.948575,-0.138654,0.440755
2023,-1.001909,2.366246,-0.594764,0.820326,-0.216484,-1.94777,0.078972,0.495384
2024,-1.063479,2.266943,-0.632849,0.807585,-0.292283,-1.916131,0.328841,0.501373
2025,-1.121213,2.174674,-0.670902,0.759573,-0.293036,-1.987755,0.586437,0.552223
