Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2000,3.871886,8.098973,6.302212,5.485013,7.53982,5.299464,-20.619532,-20.619532,4.641695
2001,1.576038,5.734853,4.068541,3.175843,5.195574,3.073558,-22.973693,-2.250428,2.399716
2002,1.592224,5.62508,3.953327,3.06333,5.027607,2.842023,-23.103219,-1.686806,2.686432
2003,1.974681,5.502125,3.919633,2.69102,4.889336,2.921993,-23.242824,-1.388156,2.732192
2004,2.01495,5.350004,3.788213,2.682876,4.768743,2.791028,-23.375521,-0.929489,2.909195
2005,2.183049,5.157968,3.773823,2.472089,4.588578,2.772797,-23.53133,-0.235452,2.818477
2006,2.323342,5.04825,3.695948,2.379297,4.501675,2.667104,-23.643785,0.201846,2.826323
2007,2.498521,4.98903,3.644594,2.347547,4.240383,2.575121,-23.730889,0.439184,2.99651
2008,0.442212,2.726828,1.59207,0.126787,2.109811,0.35734,-6.80273,-1.384409,0.832091
2009,0.539927,2.644661,1.49489,0.055511,2.01425,0.254939,-6.802529,-0.985417,0.783768
2010,0.47101,2.518741,1.432942,-0.010856,1.89264,0.227541,-6.559552,-0.571427,0.598962
2011,0.566592,2.52875,1.409154,-0.169481,1.640505,0.156099,-6.953372,-0.046117,0.86787
2012,0.617971,2.473364,1.182206,-0.068256,1.451886,0.061764,-6.654427,0.138291,0.797201
2013,0.54131,2.387033,0.928071,-0.141127,1.301075,-0.047795,-5.80235,0.145032,0.688753
2014,0.57861,2.316009,0.805845,-0.323595,1.277436,-0.093027,-5.6012,0.269509,0.770412
2015,0.5478,2.235736,0.747748,-0.427416,1.148702,-0.129382,-5.411022,0.268888,1.018945
2016,0.506218,2.143156,0.965513,-0.401373,1.014055,-0.189878,-5.19619,0.201706,0.956792
2017,0.494738,2.050358,1.019295,-0.432313,0.899418,-0.210262,-5.268099,0.221871,1.224993
2018,0.494144,1.996492,0.967784,-0.560556,0.897178,-0.271038,-5.148354,0.357881,1.26647
2019,0.469525,1.699197,1.054715,-0.462954,0.873326,-0.336034,-5.054533,0.366445,1.390314
2020,0.502149,1.474004,1.125573,-0.498711,0.7365,-0.370536,-4.897979,0.473669,1.455331
2021,0.446457,1.65642,1.055846,-0.468816,0.788587,-0.345509,-4.874518,0.451333,1.290199
2022,0.516644,1.825588,1.003101,-0.497945,0.180048,-0.291974,-4.927627,0.732352,1.459813
2023,0.756932,1.646573,1.159401,-0.124093,-1.203124,-0.137363,-4.84071,0.976871,1.765513
2024,3.503756,4.236911,3.932315,2.741309,-23.455488,2.585408,-1.943764,3.876184,4.52337
2025,5.895507,6.609124,6.387797,4.946427,-21.052911,4.912631,-21.052911,6.468519,6.885816
