Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2000,-0.311304,2.076275,1.223654,2.951435,4.809102,1.183773,-1.892907,-5.824732,-4.215295
2001,-0.287776,1.684354,1.382906,2.950146,4.707728,0.947288,-2.069064,-5.940265,-3.375316
2002,-0.331663,1.720265,1.467198,2.631981,4.635863,0.834772,-2.156871,-6.048691,-2.752854
2003,-0.347157,1.748407,1.444086,2.529533,4.569564,0.874613,-2.232989,-6.12481,-2.461248
2004,-0.363072,1.633332,1.48688,2.501112,4.545308,0.764326,-2.315043,-6.165191,-2.087653
2005,-0.424779,1.668941,1.492925,2.269211,4.467033,0.843456,-2.379578,-6.250779,-1.686431
2006,-0.491878,1.420947,1.37032,2.295396,4.399916,0.736932,-2.486282,-6.314923,-0.930428
2007,-0.554676,1.320199,1.214156,2.148742,4.209729,0.554547,-2.631454,-5.788455,-0.472789
2008,-0.611316,1.148017,1.095491,2.13963,4.095442,0.338171,-2.745105,-5.208958,-0.251372
2009,-0.717268,0.940384,0.88488,1.880658,3.879978,0.040342,-2.934053,-3.907502,-0.067417
2010,-0.88438,0.775991,0.792969,1.739113,3.685303,-0.068457,-3.109003,-2.85307,-0.078467
2011,-0.941698,0.296791,0.824947,1.263869,3.533087,-0.044639,-3.175291,-1.713236,-0.04383
2012,-1.007898,0.390586,0.44896,1.415902,3.377448,-0.133216,-3.34895,-1.187206,0.044374
2013,-0.964608,0.469806,0.210248,1.573995,3.347419,-0.267069,-3.394706,-1.054826,0.079741
2014,-0.830041,-0.198876,-0.04295,1.535151,3.45861,-0.188275,-3.199951,-0.765398,0.23173
2015,-0.850307,-0.251016,0.324453,1.290749,3.354203,-0.25523,-3.271441,-0.679021,0.337611
2016,-0.777159,-0.4694,0.759766,1.313523,3.204708,-0.357609,-3.30555,-0.63601,0.267731
2017,-0.799073,-0.300403,0.850673,1.061394,3.136727,-0.352477,-3.281412,-0.667954,0.352524
2018,-0.706653,-0.715042,0.586863,1.343577,3.190801,-0.472591,-3.326798,-0.421062,0.520905
2019,-0.628172,-1.492591,0.885122,1.256896,3.204411,-0.411531,-3.278871,-0.298003,0.762741
2020,-0.600958,-1.642983,0.791311,1.364332,3.097662,-0.463582,-3.265451,-0.199306,0.918974
2021,-0.583984,-1.149883,0.662196,1.242986,3.094824,-0.531126,-3.388389,-0.117117,0.770494
2022,-0.560238,-1.403751,0.993707,0.989764,2.856794,-0.482664,-3.340092,0.13291,0.81357
2023,-0.454557,-2.27489,0.650739,1.27244,3.072513,-0.507228,-3.295852,0.366383,1.170453
2024,-0.321963,-2.670533,0.205576,1.574033,3.251019,-0.434842,-3.252455,0.523327,1.125837
2025,-0.433217,-2.208559,0.085368,1.322019,3.208997,-0.424491,-3.324563,0.697651,1.076794
