Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2000,4.273496,7.704736,7.915413,4.544938,7.361018,5.560995,-20.10819,-20.10819,2.855785
2001,4.442147,7.810128,7.886618,4.330142,7.432234,5.396979,-20.094426,-20.094426,2.890603
2002,4.497798,7.695024,7.898208,4.439018,7.348118,5.33293,-20.153364,-20.153364,3.095631
2003,4.702425,7.813307,7.885866,4.055208,7.367873,5.324203,-20.143125,-20.143125,3.137368
2004,4.785467,7.670617,7.846035,4.366322,7.171434,5.180918,-20.236444,-20.236444,3.452095
2005,2.864345,5.558676,5.684153,2.24938,5.058145,3.183398,-22.36978,-3.949099,1.720782
2006,2.841592,5.616669,5.561284,2.13761,4.9372,3.255641,-22.412121,-3.99144,2.053565
2007,2.835462,5.515513,5.714022,2.228611,4.74691,3.118574,-22.422551,-4.001871,2.26533
2008,2.764715,5.321098,5.66949,2.13481,4.458379,3.131801,-22.528094,-3.414266,2.462068
2009,2.83152,5.09546,5.575338,2.114754,4.695897,3.016018,-22.565509,-3.451681,2.688204
2010,2.928728,5.100714,5.590879,1.700538,4.551776,2.773761,-22.603465,-2.79649,2.753559
2011,2.729427,4.827108,5.127936,1.879621,4.374728,2.321328,-22.88494,-1.286205,2.910997
2012,2.616077,4.886887,4.532381,1.595104,4.179847,2.151216,-23.100339,0.225616,2.913212
2013,2.754246,4.727867,4.421015,1.405897,4.115506,1.981793,-23.167517,0.556469,3.204724
2014,2.866849,4.355582,4.362045,1.521271,3.902984,1.910188,-23.277836,1.146731,3.212187
2015,3.005815,3.958747,4.233563,1.470143,3.882934,1.871366,-23.396257,1.648489,3.3252
2016,3.065631,3.085388,4.625856,1.342931,3.935012,2.026724,-23.363748,2.00487,3.277336
2017,3.116865,2.769106,4.572413,1.425815,3.907599,1.927415,-23.371592,2.093121,3.559257
2018,1.177207,0.441884,2.497652,-0.6875,1.794031,-0.054977,-6.986449,0.157958,1.660192
2019,1.319717,-0.371274,2.585336,-0.525666,1.722871,0.115567,-6.91086,0.213618,1.85069
2020,3.434398,1.52213,4.49918,1.710283,3.698476,1.960951,-23.244187,2.311385,4.107385
2021,3.483621,1.709943,4.605374,1.484588,3.625305,2.064554,-23.231359,2.290173,3.967802
2022,3.342,1.544365,4.591849,1.49608,3.621278,2.166895,-23.263195,2.353423,4.147304
2023,3.385857,1.186284,4.478194,1.568555,3.560328,2.237956,-23.169291,2.487009,4.265107
2024,3.605175,0.555902,4.371878,1.664985,3.61757,2.352038,-23.111803,2.607999,4.336256
2025,3.789505,-1.037838,4.580695,1.784622,3.664844,2.617923,-22.955026,3.031965,4.52331
