Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Solar,Wind
2000,-1.580639,3.861369,1.91927,2.238308,0.652742,1.26743,-6.710538,-1.647943
2001,-1.447355,3.837074,1.849198,2.102041,0.763729,1.113125,-6.780073,-1.437739
2002,-1.440434,3.854841,1.939988,2.026177,0.761452,1.128461,-6.80641,-1.464076
2003,-1.377016,3.716146,1.913752,1.864481,0.524155,1.062922,-6.285987,-1.418453
2004,-1.356252,3.584549,1.785136,2.05835,0.503627,0.788601,-6.465223,-0.898789
2005,-1.16082,3.613549,1.76667,2.021967,0.318193,0.676502,-6.469088,-0.766974
2006,-0.832937,3.671553,1.759564,2.170104,0.315686,0.394725,-7.159086,-0.31961
2007,-0.836957,3.440591,1.661928,1.970572,0.042445,-0.246172,-5.651848,-0.380559
2008,-0.655242,3.465838,1.567694,1.861152,-0.16199,-0.159367,-5.698668,-0.219418
2009,-0.610949,3.447254,1.67992,1.698619,-0.145454,-0.396938,-5.493751,-0.1787
2010,-0.516453,3.367914,1.672755,1.590776,0.040782,-0.720492,-5.305459,-0.129823
2011,-0.716269,3.09834,1.312424,1.426002,0.018063,-1.219148,-3.640854,-0.278556
2012,-0.777364,3.086458,0.985014,1.169757,-0.081194,-1.272375,-2.839998,-0.270298
2013,-0.782749,3.093903,0.545398,1.233708,-0.143085,-1.283382,-2.416382,-0.247412
2014,-0.710774,3.094447,0.397098,1.172533,-0.21549,-1.315256,-2.170667,-0.25189
2015,-0.865819,3.13829,0.394849,1.117958,-0.130283,-1.55029,-1.817308,-0.287396
2016,-1.044467,3.089396,0.395864,0.966942,-0.254425,-1.647603,-1.38794,-0.117766
2017,-1.27014,3.039302,0.339832,0.934985,-0.355585,-1.803908,-0.870249,-0.014237
2018,-1.144215,3.03256,0.209769,0.884505,-0.391723,-2.200268,-0.433559,0.042932
2019,-1.068744,3.076387,0.263315,1.076728,-0.202445,-2.890979,-0.38965,0.135387
2020,-1.065561,2.986819,0.259409,1.044226,-0.257317,-2.927104,-0.086683,0.046211
2021,-1.043063,3.038273,0.003925,0.981666,-0.314694,-2.876234,0.086359,0.123767
2022,-1.007212,3.048481,-0.322906,1.010064,-0.322473,-2.908204,0.408278,0.093973
2023,-1.079933,3.060308,-0.287965,0.790967,-0.340502,-2.867788,0.532716,0.192198
2024,-1.183744,3.038997,-0.252908,0.767162,-0.284222,-2.877541,0.677248,0.115008
2025,-1.214787,2.943818,-0.469631,0.829596,-0.366188,-2.941032,0.926045,0.29218
