Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Solar,Wind
2000,-0.462032,2.231806,2.313424,1.194924,2.524095,1.966811,-4.320282,-5.448747
2001,-0.598824,2.163694,2.173921,1.027808,2.396721,1.662692,-4.066433,-4.75958
2002,-0.666566,2.081295,2.036197,0.893255,2.253977,1.65699,-3.867307,-4.387842
2003,-0.756281,2.036995,1.969874,0.88692,1.798463,1.58158,-3.691257,-3.826294
2004,-0.862471,1.93268,1.796801,0.762579,1.899921,1.378062,-3.516599,-3.390973
2005,-0.768592,1.920375,1.688302,0.505609,1.834866,1.374643,-3.356863,-3.19834
2006,-0.822719,1.848719,1.742766,0.594333,1.825815,1.146149,-3.199019,-3.136044
2007,-0.845147,1.81464,1.747988,0.365694,1.686008,1.276089,-3.107992,-2.937281
2008,-0.901032,1.850973,1.824032,0.36035,1.569127,1.185022,-3.007612,-2.88086
2009,-0.914581,1.816581,1.856285,0.328509,1.688819,0.73004,-2.811537,-2.694118
2010,-0.937922,1.737221,1.765966,0.461795,1.656778,0.608655,-2.639926,-2.652568
2011,-1.004014,1.598974,1.885963,0.358917,1.03956,1.039192,-2.359981,-2.558612
2012,-0.791583,1.923521,2.187954,0.456586,-0.998701,1.447914,-1.8911,-2.334592
2013,-0.787687,1.962185,2.117765,0.442639,-1.249955,1.183898,-1.372975,-2.295871
2014,2.39974,5.111029,5.348424,3.640399,-23.788628,4.044027,2.396349,0.848659
2015,-0.530966,1.976385,2.153766,0.57115,-2.372007,0.768094,-0.338401,-2.228022
2016,-0.88395,1.776632,2.079649,0.326718,-1.175724,0.528921,-0.279313,-2.372933
2017,-0.931108,1.794903,2.039371,0.271688,-0.731087,-0.059674,-0.111069,-2.273024
2018,-0.950502,1.688999,1.900508,0.195513,-0.304874,-0.243662,-0.084463,-2.201519
2019,-0.8755,1.666815,1.83965,0.109667,-0.009131,-0.565514,0.017774,-2.183761
2020,-0.72034,1.695886,1.880996,0.227136,-0.372595,-0.902595,0.195885,-2.004373
2021,-0.698235,1.605384,1.707702,0.129826,-0.133091,-0.804906,0.185392,-1.992072
2022,-0.650879,1.576777,1.653133,0.031772,-0.33717,-0.460134,0.227647,-2.041146
2023,-0.560316,1.491522,1.551043,0.012978,0.051538,-0.816984,0.269867,-1.999647
2024,-0.497356,1.477049,1.533823,0.061819,0.128283,-1.094433,0.258305,-1.86749
2025,-0.353793,1.439665,1.462102,-0.056958,0.184581,-1.125315,0.256044,-1.806327
