Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2000,-0.71341,2.915924,2.166537,2.123407,2.088894,1.437448,-1.975003,-5.731404,-2.312392
2001,-0.801279,2.872215,2.168639,2.040304,2.059409,1.349791,-2.021317,-5.501425,-2.166336
2002,-0.805121,2.825575,2.143002,1.970005,1.986412,1.250515,-2.072766,-5.355381,-1.94224
2003,-0.792447,2.825992,2.12307,1.902829,1.89864,1.2022,-2.123216,-5.218343,-1.818726
2004,-0.804915,2.759738,2.096855,1.873763,1.843627,1.077224,-2.18794,-5.042092,-1.616261
2005,-0.794729,2.722378,2.055921,1.821623,1.756053,0.998072,-2.271476,-4.781178,-1.506664
2006,-0.814363,2.693955,2.03129,1.77478,1.685969,0.832094,-2.310485,-4.547497,-1.345742
2007,-0.81156,2.663478,2.017241,1.696902,1.572122,0.756603,-2.363476,-4.343673,-1.187636
2008,-0.850377,2.561127,1.945154,1.649678,1.463749,0.630927,-2.399468,-3.962973,-1.037817
2009,-0.858938,2.464487,1.868803,1.567183,1.368325,0.45996,-2.444779,-3.529846,-0.895195
2010,-0.848747,2.40358,1.838719,1.500505,1.271269,0.344186,-2.549621,-3.167011,-0.792879
2011,-0.920518,2.330201,1.725168,1.392259,1.102391,0.314137,-2.652661,-2.612861,-0.678116
2012,-0.929395,2.246852,1.695249,1.351561,0.942855,0.268033,-2.713112,-2.279818,-0.582224
2013,-0.916418,2.227071,1.604869,1.316402,0.879311,0.163503,-2.760058,-2.043022,-0.471658
2014,-0.911272,2.1658,1.555007,1.257064,0.819419,0.03787,-2.76236,-1.717166,-0.444362
2015,-0.910596,2.068876,1.552598,1.197009,0.770002,-0.03425,-2.775575,-1.521914,-0.34615
2016,-0.94633,2.016331,1.549743,1.17329,0.727629,-0.135004,-2.795419,-1.333044,-0.257195
2017,-0.956547,1.989409,1.509278,1.121639,0.675218,-0.284261,-2.818661,-1.08854,-0.147535
2018,-0.954328,1.971934,1.494554,1.095607,0.643889,-0.429799,-2.838405,-0.887055,-0.096397
2019,-0.94391,1.910322,1.481753,1.066923,0.638334,-0.531368,-2.864267,-0.734371,-0.023417
2020,-0.912562,1.840959,1.449944,1.065806,0.570244,-0.657442,-2.855698,-0.562223,0.060973
2021,-0.900249,1.840526,1.40289,0.978397,0.538527,-0.649265,-2.927165,-0.425004,0.141343
2022,-0.927608,1.800409,1.365408,0.938262,0.444707,-0.645372,-2.957036,-0.238413,0.219643
2023,-0.946268,1.7755,1.336106,0.878674,0.426499,-0.697403,-2.991799,-0.056607,0.275298
2024,-0.967599,1.73935,1.313289,0.873497,0.405684,-0.773738,-3.041157,0.146317,0.304357
2025,-0.997115,1.693458,1.279379,0.834319,0.378541,-0.827628,-3.07062,0.36676,0.342905
