Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Solar,Wind
2000,2.54,1060.26,5.77,222.41,16.74,47.27,0.02,0.59
2001,2.55,1129.14,4.93,277.43,17.47,48.52,0.03,0.72
2002,2.55,1282.57,4.19,287.97,25.13,50.71,0.05,0.84
2003,2.54,1519.97,5.16,283.68,43.34,54.83,0.06,1.0
2004,2.53,1722.42,7.46,353.54,50.47,65.53,0.08,1.28
2005,5.32,1980.15,12.14,397.02,53.09,50.51,0.08,1.95
2006,7.13,2302.42,23.82,435.79,54.84,37.92,0.09,3.71
2007,9.86,2656.7,33.91,485.26,62.13,28.09,0.11,5.48
2008,14.87,2708.91,34.57,636.96,68.39,18.81,0.15,13.1
2009,20.86,2911.52,56.56,615.64,70.05,12.12,0.28,27.61
2010,24.9,3233.6,77.73,711.38,74.74,34.71,0.7,49.4
2011,27.63,3690.87,108.77,688.04,87.2,33.8,2.61,74.1
2012,30.13,3748.19,110.25,862.79,98.32,31.22,3.59,103.05
2013,37.13,4077.37,116.39,909.61,111.5,33.0,8.37,138.26
2014,46.27,4203.06,133.28,1059.69,133.22,35.66,23.51,159.76
2015,54.07,4046.17,166.91,1114.52,171.38,36.46,39.48,185.59
2016,62.13,4156.35,188.28,1153.27,213.18,52.56,66.53,240.86
2017,79.6,4430.03,203.2,1165.06,248.1,56.05,117.8,304.6
2018,93.8,4763.85,215.5,1198.89,295.0,56.4,176.9,365.8
2019,112.8,4855.12,232.5,1272.54,348.7,52.47,224.0,405.3
2020,135.7,4921.89,252.5,1321.71,366.2,53.47,261.1,466.5
2021,166.0,5333.8,287.1,1300.0,407.5,57.06,327.0,655.8
2022,182.6,5414.72,275.62,1298.12,417.78,69.93,427.27,762.67
2023,198.2,5752.74,297.8,1226.0,434.72,76.97,584.15,885.87
2024,208.5,5827.6,320.72,1354.25,450.85,88.88,839.04,997.04
2025,213.01,5751.56,334.17,1397.06,487.61,89.55,1174.96,1135.44
