Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2000,4.33,296.68,49.2,21.73,169.61,18.05,0.0,0.0,9.35
2001,4.59,293.74,55.5,22.73,171.3,20.52,0.0,0.1,10.46
2002,5.31,299.6,56.3,23.12,164.84,18.53,0.0,0.2,15.86
2003,8.95,304.63,62.59,18.32,165.06,23.08,0.0,0.31,19.09
2004,10.64,298.77,62.67,20.75,167.07,23.12,0.0,0.56,26.02
2005,14.71,288.14,72.19,19.64,163.05,26.53,0.0,1.31,27.77
2006,18.94,288.93,74.73,20.03,167.27,26.71,0.0,2.27,31.32
2007,24.62,297.1,77.45,21.17,140.53,26.58,0.0,3.14,40.51
2008,28.02,275.21,88.48,20.44,148.49,25.74,0.02,4.51,41.38
2009,30.89,253.45,80.27,19.03,134.93,23.23,0.02,6.72,39.42
2010,33.92,262.89,88.76,20.95,140.56,26.59,0.03,11.96,38.55
2011,36.89,262.46,85.67,17.67,107.97,24.47,0.02,19.99,49.86
2012,43.2,276.23,75.95,21.75,99.46,24.77,0.03,26.74,51.68
2013,45.51,288.2,67.0,23.0,97.29,25.25,0.08,30.62,52.74
2014,48.29,274.41,60.61,19.59,97.13,24.67,0.1,35.45,58.5
2015,50.33,272.2,61.47,18.98,91.79,25.57,0.13,38.08,80.62
2016,50.93,261.75,80.62,20.55,84.63,25.39,0.17,37.56,79.92
2017,50.92,241.26,86.04,20.15,76.32,25.16,0.16,38.76,105.69
2018,50.79,228.16,81.56,17.69,76.0,23.63,0.18,44.32,109.95
2019,50.13,171.45,90.0,19.73,75.07,22.4,0.2,45.22,125.89
2020,50.93,134.6,95.0,18.72,64.38,21.28,0.23,49.5,132.11
2021,49.1,164.65,90.31,19.66,69.13,22.24,0.24,49.34,114.16
2022,48.6,179.93,79.05,17.62,34.71,21.65,0.21,60.3,124.81
2023,51.26,124.78,76.66,21.24,7.22,20.96,0.19,63.87,140.54
2024,51.08,106.33,78.41,23.83,0.0,20.39,0.22,74.13,141.6
2025,50.53,103.15,82.67,19.56,0.0,18.91,0.0,89.62,136.03
