Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2000,2.48,27.0,11.51,64.78,415.16,11.06,0.51,0.01,0.05
2001,2.85,20.48,15.15,72.62,421.08,9.8,0.48,0.01,0.13
2002,3.04,23.66,18.37,58.88,436.76,9.76,0.49,0.01,0.27
2003,3.23,26.26,19.37,57.35,441.07,10.96,0.49,0.01,0.39
2004,3.31,24.37,21.05,58.04,448.24,10.22,0.47,0.01,0.59
2005,3.39,27.51,23.07,50.14,451.53,12.05,0.48,0.01,0.96
2006,3.38,22.89,21.76,54.88,450.19,11.55,0.46,0.01,2.18
2007,3.75,24.45,21.99,55.99,439.73,11.37,0.47,0.02,4.07
2008,3.97,23.06,21.88,62.16,439.45,10.26,0.47,0.04,5.69
2009,4.13,21.67,20.5,55.49,409.74,8.81,0.45,0.17,7.91
2010,4.44,23.36,23.76,61.2,428.52,10.04,0.48,0.62,9.94
2011,5.04,17.39,29.49,45.74,442.39,12.36,0.54,2.33,12.37
2012,5.3,21.46,22.75,59.83,425.41,12.71,0.51,4.43,15.18
2013,5.68,23.84,18.39,71.92,423.68,11.41,0.5,5.19,16.14
2014,5.99,11.26,13.16,63.77,436.48,11.38,0.56,6.39,17.32
2015,6.53,11.89,21.14,55.56,437.43,11.84,0.58,7.75,21.42
2016,7.52,10.23,34.97,60.84,403.2,11.44,0.6,8.66,21.38
2017,7.78,12.81,40.5,50.0,398.36,12.16,0.65,8.87,24.61
2018,8.38,8.31,30.55,65.11,412.94,10.59,0.61,11.15,28.6
2019,8.64,3.64,39.24,56.91,399.01,10.73,0.61,12.02,34.72
2020,8.76,3.09,35.25,62.52,353.83,10.05,0.61,13.09,40.05
2021,9.58,5.44,33.31,59.54,379.36,10.1,0.58,15.28,37.12
2022,9.67,4.16,45.74,45.56,294.73,10.45,0.6,19.34,38.2
2023,9.94,1.61,30.02,55.9,338.2,9.43,0.58,22.59,50.48
2024,10.68,1.02,18.1,71.12,380.45,9.54,0.57,24.87,45.43
2025,10.27,1.74,17.25,59.41,392.07,10.36,0.57,31.82,46.49
