Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2000,60.73,1966.27,614.99,270.03,753.89,116.02,14.09,0.49,5.59
2001,49.75,1903.96,639.13,208.14,768.83,135.59,14.89,0.54,6.74
2002,53.71,1933.13,691.01,255.59,780.06,103.69,16.14,0.55,10.35
2003,53.34,1973.74,649.91,267.27,763.73,132.38,16.85,0.53,11.19
2004,53.54,1978.3,710.1,259.93,788.53,129.88,16.95,0.58,14.14
2005,54.28,2012.87,760.96,263.76,781.99,126.13,16.64,0.55,17.81
2006,54.86,1990.51,816.44,282.69,787.22,71.61,16.51,0.51,26.59
2007,55.54,2016.46,896.59,240.61,806.42,75.19,16.7,0.61,34.45
2008,55.03,1985.8,882.98,248.54,806.21,55.43,17.32,0.86,55.36
2009,54.49,1755.9,920.98,268.82,798.85,48.53,17.47,0.89,73.89
2010,56.09,1847.29,987.7,254.7,806.97,47.5,17.83,1.21,94.65
2011,56.67,1733.43,1013.69,312.93,790.2,41.81,18.14,1.82,120.18
2012,57.62,1514.04,1225.89,271.29,769.33,39.09,18.26,4.33,140.82
2013,60.86,1581.11,1124.84,263.88,789.02,40.26,18.76,9.04,167.84
2014,63.99,1581.71,1126.61,253.19,797.17,43.69,19.08,28.92,181.65
2015,63.63,1352.4,1333.48,243.99,797.18,44.44,19.12,39.03,190.72
2016,62.76,1239.15,1378.31,261.13,805.69,39.5,19.16,54.87,226.99
2017,62.73,1205.84,1296.44,293.84,804.95,37.89,19.04,77.28,254.3
2018,61.83,1149.49,1469.13,286.62,807.08,42.68,18.69,93.36,272.67
2019,57.51,964.96,1585.81,282.61,809.41,37.44,17.87,106.89,295.88
2020,54.7,773.39,1624.17,279.95,789.88,34.34,18.09,130.72,337.94
2021,54.25,898.0,1579.19,246.47,779.65,35.2,18.24,164.42,378.2
2022,51.85,831.51,1687.06,248.76,771.54,38.64,18.16,205.07,434.3
2023,47.2,675.11,1806.06,239.01,774.87,33.13,18.45,238.94,421.14
2024,46.42,652.16,1869.9,237.04,781.86,30.47,17.52,303.75,451.9
