label,g__Turicibacter,g__Parabacteroides,g__[Ruminococcus],g__Sutterella,f__Peptostreptococcaceae_g__,g__Ruminococcus,g__Veillonella,g__Bacteroides,g__Eggerthella,g__Faecalibacterium,g__Coprococcus,f__Lachnospiraceae_g__,g__Neisseria,g__Haemophilus,g__Blautia,f__Enterobacteriaceae_g__,g__Klebsiella,g__Dorea,g__Dialister,g__Anaerostipes,g__Phascolarctobacterium,g__Staphylococcus,g__Actinomyces,f__Gemellaceae_g__,g__Akkermansia,g__Oscillospira,o__Lactobacillales_g__,g__Adlercreutzia,g__Odoribacter,f__Clostridiaceae_g__,g__Prevotella,g__Roseburia,g__Lachnospira,o__Clostridiales_g__,g__Granulicatella,f__Erysipelotrichaceae_g__,f__Ruminococcaceae_g__,g__Clostridium,g__Streptococcus,g__Aggregatibacter,g__Fusobacterium,g__Conchiformibius,g__Bifidobacterium,g__Collinsella,g__Holdemania,g__[Eubacterium],f__Rikenellaceae_g__,g__Bilophila
s0_CD,1,1191,2258,31712,4,25,548,102806,160,132165,41,16008,1,16418,38,37584,18,6010,3072,1,2,1,15,35,12,1756,6,1,1,225,6,200,16,711,1,3492,4648,499,104,4722,6588,1350,209,2,6,47,7,6152
s1_no,1,17,1913,23,32,7,11,12631,33,3872,605,4178,1,34,1029,1521,1,75,5,14,1,1,2,4,1,163,1,1,6,5,2,14,54,1861,2,2488,1494,7,19,2,14,2,1941,1,38,96,9,2
s2_CD,3,152,868,142,1,5,86,26711,2,1997,72,1560,74,182,233,29509,8,125,6,1,7,57,39,51,151,37,1,2,2,101,15,168,36,515,18,1118,392,1,125,15,61,46,102,3,2,42,71,8
s3_CD,1,48,370,846,326,1,3,1029,1,221,12,179,1,84,5,625,1,53,1,1,1,136,1,20,2,1,1,1,1,88,1,1,1,4,1,396,79,121,43,2,1,1,1,1,1,1,1,1
s4_CD,1,18,2830,38,2,1,439,21095,183,7116,55,4520,21,1681,37,2866,16,225,2168,2,269,47,49,74,8,33,1,1,24,1,4,14,1,638,40,500,1012,1,56,4,697,1,25,148,1,40,103,1
s5_CD,1,6608,279,1920,1,9,174,7448,62,2046,1,1338,41,20,24,3669,2,5,2,1,15,1,4,2,6,6,1,1,1,2,4,3,2,21,5,1,482,1,29,5,9,1,344,2,1,350,6,428
s6_CD,1,204,506,17,56,66,387,13423,1,3050,215,1661,1,638,275,10,1,92,50,14,1,6,2,8,3,64,2,3,3,17,4,39,6,499,3,77,1177,1,30,11,291,7,108,74,2,5,1,365
s7_no,1,1348,9106,13,67,68,542,40840,18,1309,527,11027,1,451,883,369,2,258,2,2,812,12,4,42,1,48,1,1,2,110,4,1177,155,3651,58,997,1701,1,235,2,26,3,1,1,56,533,7,1
s8_CD,1,67,112,3,1,2,21,11823,11,1347,17,745,1,22,35,35,1,9,2,1,4,85,3,9,2,30,1,1,4,1,1,13,1,28,6,113,77,2,264,2,16,2,15,1,6,45,62,39
s9_CD,1,34,572,2,288,1,18,7198,1,14,28,1141,1,11,35,4703,18,383,4,1,47,20,3,5,1,2,1,1,3,83,3,5,22,24,26,54,195,1,65,1,13,1,1,1,1,1,1,1
