day_of_life,g__Actinomyces_0,g__Bifidobacterium_1,g__Eggerthella_2,g__Bacteroides_3,g__Parabacteroides_4,f__Rikenellaceae_5,g__Staphylococcus_6,g__Enterococcus_7,g__Lactobacillus_8,g__Streptococcus_9,o__Clostridiales_10,o__Clostridiales_11,f__Clostridiaceae_12,f__Clostridiaceae_13,g__Clostridium_14,f__Lachnospiraceae_15,f__Lachnospiraceae_16,g__Blautia_17,g__Coprococcus_18,g__Dorea_19,g__Lachnospira_20,g__Roseburia_21,g__[Ruminococcus]_22,f__Peptostreptococcaceae_23,f__Ruminococcaceae_24,f__Ruminococcaceae_25,g__Faecalibacterium_26,g__Oscillospira_27,g__Ruminococcus_28,g__Veillonella_29,f__Erysipelotrichaceae_30,g__[Eubacterium]_31,f__Enterobacteriaceae_32,f__Enterobacteriaceae_33,g__Haemophilus_34,g__Pseudomonas_35,g__Akkermansia_36
0,0,964,0,0,0,86,61,0,0,40,26,0,0,0,35,0,340,543,32,39,125,0,648,0,63,0,606,0,0,47,292,0,0,33,30,0,0
0,14,31,0,597,94,12,147,0,24,80,77,132,7,0,0,21,380,68,22,0,35,26,39,0,36,129,109,89,26,0,15,0,32,12026,40,101,0
0,0,516,0,4986,846,880,20,0,111,72,153,707,16,73,121,132,633,279,237,99,579,493,575,97,382,1000,1332,265,314,78,129,27,121,206,74,32,184
0,68,518,12,372,461,0,8,0,8,156,47,0,69,12,294,7,627,1002,115,428,14,745,246,215,0,24,1138,209,17,108,273,484,548,91,0,0,64
0,3,90,0,523,20,75,173,154,104,68,161,265,0,103,4,56,122,63,47,0,0,0,151,0,81,60,16,86,86,0,7,0,776,11436,0,76,657
0,94,18394,0,0,0,0,60,0,409,325,0,0,0,0,52,0,0,0,0,0,0,0,4,10,0,0,0,0,0,756,0,0,513,4,46,0,0
0,2,18,0,359,43,59,40,0,4,13,20,37,0,0,0,0,12,41,71,0,0,30,26,0,15,73,34,37,37,13,0,0,7,9997,2,9,0
0,0,13111,62,4608,0,10,3,14,5,53,22,0,411,73,1394,90,44,81,26,1991,0,0,2424,576,0,6,228,896,137,242,167,7,1283,882,54,0,18
0,6,4853,21,0,0,0,0,82,0,30,54,0,279,526,3319,31,0,22,57,0,0,0,2018,269,0,0,0,242,0,1196,837,0,959,1854,0,3,0
0,0,875,0,570,76,24,117,8,14,41,0,0,77,43,138,28,111,114,108,0,87,116,286,37,0,0,73,0,0,31,47,54,248,111,0,16,0
0,0,0,0,414,34,70,58,0,34,66,153,194,14,28,68,6,224,40,0,0,36,0,237,20,74,199,59,119,68,7,0,21,74,18529,0,156,93
0,0,1132,0,19932,30,0,10,30,30,49,3,0,472,0,104,0,48,93,59,18,15,26,76,8,0,0,51,7,5,299,21,28,92,1691,21,0,0
0,6,17,0,407,35,20,40,4,9,13,52,61,0,0,0,16,9,24,0,0,17,4,95,0,0,109,48,50,0,0,24,0,0,11385,0,31,0
0,0,1099,0,89,158,3,19,62,8,20,47,0,68,0,153,0,71,124,0,0,33,42,146,23,0,0,103,15,0,120,82,48,74,28,0,0,2
0,547,1091,0,1577,114,19,0,184,24,24,91,0,1053,125,195,0,63,79,83,48,54,25,227,12,986,0,35,0,0,317,70,35,275,185,0,0,0
0,0,27,0,327,17,23,0,0,25,19,55,100,0,19,0,0,28,9,28,0,0,0,74,0,46,53,130,16,9,5,0,0,30,12492,0,0,0
0,12,37,0,580,88,129,7,0,16,126,95,58,0,24,0,44,39,47,13,31,0,39,192,0,26,111,49,103,105,45,0,0,22,19643,111,68,6
0,2,65,0,459,45,31,97,19,100,45,0,56,25,88,0,0,223,35,27,10,19,6,104,0,49,42,45,99,21,0,0,0,72,12073,42,64,74
0,0,121,0,248,0,0,66,0,0,0,0,0,0,0,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,16,990,0,1357,0
0,0,7,0,188,59,29,0,0,10,11,16,60,12,0,0,17,28,4,23,23,0,0,57,0,26,77,60,14,0,0,0,0,62,12647,11,65,0
0,6,38,3,479,29,0,38,0,10,24,62,59,0,13,0,30,78,55,36,8,0,21,80,18,45,103,36,68,17,0,0,0,0,13345,31,26,49
0,0,2580,0,1448,0,316,0,0,27,85,0,78,30,0,0,23,67,40,2,114,18,299,415,80,17,15,772,102,49,307,109,19,5,0,15,6,82
0,0,50,0,352,0,11,25,0,38,0,159,106,0,0,4,13,57,21,0,16,0,37,104,0,31,71,112,56,40,0,0,0,34,14218,17,24,7
0,0,0,0,360,86,28,14,9,33,28,50,118,0,0,0,0,79,59,29,26,4,0,11,0,40,99,41,26,17,0,0,0,14,10878,0,54,12
0,0,491,0,8104,396,843,0,11,0,113,22,0,15,218,320,9,137,246,185,18,99,470,129,102,158,39,1839,56,197,128,41,63,320,9,50,0,13
0,0,1311,0,172,0,4,0,0,11,0,0,0,0,0,23,0,20,161,34,5,0,10,225,15,0,272,0,3,0,0,11,0,37,0,10,16,0
0,0,2014,0,2210,815,16,0,39,60,0,9,0,0,0,0,0,18,24,0,46,0,0,1500,50,7,21,0,41,0,111,55,0,476,176,0,1370,31
0,1622,551,13,1313,1844,2,18,88,7,258,24,0,2268,313,932,0,314,30,0,23,0,0,0,39,0,0,0,9,3,1115,18,12,6317,1089,248,0,0
0,0,75,0,34,24,0,44,107,0,309,0,0,0,0,34,71,92,35,0,17,0,0,8,51,0,61,229,156,0,19,6,60,3278,937,0,0,0
