second,pO2,pCO2,pN2,pH2O
0,99.512,39.98,573.508,47.0
1,100.587,39.556,572.857,47.0
2,100.349,39.987,572.663,47.0
3,99.224,39.801,573.975,47.0
4,99.251,40.391,573.358,47.0
5,99.947,40.131,572.922,47.0
6,99.922,39.101,573.977,47.0
7,96.725,41.53,574.745,47.0
8,93.088,42.793,577.119,47.0
9,89.348,43.916,579.736,47.0
10,86.673,44.867,581.461,47.0
11,82.279,45.821,584.9,47.0
12,79.002,46.457,587.541,47.0
13,75.938,48.16,588.902,47.0
14,71.868,49.032,592.1,47.0
15,67.932,50.446,594.623,47.0
16,64.57,51.599,596.831,47.0
17,61.237,53.091,598.672,47.0
18,58.498,54.055,600.447,47.0
19,58.307,53.805,600.888,47.0
20,62.22,52.486,598.293,47.0
21,65.858,51.117,596.025,47.0
22,70.894,50.086,592.02,47.0
23,75.205,48.087,589.709,47.0
24,78.962,46.941,587.097,47.0
25,82.832,46.041,584.127,47.0
26,87.411,43.866,581.723,47.0
27,91.875,43.086,578.038,47.0
28,96.521,41.11,575.369,47.0
29,99.99,39.922,573.088,47.0
