hour,N2,O2,CO2,H2O,trace
0,77.9917,20.898,0.3147,0.7756,0.02
1,77.9505,20.9262,0.3329,0.7704,0.02
2,77.9908,20.8801,0.3479,0.7612,0.02
3,77.8536,20.896,0.4044,0.826,0.02
4,77.9349,20.8101,0.439,0.7961,0.02
5,77.7672,20.9066,0.482,0.8242,0.02
6,77.7292,20.9416,0.5168,0.7924,0.02
7,77.7503,20.8835,0.5329,0.8133,0.02
8,77.7566,20.8457,0.5776,0.8001,0.02
9,77.7004,20.8901,0.59,0.7996,0.02
10,77.6913,20.8946,0.6226,0.7716,0.02
11,77.629,20.8803,0.6753,0.7955,0.02
12,77.9419,20.9055,0.3077,0.8249,0.02
13,77.9619,20.9015,0.3295,0.787,0.02
14,77.9414,20.8917,0.374,0.7729,0.02
15,77.991,20.7804,0.3896,0.8191,0.02
16,78.1636,20.5941,0.4241,0.7981,0.02
17,78.2443,20.4508,0.4555,0.8294,0.02
18,78.3196,20.3286,0.518,0.8138,0.02
19,78.2193,20.4493,0.5307,0.7807,0.02
20,77.7633,20.8762,0.5535,0.7871,0.02
21,77.6942,20.9011,0.5896,0.7951,0.02
22,77.7627,20.8355,0.6258,0.7561,0.02
23,77.6186,20.912,0.6578,0.7917,0.02
24,77.9956,20.8737,0.3067,0.804,0.02
25,77.8747,20.9407,0.3288,0.8358,0.02
26,77.9187,20.93,0.3668,0.7645,0.02
27,77.8943,20.9126,0.4012,0.7719,0.02
28,77.9008,20.8603,0.4406,0.7782,0.02
29,77.8754,20.8617,0.4682,0.7747,0.02
30,77.8072,20.8777,0.5113,0.7838,0.02
31,77.7724,20.9105,0.5394,0.7577,0.02
32,77.657,20.8992,0.5725,0.8513,0.02
33,77.6582,20.9168,0.5932,0.8118,0.02
34,77.6369,20.8709,0.6261,0.8028,0.0633
35,77.5378,20.9067,0.6696,0.7792,0.1067
36,77.8816,20.8589,0.2898,0.8197,0.15
37,77.8735,20.9298,0.3237,0.7664,0.1067
38,77.8718,20.8678,0.371,0.826,0.0633
39,77.9508,20.8575,0.41,0.7617,0.02
40,77.8243,20.9048,0.4416,0.8093,0.02
41,77.826,20.9013,0.4622,0.7906,0.02
42,77.8119,20.8946,0.4959,0.7776,0.02
43,77.7262,20.9314,0.5217,0.8007,0.02
44,77.7582,20.8852,0.5626,0.774,0.02
45,77.6779,20.8992,0.6111,0.7917,0.02
46,77.6401,20.872,0.6396,0.8283,0.02
47,77.5565,20.9292,0.6744,0.82,0.02
