depth_m,Na,Cl,Ca,Mg,SO4,HCO3,K
300.0,7618.61,13963.61,848.38,282.76,621.33,399.32,111.04
369.2307692307692,8465.03,14797.65,1139.92,329.01,595.97,388.23,119.64
438.46153846153845,9598.09,18786.8,1376.1,384.41,562.68,404.39,160.17
507.69230769230774,10349.13,19413.24,1643.41,392.38,518.0,390.58,164.47
576.9230769230769,10628.2,20937.26,1821.69,420.02,519.74,361.84,174.83
646.1538461538462,11862.05,24955.23,2226.64,468.0,514.65,357.14,191.44
715.3846153846155,11513.03,25407.89,2566.71,503.44,535.08,333.46,208.44
784.6153846153846,12746.08,26643.0,2942.37,515.93,477.73,348.43,232.83
853.8461538461538,14550.77,28467.15,3053.41,540.52,472.73,319.93,226.72
923.0769230769231,14091.04,31584.95,3203.01,528.38,431.95,311.94,249.67
992.3076923076923,15162.98,32315.5,3649.91,586.74,468.72,336.01,283.72
1061.5384615384614,15333.15,33008.17,4061.78,638.73,417.92,309.24,284.94
1130.769230769231,15611.9,35458.73,4308.46,636.26,406.42,297.16,288.92
1200.0,16501.43,41157.37,4103.98,709.9,423.44,317.64,313.01
1269.2307692307693,18108.28,42265.17,4856.06,711.27,401.22,267.36,318.81
1338.4615384615386,17637.22,43620.44,5090.12,792.15,364.11,258.51,320.76
1407.6923076923076,19850.47,43468.93,5596.84,759.02,376.74,241.3,338.24
1476.923076923077,20574.33,48010.89,5630.93,850.62,349.24,252.24,366.18
1546.1538461538462,19565.57,48727.79,5780.46,854.96,356.12,232.06,368.02
1615.3846153846152,20740.67,50200.45,6057.91,883.7,342.04,248.03,387.8
1684.6153846153845,22401.58,55133.24,6696.51,944.06,338.81,234.6,395.06
1753.8461538461538,21838.47,53340.93,6811.89,896.02,294.16,211.72,448.7
1823.076923076923,23437.73,54119.83,6741.62,986.18,268.84,218.64,445.81
1892.3076923076924,23417.16,58247.52,7419.8,1084.76,279.29,195.87,459.92
1961.5384615384617,30466.7,68284.23,9058.58,1065.41,178.13,146.62,484.5
2030.769230769231,29413.7,72224.71,8886.85,1040.68,168.49,141.96,474.63
2100.0,30834.03,72847.95,9401.75,1090.43,142.56,133.84,488.36
2169.2307692307695,28603.68,76165.46,10715.82,1261.86,132.99,115.89,520.13
2238.4615384615386,33028.97,76304.45,10179.49,1182.02,108.98,112.58,513.91
2307.6923076923076,30767.64,75337.74,10914.17,1225.73,105.55,103.32,519.71
2376.923076923077,33247.62,82752.66,10820.29,1259.23,93.14,95.78,584.76
2446.153846153846,34300.76,88378.33,11864.15,1202.43,75.05,90.23,573.06
2515.3846153846152,34892.27,88926.31,10569.48,1331.78,58.74,83.89,573.0
2584.6153846153848,36347.32,91556.69,10986.48,1259.48,0.0,68.19,574.08
2653.846153846154,34359.31,95171.75,11785.0,1286.26,32.54,60.35,587.33
2723.0769230769233,36254.88,94086.29,11852.93,1392.15,17.59,55.15,655.12
2792.3076923076924,39837.6,89982.09,12145.1,1396.03,3.0,46.41,634.83
2861.5384615384614,35848.68,92286.41,12551.46,1425.97,0.0,37.16,645.21
2930.7692307692305,36153.05,95958.36,12669.64,1635.8,0.0,27.26,696.74
3000.0,39278.47,93290.85,13213.92,1474.62,0.0,20.68,692.9
