minute,O2,CO2,N2
0,20.9389,0.4987,78.5624
1,21.0734,0.4704,78.4562
2,21.0437,0.4992,78.4572
3,20.9029,0.4868,78.6103
4,20.9064,0.526,78.5676
5,20.9933,0.5087,78.4979
6,20.9902,0.4401,78.5697
7,21.0281,0.5242,78.4476
8,21.0109,0.5307,78.4584
9,20.981,0.5277,78.4912
10,21.0841,0.5133,78.4026
11,20.9724,0.4992,78.5284
12,21.0002,0.4638,78.536
13,21.0547,0.4996,78.4457
14,20.9835,0.4799,78.5366
15,20.929,0.4964,78.5747
16,20.9463,0.4955,78.5582
17,20.9671,0.5172,78.5157
18,21.0622,0.5037,78.4341
19,21.0384,0.487,78.4746
20,21.0025,0.4924,78.505
21,20.8586,0.7313,78.4101
22,20.8894,0.9927,78.1179
23,20.8296,1.1896,77.9808
24,20.7005,1.4435,77.856
25,20.5856,1.7136,77.7008
26,20.5592,1.8988,77.542
27,20.5186,2.177,77.3044
28,20.5007,2.3754,77.1239
29,20.3356,2.6264,77.038
30,20.2308,2.8525,76.9167
31,20.1237,3.1003,76.776
32,20.1176,3.3214,76.561
33,19.9322,3.5359,76.5318
34,19.9305,3.8075,76.262
35,19.9147,4.0348,76.0505
36,19.8312,4.2719,75.8969
37,19.7806,4.5621,75.6573
38,19.7416,4.754,75.5044
39,19.5113,5.02,75.4687
40,20.8005,0.5719,78.6276
41,20.9209,0.5524,78.5267
42,20.8455,0.5236,78.6309
43,20.9365,0.5247,78.5388
44,20.8362,0.553,78.6108
45,20.7594,0.5351,78.7055
46,20.19,0.5077,79.3023
47,19.4842,0.5621,79.9537
48,18.9282,0.5495,80.5223
49,18.1624,0.5618,81.2759
50,17.4946,0.5365,81.9689
51,16.807,0.5306,82.6624
52,19.8637,0.5792,79.5571
53,19.9112,0.7201,79.3686
54,19.9493,0.8012,79.2496
55,19.8492,0.9092,79.2416
56,19.9497,1.0378,79.0125
57,19.9651,1.15,78.8849
58,19.9217,1.2474,78.8309
59,19.8292,1.42,78.7508
