Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2001,0.0010,158.6700,9.9700,5.9500,0.0010,0.0700,0.0010,0.0010,0.0010
2002,0.0010,163.3200,9.8200,5.1800,0.0010,0.0800,0.0010,0.0010,0.0010
2003,0.0010,166.8600,7.9800,7.0600,0.0010,0.0100,0.0010,0.0010,0.0010
2004,0.0010,173.3900,9.6700,4.7700,0.0010,0.0400,0.0010,0.0010,0.0010
2005,0.0010,172.5200,10.9800,12.3500,0.0010,0.0200,0.0010,0.0010,0.0010
2006,0.0010,177.8400,12.7000,14.4300,0.0010,0.0100,0.0010,0.0010,0.0010
2007,0.0010,175.6700,19.3800,12.6900,0.0010,0.0900,0.0010,0.0010,0.0010
2008,0.0010,179.1200,17.9300,11.2700,0.0010,0.0600,0.0010,0.0010,0.0010
2009,0.2200,173.7300,19.8100,12.1000,0.0010,0.0500,0.0010,0.0400,2.4300
2010,0.1800,164.5800,23.6400,15.7600,0.0010,0.0100,0.0010,0.2800,4.4700
2011,0.3900,162.9800,23.0300,13.3800,0.0010,0.0300,0.0010,1.1000,5.6500
2012,0.3500,153.4900,24.4800,15.9700,0.0010,0.0100,0.0010,2.0900,6.3300
2013,0.3100,146.2100,22.8900,18.5500,0.0010,0.0800,0.0010,3.1800,8.0700
2014,0.4900,153.7600,32.1000,13.8900,0.0010,0.0200,0.0010,4.0400,10.0800
2015,0.4700,160.0700,27.4000,13.3800,0.0010,0.0300,0.0010,5.2400,11.5900
2016,0.4700,160.1700,24.2400,17.0700,0.0010,0.1200,0.0010,6.7900,12.7000
2017,0.4900,157.1100,29.6100,12.9100,0.0010,0.0900,0.0010,7.8200,12.8600
2018,0.3700,154.6200,23.7400,16.6900,0.0010,0.0100,0.0010,11.9300,15.9000
2019,0.3700,147.9900,25.9600,13.7300,0.0010,0.0100,0.0010,17.7500,19.0500
2020,0.2800,141.0700,22.4800,14.3100,0.0010,0.0010,0.0010,22.2100,22.2000
2021,0.2800,135.6400,17.7100,15.8000,0.0010,0.0900,0.0010,28.2600,26.3600
2022,0.2400,127.7900,20.8300,16.6500,0.0010,0.0600,0.0010,33.8600,29.4500
2023,0.3300,124.4900,17.2700,15.2800,0.0010,0.0200,0.0010,41.9200,30.9400
2024,0.4500,126.4300,18.3600,13.5400,0.0010,0.0700,0.0010,46.7700,31.9000
2025,0.5000,121.4500,16.3100,12.9100,0.0010,0.0100,0.0010,52.6500,38.3900
