Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Solar,Wind
2010,24.9,3233.6,77.73,711.38,74.74,34.71,0.7,49.4
2011,27.63,3690.87,108.77,688.04,87.2,33.8,2.61,74.1
2012,30.13,3748.19,110.25,862.79,98.32,31.22,3.59,103.05
2013,37.13,4077.37,116.39,909.61,111.5,33.0,8.37,138.26
2014,46.27,4203.06,133.28,1059.69,133.22,35.66,23.51,159.76
2015,54.07,4046.17,166.91,1114.52,171.38,36.46,39.48,185.59
2016,62.13,4156.35,188.28,1153.27,213.18,52.56,66.53,240.86
2017,79.6,4430.03,203.2,1165.06,248.1,56.05,117.8,304.6
2018,93.8,4763.85,215.5,1198.89,295.0,56.4,176.9,365.8
2019,112.8,4855.12,232.5,1272.54,348.7,52.47,224.0,405.3
2020,135.7,4921.89,252.5,1321.71,366.2,53.47,261.1,466.5
