Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2010,33.92,262.89,88.76,20.95,140.56,26.59,0.03,11.96,38.55
2011,36.89,262.46,85.67,17.67,107.97,24.47,0.02,19.99,49.86
2012,43.2,276.23,75.95,21.75,99.46,24.77,0.03,26.74,51.68
2013,45.51,288.2,67.0,23.0,97.29,25.25,0.08,30.62,52.74
2014,48.29,274.41,60.61,19.59,97.13,24.67,0.1,35.45,58.5
2015,50.33,272.2,61.47,18.98,91.79,25.57,0.13,38.08,80.62
2016,50.93,261.75,80.62,20.55,84.63,25.39,0.17,37.56,79.92
2017,50.92,241.26,86.04,20.15,76.32,25.16,0.16,38.76,105.69
2018,50.79,228.16,81.56,17.69,76.0,23.63,0.18,44.32,109.95
2019,50.13,171.45,90.0,19.73,75.07,22.4,0.2,45.22,125.89
2020,50.93,134.6,95.0,18.72,64.38,21.28,0.23,49.5,132.11
