Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2010,4.44,23.36,23.76,61.2,428.52,10.04,0.48,0.62,9.94
2011,5.04,17.39,29.49,45.74,442.39,12.36,0.54,2.33,12.37
2012,5.3,21.46,22.75,59.83,425.41,12.71,0.51,4.43,15.18
2013,5.68,23.84,18.39,71.92,423.68,11.41,0.5,5.19,16.14
2014,5.99,11.26,13.16,63.77,436.48,11.38,0.56,6.39,17.32
2015,6.53,11.89,21.14,55.56,437.43,11.84,0.58,7.75,21.42
2016,7.52,10.23,34.97,60.84,403.2,11.44,0.6,8.66,21.38
2017,7.78,12.81,40.5,50.0,398.36,12.16,0.65,8.87,24.61
2018,8.38,8.31,30.55,65.11,412.94,10.59,0.61,11.15,28.6
2019,8.64,3.64,39.24,56.91,399.01,10.73,0.61,12.02,34.72
2020,8.76,3.09,35.25,62.52,353.83,10.05,0.61,13.09,40.05
