Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2010,12.26,107.59,175.65,3.59,62.14,10.5,0.0,0.04,10.29
2011,13.31,108.44,146.5,5.69,68.98,8.85,0.0,0.24,15.96
2012,14.74,142.79,100.17,5.31,70.41,9.26,0.0,1.35,19.84
2013,18.1,130.26,95.84,4.7,70.61,8.36,0.0,2.01,28.4
2014,22.62,100.24,100.89,5.89,63.75,8.69,0.0,4.05,31.95
2015,29.26,75.88,99.88,6.3,70.34,9.41,0.0,7.53,40.27
2016,30.07,30.67,143.13,5.37,71.73,10.64,0.0,10.41,37.16
2017,31.9,22.53,136.75,5.88,70.34,9.71,0.0,11.46,49.65
2018,35.11,16.83,131.49,5.44,65.06,10.24,0.01,12.67,56.91
2019,37.54,6.92,133.09,5.93,56.18,11.26,0.01,12.42,63.84
2020,38.58,5.7,111.89,6.88,50.24,8.84,0,12.55,75.62
