Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Solar,Wind
2010,13.22,642.97,118.03,108.74,23.08,10.78,0.11,19.46
2011,15.46,701.25,117.56,131.7,32.22,9.35,0.83,23.95
2012,16.52,787.13,96.25,115.78,33.14,10.07,2.1,27.43
2013,17.57,847.97,66.31,131.98,33.31,10.65,3.43,30.01
2014,21.14,949.93,64.01,139.0,34.69,11.55,4.91,33.45
2015,18.36,1006.55,64.77,133.48,38.31,9.26,7.09,32.74
2016,17.2,1073.6,72.62,128.55,37.9,9.41,12.2,43.45
2017,14.99,1115.24,74.99,135.98,37.41,8.79,22.36,52.63
2018,18.4,1198.86,71.26,139.92,39.05,6.4,37.45,60.31
2019,18.99,1198.76,71.95,162.29,45.16,3.07,37.45,63.31
2020,19.88,1143.78,74.79,163.94,44.61,3.09,52.91,60.43
