Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Solar,Wind
2010,21.83,316.85,326.09,88.5,292.36,102.5,3.98,3.93
2011,21.11,285.07,379.83,82.49,162.93,162.87,5.44,4.46
2012,22.13,334.3,435.49,77.1,17.99,207.77,7.37,4.73
2013,23.18,362.55,423.58,79.33,14.6,166.48,12.91,5.13
2014,23.63,355.6,450.88,81.71,0.0,122.34,23.55,5.01
2015,28.49,349.64,417.5,85.77,4.52,104.44,34.54,5.22
2016,23.67,338.59,458.43,79.43,17.68,97.23,43.33,5.34
2017,23.8,363.47,464.13,79.24,29.07,56.89,54.04,6.22
2018,25.75,360.66,445.61,81.0,49.11,52.21,61.22,7.37
2019,27.6,350.77,416.95,73.92,65.64,37.63,67.43,7.46
2020,30.37,340.25,409.44,78.33,43.0,25.31,75.92,8.41
