Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2001,49.75,1903.97,639.12,208.13,768.82,135.58,14.89,0,6.74
2002,53.72,1933.15,691.01,255.57,780.07,103.68,16.12,0,10.36
2003,53.34,1973.72,649.91,267.26,763.72,132.38,16.85,0.53,11.20
2004,53.54,1978.30,710.09,259.92,788.53,129.86,16.95,0.57,14.13
2005,54.28,2012.87,760.98,263.76,781.99,126.12,16.63,0.55,17.83
2006,54.87,1990.52,816.44,282.68,787.23,71.61,16.51,0.49,26.59
2007,55.56,2016.43,896.58,240.62,806.42,75.20,16.71,0.61,34.46
2008,55.03,1985.81,882.97,248.54,806.21,55.42,17.31,0.87,55.36
2009,54.51,1755.91,920.99,268.83,798.85,48.53,17.47,0.89,73.88
2010,56.10,1847.28,987.69,254.70,806.96,47.52,17.84,1.22,94.65
2011,56.66,1733.43,1013.68,312.93,790.20,41.79,18.16,1.82,120.18
2012,57.62,1514.05,1225.90,271.28,769.32,39.07,18.26,4.34,140.82
2013,60.86,1581.11,1124.86,263.88,789.02,40.26,18.76,9.03,167.85
2014,63.99,1581.72,1126.60,253.18,797.16,43.69,19.05,28.93,181.67
2015,63.66,1352.41,1333.50,244.00,797.18,44.45,19.12,39.04,190.72
2016,62.75,1239.13,1378.30,261.13,805.70,39.52,19.17,54.86,227.01
2017,62.73,1205.84,1296.46,293.84,804.93,37.89,19.07,77.28,254.30
2018,61.83,1149.49,1469.13,286.63,807.08,42.69,18.69,93.36,272.67
2019,57.51,964.95,1585.83,282.59,809.39,37.47,17.88,106.89,295.87
2020,54.71,773.40,1624.15,279.95,789.89,34.33,18.08,130.71,337.94
2021,54.24,898.00,1579.20,246.48,779.63,35.20,18.26,164.40,378.22
2022,51.85,831.52,1687.07,248.75,771.54,38.63,18.14,205.08,434.30
2023,47.47,675.27,1802.06,233.97,775.35,33.00,18.61,238.13,425.23
2024,46.26,652.91,1866.51,233.92,781.68,30.17,17.44,301.88,454.05
2025,46.00,737.42,1809.98,240.00,784.78,31.84,17.61,387.69,464.51
