Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2010,327.19,8458.0,4807.86,3428.21,2725.91,1078.66,59.72,32.21,345.99
2011,345.27,8911.04,4865.93,3488.07,2610.34,1186.76,61.08,63.56,439.98
2012,374.02,8960.28,5161.35,3660.17,2432.22,1238.6,62.84,96.92,529.26
2013,406.47,9423.85,5058.36,3790.79,2448.52,1196.83,64.32,131.75,634.14
2014,442.68,9603.84,5214.12,3870.67,2498.73,1143.66,69.53,197.74,706.1
2015,471.79,9283.61,5539.88,3882.13,2532.93,1133.29,73.08,256.01,829.63
2016,482.08,9327.96,5849.92,4014.75,2571.05,1085.11,75.87,327.47,960.3
2017,507.39,9655.05,5973.6,4054.03,2594.23,993.83,78.82,444.65,1139.44
2018,537.74,10033.03,6224.56,4176.84,2658.7,908.6,81.72,575.16,1268.14
2019,566.0,9826.39,6401.31,4227.76,2754.08,855.03,82.95,697.94,1420.96
2020,601.17,9437.05,6382.94,4347.02,2648.33,775.88,86.12,853.39,1591.47
